StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Divi's Laboratories Limited,INE361B01024,2003-03-12,EQ,DIVISLAB,2024-03-28,3367.05,3469.7,3367.05,3445.3,3437.0,3367.85,1145370,3933069926.45,135352
Divi's Laboratories Limited,INE361B01024,2003-03-12,T0,DIVISLAB,2024-03-28,3400.0,3402.0,3400.0,3445.3,3402.0,3367.85,4,13606.0,3
Divi's Laboratories Limited,INE361B01024,2003-03-12,EQ,DIVISLAB,2024-03-27,3390.0,3403.4,3350.0,3367.85,3366.0,3391.0,506472,1711529978.55,53441
Divi's Laboratories Limited,INE361B01024,2003-03-12,EQ,DIVISLAB,2024-03-26,3400.0,3439.0,3375.0,3391.0,3386.0,3431.45,478462,1623221506.2,68119
Divi's Laboratories Limited,INE361B01024,2003-03-12,EQ,DIVISLAB,2024-03-22,3463.0,3476.35,3425.0,3431.45,3431.0,3465.3,409887,1411773084.1,53474
Divi's Laboratories Limited,INE361B01024,2003-03-12,EQ,DIVISLAB,2024-03-21,3444.8,3477.4,3431.25,3465.3,3457.55,3428.3,279116,965432374.7,44111
Divi's Laboratories Limited,INE361B01024,2003-03-12,EQ,DIVISLAB,2024-03-20,3447.15,3460.0,3397.15,3428.3,3439.7,3447.15,517131,1773859108.1,68681
Divi's Laboratories Limited,INE361B01024,2003-03-12,EQ,DIVISLAB,2024-03-19,3509.8,3514.95,3422.05,3447.15,3437.2,3506.6,525027,1811704994.9,45421
Divi's Laboratories Limited,INE361B01024,2003-03-12,EQ,DIVISLAB,2024-03-18,3485.4,3520.0,3475.0,3506.6,3509.9,3485.4,171118,599178529.95,24742
Divi's Laboratories Limited,INE361B01024,2003-03-12,EQ,DIVISLAB,2024-03-15,3517.1,3524.7,3455.05,3485.4,3480.0,3517.9,317079,1103678308.4,38252
Divi's Laboratories Limited,INE361B01024,2003-03-12,EQ,DIVISLAB,2024-03-14,3460.0,3530.0,3441.0,3517.9,3514.2,3479.8,385179,1341146969.25,73677
