StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Dr. Reddy's Laboratories Limited,INE089A01023,2003-05-30,EQ,DRREDDY,2024-03-28,6078.0,6209.8,6078.0,6157.9,6140.55,6044.1,517383,3183208788.4,78393
Dr. Reddy's Laboratories Limited,INE089A01023,2003-05-30,EQ,DRREDDY,2024-03-27,6151.0,6151.0,6034.1,6044.1,6047.85,6134.85,290593,1767225672.65,49455
Dr. Reddy's Laboratories Limited,INE089A01023,2003-05-30,EQ,DRREDDY,2024-03-26,6190.0,6211.45,6106.05,6134.85,6131.85,6203.2,272255,1677217046.65,38439
Dr. Reddy's Laboratories Limited,INE089A01023,2003-05-30,EQ,DRREDDY,2024-03-22,6129.0,6239.4,6105.05,6203.2,6215.0,6128.2,305719,1893981477.15,50699
Dr. Reddy's Laboratories Limited,INE089A01023,2003-05-30,EQ,DRREDDY,2024-03-21,6125.0,6156.0,6060.0,6128.2,6105.5,6103.3,325246,1990338397.15,68205
Dr. Reddy's Laboratories Limited,INE089A01023,2003-05-30,EQ,DRREDDY,2024-03-20,6124.95,6138.1,6023.2,6103.3,6100.0,6134.9,277037,1685569790.15,49945
Dr. Reddy's Laboratories Limited,INE089A01023,2003-05-30,EQ,DRREDDY,2024-03-19,6335.0,6335.0,6123.45,6134.9,6137.0,6341.05,316367,1959455549.65,53052
Dr. Reddy's Laboratories Limited,INE089A01023,2003-05-30,EQ,DRREDDY,2024-03-18,6292.1,6354.9,6268.05,6341.05,6349.0,6284.9,180493,1143322928.25,32697
Dr. Reddy's Laboratories Limited,INE089A01023,2003-05-30,EQ,DRREDDY,2024-03-15,6285.1,6308.55,6214.5,6284.9,6280.45,6294.6,485947,3049105912.6,41095
Dr. Reddy's Laboratories Limited,INE089A01023,2003-05-30,EQ,DRREDDY,2024-03-14,6282.0,6320.15,6208.9,6294.6,6285.1,6303.8,400212,2512352435.55,77690
Dr. Reddy's Laboratories Limited,INE089A01023,2003-05-30,EQ,DRREDDY,2024-03-13,6302.4,6350.0,6248.8,6303.8,6299.0,6302.15,210265,1324455821.6,42905
Dr. Reddy's Laboratories Limited,INE089A01023,2003-05-30,EQ,DRREDDY,2024-03-12,6388.15,6428.0,6266.25,6302.15,6300.1,6387.45,329411,2083990457.8,43734
Dr. Reddy's Laboratories Limited,INE089A01023,2003-05-30,EQ,DRREDDY,2024-03-11,6369.0,6423.6,6310.0,6387.45,6390.0,6324.15,282473,1804296939.45,39164
Dr. Reddy's Laboratories Limited,INE089A01023,2003-05-30,EQ,DRREDDY,2024-03-07,6305.5,6369.7,6305.5,6324.15,6311.0,6314.65,234920,1488286563.3,48542
