StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Easy Trip Planners Limited,INE07O001026,2021-03-19,EQ,EASEMYTRIP,2024-03-28,43.8,44.3,42.6,42.8,42.75,43.45,43280573,1876679538.35,266565
Easy Trip Planners Limited,INE07O001026,2021-03-19,EQ,EASEMYTRIP,2024-03-27,44.15,45.2,43.0,43.45,43.4,44.05,23945130,1053196242.6,45758
Easy Trip Planners Limited,INE07O001026,2021-03-19,EQ,EASEMYTRIP,2024-03-26,43.75,45.2,43.05,44.05,43.8,43.75,22438786,990849563.9,49348
Easy Trip Planners Limited,INE07O001026,2021-03-19,EQ,EASEMYTRIP,2024-03-22,44.25,44.35,43.65,43.75,43.85,44.25,16413696,720258740.25,37949
Easy Trip Planners Limited,INE07O001026,2021-03-19,EQ,EASEMYTRIP,2024-03-21,45.0,45.5,43.8,44.25,44.0,44.75,26762051,1189110494.55,49757
Easy Trip Planners Limited,INE07O001026,2021-03-19,EQ,EASEMYTRIP,2024-03-20,43.65,45.6,43.3,44.75,44.5,43.35,34232938,1528961643.4,57250
Easy Trip Planners Limited,INE07O001026,2021-03-19,EQ,EASEMYTRIP,2024-03-19,44.1,44.95,43.15,43.35,43.4,44.2,18100181,793821713.0,42071
Easy Trip Planners Limited,INE07O001026,2021-03-19,EQ,EASEMYTRIP,2024-03-18,44.1,44.95,43.3,44.2,44.2,44.1,14479781,639203422.5,51003
Easy Trip Planners Limited,INE07O001026,2021-03-19,EQ,EASEMYTRIP,2024-03-15,45.2,45.9,43.65,44.1,43.9,45.5,15288653,681019387.65,43482
Easy Trip Planners Limited,INE07O001026,2021-03-19,EQ,EASEMYTRIP,2024-03-14,41.65,46.55,40.8,45.5,45.2,41.65,29740375,1312820410.95,58529
Easy Trip Planners Limited,INE07O001026,2021-03-19,EQ,EASEMYTRIP,2024-03-13,44.4,46.2,41.15,41.65,41.65,44.35,28846672,1247192977.0,69397
Easy Trip Planners Limited,INE07O001026,2021-03-19,EQ,EASEMYTRIP,2024-03-12,46.65,46.65,44.1,44.35,44.55,46.75,15960436,720180801.5,45742
Easy Trip Planners Limited,INE07O001026,2021-03-19,EQ,EASEMYTRIP,2024-03-11,47.65,47.65,46.6,46.75,46.7,47.35,15748750,738335420.1,21129
Easy Trip Planners Limited,INE07O001026,2021-03-19,EQ,EASEMYTRIP,2024-03-07,46.5,48.15,46.5,47.35,47.5,46.35,24549668,1168033065.05,29015
Easy Trip Planners Limited,INE07O001026,2021-03-19,EQ,EASEMYTRIP,2024-03-06,47.05,47.2,45.3,46.35,46.4,47.0,16744033,771712023.25,38549
Easy Trip Planners Limited,INE07O001026,2021-03-19,EQ,EASEMYTRIP,2024-03-05,48.2,48.3,46.8,47.0,46.95,48.0,20058559,949773629.6,70215
Easy Trip Planners Limited,INE07O001026,2021-03-19,EQ,EASEMYTRIP,2024-03-04,49.05,50.35,47.7,48.0,47.9,49.05,34009677,1665459925.6,45213
Easy Trip Planners Limited,INE07O001026,2021-03-19,EQ,EASEMYTRIP,2024-03-02,49.05,49.9,47.5,49.05,49.1,48.85,3288882,161158014.3,7740
