StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
EID Parry India Limited,INE126A01031,1995-05-10,EQ,EIDPARRY,2024-03-28,546.1,555.95,543.0,545.7,544.0,545.5,184116,101231221.6,10167
EID Parry India Limited,INE126A01031,1995-05-10,EQ,EIDPARRY,2024-03-27,546.4,556.95,540.0,545.5,540.0,550.85,310982,170573408.8,17926
EID Parry India Limited,INE126A01031,1995-05-10,EQ,EIDPARRY,2024-03-26,567.95,571.0,547.1,550.85,550.95,564.6,190691,105888152.2,11171
EID Parry India Limited,INE126A01031,1995-05-10,EQ,EIDPARRY,2024-03-22,553.1,572.2,553.1,564.6,564.0,555.7,185175,104501924.35,12807
EID Parry India Limited,INE126A01031,1995-05-10,EQ,EIDPARRY,2024-03-21,547.45,560.0,547.4,555.7,557.0,542.15,164816,91256638.45,8612
EID Parry India Limited,INE126A01031,1995-05-10,EQ,EIDPARRY,2024-03-20,559.95,564.5,539.3,542.15,542.0,556.95,166698,91332423.4,8012
EID Parry India Limited,INE126A01031,1995-05-10,EQ,EIDPARRY,2024-03-19,570.0,570.0,554.5,556.95,562.9,564.8,126328,70830853.45,7819
EID Parry India Limited,INE126A01031,1995-05-10,EQ,EIDPARRY,2024-03-18,565.5,571.0,560.3,564.8,570.0,565.45,124439,70291895.5,6723
EID Parry India Limited,INE126A01031,1995-05-10,EQ,EIDPARRY,2024-03-15,565.8,579.9,561.0,565.45,565.65,561.35,271235,154158715.1,16540
EID Parry India Limited,INE126A01031,1995-05-10,EQ,EIDPARRY,2024-03-14,554.95,566.95,550.85,561.35,566.0,554.1,257283,143850440.4,17024
EID Parry India Limited,INE126A01031,1995-05-10,EQ,EIDPARRY,2024-03-13,579.5,581.9,547.8,554.1,550.0,576.6,561189,312624752.3,26366
EID Parry India Limited,INE126A01031,1995-05-10,EQ,EIDPARRY,2024-03-12,602.35,605.7,573.1,576.6,579.0,602.15,327842,191556975.15,18941
EID Parry India Limited,INE126A01031,1995-05-10,EQ,EIDPARRY,2024-03-11,612.1,617.65,599.0,602.15,599.5,608.15,201685,121945388.55,12139
EID Parry India Limited,INE126A01031,1995-05-10,EQ,EIDPARRY,2024-03-07,604.95,617.9,604.95,608.15,610.0,602.35,143506,87779166.25,10362
EID Parry India Limited,INE126A01031,1995-05-10,EQ,EIDPARRY,2024-03-06,618.0,618.1,597.4,602.35,608.0,618.45,397051,240112052.75,21618
EID Parry India Limited,INE126A01031,1995-05-10,EQ,EIDPARRY,2024-03-05,618.05,622.0,613.0,618.45,616.6,617.15,131031,80817069.4,8035
EID Parry India Limited,INE126A01031,1995-05-10,EQ,EIDPARRY,2024-03-04,627.95,632.4,612.25,617.15,618.7,624.5,414830,257494446.7,18571
EID Parry India Limited,INE126A01031,1995-05-10,EQ,EIDPARRY,2024-03-02,627.15,633.75,618.5,624.5,625.65,623.4,21502,13453809.3,1412
EID Parry India Limited,INE126A01031,1995-05-10,EQ,EIDPARRY,2024-03-01,634.0,634.0,621.95,623.4,623.9,629.5,136095,85230207.8,8158
EID Parry India Limited,INE126A01031,1995-05-10,EQ,EIDPARRY,2024-02-29,627.0,638.8,622.2,629.5,627.65,622.4,356662,224242346.45,15144
EID Parry India Limited,INE126A01031,1995-05-10,EQ,EIDPARRY,2024-02-28,634.0,640.5,618.1,622.4,627.0,631.4,382966,241859516.45,17670
EID Parry India Limited,INE126A01031,1995-05-10,EQ,EIDPARRY,2024-02-27,630.0,634.75,625.0,631.4,633.25,630.35,377988,237907105.75,11808
EID Parry India Limited,INE126A01031,1995-05-10,EQ,EIDPARRY,2024-02-26,640.5,643.5,624.85,630.35,630.4,638.7,410234,260640404.8,16037
EID Parry India Limited,INE126A01031,1995-05-10,EQ,EIDPARRY,2024-02-23,626.95,642.0,624.05,638.7,637.4,628.0,647917,410027403.1,25025
EID Parry India Limited,INE126A01031,1995-05-10,EQ,EIDPARRY,2024-02-22,642.95,642.95,614.4,628.0,625.6,639.8,833193,526163185.85,25671
