StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-03-28,970.0,974.4,933.9,948.75,945.7,960.15,123181,117903231.35,10311
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-03-27,949.9,971.0,928.1,960.15,968.95,943.25,310626,295000366.15,18448
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-03-26,920.25,948.7,905.4,943.25,941.05,920.25,246240,230853585.15,17530
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-03-22,889.05,924.7,881.15,920.25,924.3,889.8,273633,247057513.7,16616
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-03-21,855.0,905.4,854.3,889.8,887.1,840.85,234785,207590241.7,16943
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-03-20,846.0,860.0,825.0,840.85,841.0,839.1,137953,116164234.8,13715
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-03-19,856.5,856.5,832.05,839.1,839.95,848.45,113445,95427038.0,17114
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-03-18,870.0,878.5,842.5,848.45,850.2,872.95,221090,189059663.85,30320
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-03-15,855.3,893.35,841.0,872.95,884.95,844.0,1932239,1686088584.05,59200
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-03-14,823.0,860.0,790.3,844.0,857.6,809.8,358527,298620323.35,36221
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-03-13,879.95,884.7,795.1,809.8,821.0,870.25,565912,467434394.9,56724
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-03-12,930.05,952.0,859.0,870.25,874.0,942.85,421424,377616342.5,47849
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-03-11,962.35,963.0,921.0,942.85,935.5,962.35,287115,268685358.0,30859
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-03-07,945.75,965.9,930.45,962.35,965.0,942.6,177700,168836518.95,12528
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-03-06,981.1,982.25,933.0,942.6,941.4,981.7,239589,226455205.1,28788
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-03-05,998.0,999.0,976.0,981.7,984.5,991.05,133721,131873257.8,13898
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-03-04,999.45,1001.55,975.4,991.05,998.9,998.9,111188,109616017.35,11519
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-03-02,987.0,1007.0,980.05,998.9,999.9,989.9,14736,14683497.75,1254
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-03-01,998.9,1009.8,986.05,989.9,989.95,1002.15,112712,112074022.45,10271
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-02-29,943.4,1013.9,911.0,1002.15,999.0,938.8,554537,540064353.25,37595
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-02-28,966.0,971.0,924.0,938.8,939.0,951.0,203984,193143369.85,17656
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-02-27,1000.0,1006.9,933.0,951.0,950.0,999.25,329265,317661728.3,25479
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-02-26,1024.0,1025.95,995.0,999.25,1000.0,1018.9,118122,119063205.2,11632
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-02-23,1005.0,1028.7,999.0,1018.9,1017.75,997.3,157756,159840077.45,18085
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-02-22,997.0,1009.55,991.0,997.3,1002.0,999.4,125877,125968801.6,10949
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-02-21,1031.8,1036.0,986.05,999.4,1000.0,1021.55,196276,197475732.45,19873
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-02-20,1045.0,1053.25,1018.0,1021.55,1024.9,1043.4,130834,134565045.8,14955
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-02-19,1030.4,1059.9,1022.0,1043.4,1052.0,1020.2,189416,198500280.5,18117
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-02-16,1034.45,1050.0,1011.1,1020.2,1030.0,1026.45,167112,171359876.5,20105
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-02-15,1044.65,1063.95,1023.55,1026.45,1031.4,1038.4,154230,160270846.2,19238
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-02-14,990.25,1047.8,990.25,1038.4,1041.5,1005.9,174676,179757815.05,21190
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-02-13,985.2,1014.85,971.35,1005.9,1014.1,985.15,114029,112857367.25,16666
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-02-12,1014.15,1015.15,981.0,985.15,984.0,1014.15,145307,144498091.7,20785
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-02-09,1042.0,1048.5,996.45,1014.15,1014.0,1042.55,212848,215700899.45,26798
Elecon Engineering Company Limited,INE205B01031,2006-09-29,EQ,ELECON,2024-02-08,1061.0,1061.0,1040.05,1042.55,1041.0,1056.85,116396,121813554.65,14525
