StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Elgi Equipments Limited,INE285A01027,1995-11-22,EQ,ELGIEQUIP,2024-03-28,583.75,605.0,578.15,601.7,601.5,579.4,514956,306323210.9,19527
Elgi Equipments Limited,INE285A01027,1995-11-22,EQ,ELGIEQUIP,2024-03-27,581.5,589.5,576.55,579.4,581.0,580.45,243548,141566069.15,17746
Elgi Equipments Limited,INE285A01027,1995-11-22,EQ,ELGIEQUIP,2024-03-26,593.0,593.0,578.05,580.45,579.0,589.55,244293,142233127.45,16255
Elgi Equipments Limited,INE285A01027,1995-11-22,EQ,ELGIEQUIP,2024-03-22,594.5,601.2,584.0,589.55,590.1,596.9,349159,206037979.85,24535
Elgi Equipments Limited,INE285A01027,1995-11-22,EQ,ELGIEQUIP,2024-03-21,599.95,617.4,594.2,596.9,597.95,597.4,199169,119406864.45,13157
Elgi Equipments Limited,INE285A01027,1995-11-22,EQ,ELGIEQUIP,2024-03-20,629.85,630.0,594.0,597.4,599.0,629.4,277548,167794344.1,19035
Elgi Equipments Limited,INE285A01027,1995-11-22,EQ,ELGIEQUIP,2024-03-19,627.0,633.55,626.55,629.4,629.65,628.05,95589,60173975.35,8915
Elgi Equipments Limited,INE285A01027,1995-11-22,EQ,ELGIEQUIP,2024-03-18,630.0,636.95,622.55,628.05,626.0,634.0,77261,48626101.4,8577
Elgi Equipments Limited,INE285A01027,1995-11-22,EQ,ELGIEQUIP,2024-03-15,632.85,652.25,618.8,634.0,628.55,630.7,424929,271360421.5,24666
Elgi Equipments Limited,INE285A01027,1995-11-22,EQ,ELGIEQUIP,2024-03-14,621.3,642.3,609.0,630.7,632.8,624.8,239080,149946093.25,19817
Elgi Equipments Limited,INE285A01027,1995-11-22,EQ,ELGIEQUIP,2024-03-13,628.1,630.0,602.95,624.8,628.9,631.85,388766,240294493.0,27572
Elgi Equipments Limited,INE285A01027,1995-11-22,EQ,ELGIEQUIP,2024-03-12,684.5,687.0,625.55,631.85,635.0,684.45,614251,395737741.95,43997
Elgi Equipments Limited,INE285A01027,1995-11-22,EQ,ELGIEQUIP,2024-03-11,702.5,713.45,671.55,684.45,685.9,699.7,215247,147945455.05,15538
Elgi Equipments Limited,INE285A01027,1995-11-22,EQ,ELGIEQUIP,2024-03-07,697.5,707.45,693.35,699.7,696.0,697.55,160652,112288974.5,13235
Elgi Equipments Limited,INE285A01027,1995-11-22,EQ,ELGIEQUIP,2024-03-06,703.65,714.2,679.0,697.55,695.1,703.05,286477,199613528.1,20744
Elgi Equipments Limited,INE285A01027,1995-11-22,EQ,ELGIEQUIP,2024-03-05,672.0,713.9,672.0,703.05,702.25,681.35,880535,619292471.7,57276
Elgi Equipments Limited,INE285A01027,1995-11-22,EQ,ELGIEQUIP,2024-03-04,689.85,691.95,676.75,681.35,678.2,687.35,210715,144352314.85,16783
Elgi Equipments Limited,INE285A01027,1995-11-22,EQ,ELGIEQUIP,2024-03-02,687.0,701.0,685.0,687.35,688.0,680.6,57220,39594902.5,2898
