StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Emami Limited,INE548C01032,2006-08-03,EQ,EMAMILTD,2024-03-28,437.75,438.6,426.35,429.35,429.5,437.75,699523,302646033.15,14968
Emami Limited,INE548C01032,2006-08-03,EQ,EMAMILTD,2024-03-27,439.0,440.85,432.0,437.75,434.9,435.25,687739,299927191.0,26500
Emami Limited,INE548C01032,2006-08-03,EQ,EMAMILTD,2024-03-26,424.0,437.8,418.85,435.25,435.0,424.25,759976,326511698.3,26356
Emami Limited,INE548C01032,2006-08-03,EQ,EMAMILTD,2024-03-22,430.0,438.35,419.6,424.25,424.5,428.1,1129009,484383647.3,29757
Emami Limited,INE548C01032,2006-08-03,EQ,EMAMILTD,2024-03-21,424.95,431.0,423.05,428.1,430.0,423.95,1159886,494649968.4,34429
Emami Limited,INE548C01032,2006-08-03,EQ,EMAMILTD,2024-03-20,428.0,429.2,421.1,423.95,422.45,428.15,548534,233274675.55,33085
Emami Limited,INE548C01032,2006-08-03,EQ,EMAMILTD,2024-03-19,430.05,430.05,420.7,428.15,428.0,427.2,457960,195582999.15,23614
Emami Limited,INE548C01032,2006-08-03,EQ,EMAMILTD,2024-03-18,423.25,430.55,418.3,427.2,426.85,423.05,596980,255661030.15,26899
Emami Limited,INE548C01032,2006-08-03,EQ,EMAMILTD,2024-03-15,436.45,436.95,417.1,423.05,425.0,434.95,904432,386265587.0,20002
Emami Limited,INE548C01032,2006-08-03,EQ,EMAMILTD,2024-03-14,436.0,443.2,433.0,434.95,434.25,437.3,349212,152587958.4,11852
Emami Limited,INE548C01032,2006-08-03,EQ,EMAMILTD,2024-03-13,443.85,450.15,433.65,437.3,441.0,443.8,1599397,706420079.6,43405
Emami Limited,INE548C01032,2006-08-03,EQ,EMAMILTD,2024-03-12,445.2,446.9,432.0,443.8,444.0,444.9,443203,194793517.9,19589
Emami Limited,INE548C01032,2006-08-03,EQ,EMAMILTD,2024-03-11,450.2,457.4,443.4,444.9,447.2,450.2,415629,187000600.1,22407
Emami Limited,INE548C01032,2006-08-03,EQ,EMAMILTD,2024-03-07,447.15,452.05,441.0,450.2,450.0,447.15,672010,299069668.25,29332
Emami Limited,INE548C01032,2006-08-03,EQ,EMAMILTD,2024-03-06,459.4,459.8,445.75,447.15,446.5,458.95,755995,339810610.9,21017
Emami Limited,INE548C01032,2006-08-03,EQ,EMAMILTD,2024-03-05,457.9,463.05,454.05,458.95,458.95,457.9,902936,413990996.25,23778
Emami Limited,INE548C01032,2006-08-03,EQ,EMAMILTD,2024-03-04,460.0,460.9,452.35,457.9,455.5,458.25,328773,149910241.45,15598
