StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Escorts Kubota Limited,INE042A01014,1995-03-01,EQ,ESCORTS,2024-03-28,2799.95,2812.35,2754.55,2777.3,2779.9,2798.7,227259,631849000.65,21406
Escorts Kubota Limited,INE042A01014,1995-03-01,EQ,ESCORTS,2024-03-27,2751.25,2829.55,2749.15,2798.7,2790.0,2751.25,249879,699802147.45,30235
Escorts Kubota Limited,INE042A01014,1995-03-01,EQ,ESCORTS,2024-03-26,2750.0,2775.0,2743.3,2751.25,2757.0,2750.65,100227,276631829.75,14097
Escorts Kubota Limited,INE042A01014,1995-03-01,EQ,ESCORTS,2024-03-22,2760.0,2776.5,2741.55,2750.65,2751.0,2763.15,116383,321433381.1,9929
Escorts Kubota Limited,INE042A01014,1995-03-01,EQ,ESCORTS,2024-03-21,2750.0,2774.8,2730.35,2763.15,2763.3,2740.1,117971,324342927.6,11394
Escorts Kubota Limited,INE042A01014,1995-03-01,EQ,ESCORTS,2024-03-20,2739.0,2774.1,2699.05,2740.1,2738.95,2713.55,188614,515711722.1,20675
Escorts Kubota Limited,INE042A01014,1995-03-01,EQ,ESCORTS,2024-03-19,2692.2,2753.05,2680.05,2713.55,2709.15,2701.4,212248,576021865.2,22695
Escorts Kubota Limited,INE042A01014,1995-03-01,EQ,ESCORTS,2024-03-18,2722.95,2722.95,2670.55,2701.4,2700.0,2702.55,123514,333191198.1,20479
Escorts Kubota Limited,INE042A01014,1995-03-01,EQ,ESCORTS,2024-03-15,2755.3,2773.95,2682.5,2702.55,2700.3,2746.2,204337,553311272.0,15456
Escorts Kubota Limited,INE042A01014,1995-03-01,EQ,ESCORTS,2024-03-14,2705.3,2755.75,2700.0,2746.2,2745.0,2712.9,156419,428140345.1,19444
Escorts Kubota Limited,INE042A01014,1995-03-01,EQ,ESCORTS,2024-03-13,2805.1,2830.75,2700.55,2712.9,2710.2,2816.35,186399,514140272.5,22015
Escorts Kubota Limited,INE042A01014,1995-03-01,EQ,ESCORTS,2024-03-12,2843.0,2847.95,2800.05,2816.35,2800.05,2838.1,124111,350201095.65,16676
Escorts Kubota Limited,INE042A01014,1995-03-01,EQ,ESCORTS,2024-03-11,2868.0,2873.55,2831.15,2838.1,2845.0,2849.9,142570,406282297.75,17575
Escorts Kubota Limited,INE042A01014,1995-03-01,EQ,ESCORTS,2024-03-07,2840.6,2887.15,2813.0,2849.9,2849.5,2842.1,340248,970996979.75,26008
Escorts Kubota Limited,INE042A01014,1995-03-01,EQ,ESCORTS,2024-03-06,2865.75,2865.75,2802.2,2842.1,2841.0,2865.75,141990,401270407.35,17671
Escorts Kubota Limited,INE042A01014,1995-03-01,EQ,ESCORTS,2024-03-05,2930.0,2966.35,2859.05,2865.75,2870.0,2918.85,223995,650376958.85,25355
Escorts Kubota Limited,INE042A01014,1995-03-01,EQ,ESCORTS,2024-03-04,2895.0,2936.95,2871.05,2918.85,2919.0,2904.9,167158,486938763.05,18137
Escorts Kubota Limited,INE042A01014,1995-03-01,EQ,ESCORTS,2024-03-02,2919.8,2924.0,2892.1,2904.9,2899.0,2898.55,8722,25366249.2,974
Escorts Kubota Limited,INE042A01014,1995-03-01,EQ,ESCORTS,2024-03-01,2845.05,2927.0,2825.2,2898.55,2899.05,2856.45,370420,1074030628.95,30495
Escorts Kubota Limited,INE042A01014,1995-03-01,EQ,ESCORTS,2024-02-29,2826.7,2869.45,2803.3,2856.45,2866.2,2825.2,159625,453993215.25,17871
Escorts Kubota Limited,INE042A01014,1995-03-01,EQ,ESCORTS,2024-02-28,2856.05,2878.95,2802.6,2825.2,2822.85,2855.55,261600,746381627.15,28963
Escorts Kubota Limited,INE042A01014,1995-03-01,EQ,ESCORTS,2024-02-27,2890.85,2925.0,2846.25,2855.55,2849.65,2890.85,88135,253451089.5,11410
Escorts Kubota Limited,INE042A01014,1995-03-01,EQ,ESCORTS,2024-02-26,2916.45,2924.65,2851.35,2890.85,2895.0,2911.0,152335,440545070.95,17638
Escorts Kubota Limited,INE042A01014,1995-03-01,EQ,ESCORTS,2024-02-23,2927.5,2962.35,2900.0,2911.0,2909.0,2925.4,148019,433563029.9,15161
Escorts Kubota Limited,INE042A01014,1995-03-01,EQ,ESCORTS,2024-02-22,2938.95,2938.95,2887.0,2925.4,2930.0,2914.15,91902,267796313.6,15746
