StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-03-28,305.45,306.45,302.8,304.55,306.0,304.55,1828715,556917933.7,29111
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-03-27,304.55,307.5,303.65,304.55,304.4,304.55,2010127,613252768.75,28551
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-03-26,305.0,306.9,303.5,304.55,305.0,307.2,1432199,436608893.5,25883
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-03-22,305.8,308.75,303.4,307.2,307.3,305.8,1029834,315111256.65,16153
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-03-21,303.7,306.65,302.8,305.8,306.3,301.45,1116789,340693802.65,17981
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-03-20,296.45,302.45,293.7,301.45,301.0,296.45,2481845,742039081.3,37081
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-03-19,305.0,305.0,290.35,296.45,296.9,307.05,5242694,1547948954.9,70594
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-03-18,305.0,309.1,302.6,307.05,307.5,305.3,1088219,334041723.85,21482
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-03-15,305.8,306.8,298.85,305.3,306.0,305.8,2689532,816611137.5,42272
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-03-14,297.2,309.9,294.65,305.8,306.0,300.7,2850926,870336422.5,49769
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-03-13,319.05,320.0,297.95,300.7,300.3,319.45,3710437,1138884543.15,76663
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-03-12,324.2,326.2,318.2,319.45,319.6,323.05,2261648,727230459.65,33186
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-03-11,331.0,332.3,322.0,323.05,323.8,328.15,2257244,734493872.55,31909
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-03-07,323.5,330.8,322.35,328.15,327.6,321.85,2193814,719116416.85,27424
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-03-06,325.5,326.0,316.55,321.85,321.5,325.55,1783348,570463761.15,27950
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-03-05,330.0,331.15,323.75,325.55,326.9,328.75,1177352,384761225.65,20715
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-03-04,327.8,332.05,324.0,328.75,328.0,326.85,1431470,469398891.85,20696
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-03-02,325.0,328.85,325.0,326.85,326.05,324.1,141487,46223805.65,3853
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-03-01,322.0,326.9,321.35,324.1,325.0,320.3,1556230,504191527.55,21594
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-02-29,318.0,322.0,316.4,320.3,320.4,318.1,1725182,551375345.35,21307
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-02-28,326.75,328.5,316.05,318.1,318.2,326.15,2643104,847252943.35,40470
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-02-27,328.9,329.85,325.0,326.15,325.6,328.15,769796,252029785.8,15057
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-02-26,331.05,332.2,327.7,328.15,328.7,330.0,1346413,444002003.55,26157
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-02-23,334.1,335.0,329.0,330.0,329.65,332.4,846452,280591520.65,16902
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-02-22,326.9,333.4,323.3,332.4,333.0,326.7,1827753,603208202.05,25982
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-02-21,331.8,334.2,325.6,326.7,326.85,330.8,1841503,606678886.05,30363
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-02-20,338.65,338.65,327.5,330.8,330.7,336.8,2205476,728670044.4,47040
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-02-19,340.3,344.0,336.0,336.8,337.25,336.5,1339482,454776078.9,27369
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-02-16,338.0,339.25,335.25,336.5,336.6,334.35,1375288,464050041.25,26420
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-02-15,339.0,340.9,332.5,334.35,334.6,336.65,1765944,592333085.2,32354
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-02-14,327.2,337.6,323.95,336.65,337.4,330.55,1375999,458264616.3,19061
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-02-13,327.75,331.95,321.4,330.55,331.9,328.2,2865332,935186451.6,35717
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-02-12,341.0,341.4,326.25,328.2,328.8,338.4,2172402,720985432.45,33841
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-02-09,345.55,346.9,332.5,338.4,338.45,345.05,2694398,911397015.1,47320
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-02-08,348.0,349.9,343.55,345.05,345.45,346.85,1892474,656001502.5,33890
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-02-07,349.3,351.55,344.15,346.85,346.6,348.5,2187232,758027715.15,27601
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-02-06,349.0,352.0,345.65,348.5,348.85,347.1,3570626,1245558999.65,41148
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-02-05,346.9,354.0,340.0,347.1,347.55,343.35,4765223,1660366312.3,63625
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-02-02,335.8,347.5,334.5,343.35,343.0,334.2,7553484,2592668486.45,79435
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-02-01,337.5,337.5,326.25,334.2,335.0,334.95,4859425,1612999263.25,58294
Exide Industries Limited,INE302A01020,2003-06-17,EQ,EXIDEIND,2024-01-31,320.0,336.0,318.7,334.95,334.9,318.0,7916850,2614527573.95,81667
