StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-03-28,250.0,252.65,244.25,246.45,246.3,249.8,831154,205928416.1,18801
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-03-27,244.75,252.0,244.0,249.8,249.15,244.75,2686883,668152218.2,35872
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-03-26,235.6,249.95,231.8,244.75,243.9,235.6,4904677,1202789512.05,72199
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-03-22,225.05,241.4,222.3,235.6,233.55,224.3,3030302,708251539.7,43389
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-03-21,218.0,226.5,216.9,224.3,225.35,216.9,843182,188269946.9,15757
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-03-20,221.0,221.7,215.2,216.9,216.6,219.9,638405,139074302.8,11706
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-03-19,225.55,225.55,219.1,219.9,219.1,226.4,582761,129089260.55,15893
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-03-18,214.55,227.5,214.4,226.4,227.0,213.45,1638075,366336588.2,31662
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-03-15,211.95,215.55,210.0,213.45,213.7,211.0,1092553,232353949.35,15603
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-03-14,207.25,216.5,203.4,211.0,211.0,207.3,653138,137995076.6,16069
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-03-13,215.75,215.9,204.05,207.3,206.5,214.75,1295072,271877303.65,26963
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-03-12,225.2,226.2,208.05,214.75,215.5,225.2,2067763,447615398.05,27683
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-03-11,232.85,235.0,224.5,225.2,225.3,231.3,1154509,264851889.3,23471
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-03-07,222.3,235.0,222.3,231.3,230.55,223.8,3258704,756704546.95,58968
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-03-06,224.0,224.8,219.0,223.8,223.5,223.9,588768,130848231.35,19171
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-03-05,222.05,225.0,219.65,223.9,224.4,222.05,1152847,254567682.05,13522
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-03-04,226.0,226.35,220.65,222.05,221.3,224.75,495809,110404743.6,17997
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-03-02,223.4,225.9,222.8,224.75,225.5,223.15,97514,21896989.0,1905
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-03-01,219.4,227.0,219.3,223.15,223.45,218.3,969847,217242372.9,22939
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-02-29,218.25,220.8,216.35,218.3,218.6,217.15,547387,119468100.4,13558
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-02-28,221.05,223.5,216.7,217.15,217.45,219.6,1032604,226957309.75,18502
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-02-27,217.8,224.8,215.75,219.6,220.4,215.65,1431381,316282326.65,28192
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-02-26,216.15,219.5,214.5,215.65,215.95,215.1,1153561,249992791.3,18014
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-02-23,218.3,219.1,214.65,215.1,215.0,218.0,742555,160309791.9,17168
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-02-22,224.5,224.5,214.7,218.0,217.6,219.25,518416,113041454.8,18753
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-02-21,224.65,224.65,215.15,219.25,219.85,223.35,475355,104924140.0,13201
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-02-20,224.75,225.8,221.35,223.35,223.0,224.65,546971,122290208.95,14289
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-02-19,229.0,229.85,222.5,224.65,224.8,226.05,1071497,241315322.85,21498
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-02-16,219.3,229.25,219.1,226.05,226.0,218.35,1072287,240409775.4,21190
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-02-15,219.05,223.25,217.05,218.35,218.5,218.1,698682,153699979.45,15326
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-02-14,216.8,219.45,216.5,218.1,217.6,218.8,350553,76383734.5,10794
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-02-13,218.55,222.3,212.9,218.8,218.9,214.2,1008554,220807438.4,25256
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-02-12,218.0,218.35,210.15,214.2,214.0,218.6,1734359,370204270.7,25721
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-02-09,215.0,220.5,210.15,218.6,216.6,214.55,1383930,297416025.45,33828
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-02-08,218.3,220.0,213.6,214.55,213.6,217.15,486445,105174619.05,21621
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-02-07,220.0,221.5,216.55,217.15,217.0,220.9,1351987,297147210.75,35694
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-02-06,218.1,221.9,218.1,220.9,220.2,216.95,491554,108307727.85,20811
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-02-05,217.25,220.95,215.0,216.95,217.75,217.7,574923,125463706.25,22524
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-02-02,221.0,222.3,216.85,217.7,217.5,220.4,379773,82980252.3,18974
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-02-01,223.9,224.4,218.3,220.4,220.0,222.35,392670,86516751.1,17362
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-01-31,214.95,223.35,214.95,222.35,222.55,215.15,838489,185724439.25,26151
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-01-30,218.0,218.2,214.15,215.15,215.7,217.15,621882,133992480.2,23022
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-01-29,225.0,225.0,216.3,217.15,217.2,225.05,884924,193467085.55,30572
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-01-25,230.75,230.75,224.35,225.05,225.0,230.1,288011,65362424.95,12334
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-01-24,225.25,231.7,221.35,230.1,229.0,223.85,546612,124750674.7,16400
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-01-23,235.15,235.65,221.35,223.85,224.9,234.05,427620,97089932.8,14525
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-01-20,232.95,242.7,232.15,234.05,233.05,231.4,1112533,263369106.5,28370
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-01-19,234.0,240.65,230.2,231.4,230.45,232.3,1057388,247562380.05,24080
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-01-18,226.7,234.85,219.55,232.3,233.9,226.85,1143647,260031963.25,28225
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-01-17,233.0,233.0,226.0,226.85,227.15,235.85,699480,159944216.3,19477
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-01-16,240.7,242.35,233.0,235.85,235.95,240.45,484242,115115609.8,16120
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-01-15,242.85,248.1,239.0,240.45,241.0,241.3,1424734,347391421.3,34118
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-01-12,234.8,246.0,234.8,241.3,241.95,234.4,2510469,609281720.5,38025
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-01-11,236.1,238.8,233.4,234.4,234.95,236.95,727664,171807029.05,20361
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-01-10,236.75,239.4,232.0,236.95,235.05,238.4,611539,145180473.4,20671
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-01-09,238.9,240.0,234.4,238.4,236.2,236.7,1125826,267125241.65,25575
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-01-08,241.9,243.95,234.8,236.7,234.95,237.35,2322801,552795110.65,53945
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-01-05,222.0,240.0,221.0,237.35,239.0,218.3,9688548,2252238598.7,114408
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-01-04,213.2,218.9,213.2,218.3,218.45,212.85,1658002,360528522.1,27054
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-01-03,207.3,213.6,207.3,212.85,213.6,208.85,544743,115514543.4,18069
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-01-02,211.05,211.8,207.7,208.85,209.2,210.85,420254,87886425.45,11798
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2024-01-01,211.5,212.45,210.25,210.85,211.0,211.0,259760,54917883.85,7119
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2023-12-29,208.85,214.5,208.5,211.0,210.15,207.85,805467,170467106.25,13834
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2023-12-28,215.0,215.0,207.3,207.85,208.5,213.3,789651,165667774.5,20093
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2023-12-27,211.7,216.3,211.1,213.3,213.5,211.6,475476,101614425.8,12869
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2023-12-26,211.2,212.7,208.8,211.6,211.45,209.7,307926,64877959.1,10714
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2023-12-22,212.4,212.45,207.8,209.7,209.75,210.8,278728,58602814.1,11410
Finolex Industries Limited,INE183A01024,1995-02-08,EQ,FINPIPE,2023-12-21,206.0,211.85,203.0,210.8,210.9,207.3,566811,117986082.75,18579
