StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Five-Star Business Finance Limited,INE128S01021,2022-11-21,EQ,FIVESTAR,2024-03-28,733.25,737.05,711.85,719.45,720.35,729.85,1466430,1072179866.3,17037
Five-Star Business Finance Limited,INE128S01021,2022-11-21,EQ,FIVESTAR,2024-03-27,702.9,737.7,700.85,729.85,733.2,697.75,719184,515461164.85,21062
Five-Star Business Finance Limited,INE128S01021,2022-11-21,EQ,FIVESTAR,2024-03-26,714.15,717.2,693.0,697.75,703.0,715.75,770246,540415907.3,34469
Five-Star Business Finance Limited,INE128S01021,2022-11-21,EQ,FIVESTAR,2024-03-22,697.05,720.0,694.0,715.75,710.0,699.65,861786,606047071.4,12475
Five-Star Business Finance Limited,INE128S01021,2022-11-21,EQ,FIVESTAR,2024-03-21,680.0,706.0,679.05,699.65,696.0,679.05,353119,245763274.5,20245
Five-Star Business Finance Limited,INE128S01021,2022-11-21,EQ,FIVESTAR,2024-03-20,659.2,693.95,646.0,679.05,680.0,652.4,954704,635247129.1,38169
Five-Star Business Finance Limited,INE128S01021,2022-11-21,EQ,FIVESTAR,2024-03-19,642.9,657.45,633.15,652.4,648.0,642.85,448710,286505801.9,28401
Five-Star Business Finance Limited,INE128S01021,2022-11-21,EQ,FIVESTAR,2024-03-18,615.0,649.0,614.0,642.85,641.0,617.1,484692,311006499.25,33537
Five-Star Business Finance Limited,INE128S01021,2022-11-21,EQ,FIVESTAR,2024-03-15,629.0,641.15,610.55,617.1,622.0,625.95,355703,221527395.0,29472
Five-Star Business Finance Limited,INE128S01021,2022-11-21,EQ,FIVESTAR,2024-03-14,609.9,633.0,600.05,625.95,625.0,609.9,520720,321193704.65,44547
Five-Star Business Finance Limited,INE128S01021,2022-11-21,EQ,FIVESTAR,2024-03-13,654.0,663.75,606.2,609.9,610.0,652.95,333775,208673195.9,28946
Five-Star Business Finance Limited,INE128S01021,2022-11-21,EQ,FIVESTAR,2024-03-12,669.6,673.95,649.35,652.95,653.9,666.3,325436,215226461.3,17137
Five-Star Business Finance Limited,INE128S01021,2022-11-21,EQ,FIVESTAR,2024-03-11,673.95,697.1,661.0,666.3,669.0,664.8,862161,581141719.25,49025
Five-Star Business Finance Limited,INE128S01021,2022-11-21,EQ,FIVESTAR,2024-03-07,662.05,681.6,653.3,664.8,674.9,659.05,652929,435961371.3,30818
Five-Star Business Finance Limited,INE128S01021,2022-11-21,EQ,FIVESTAR,2024-03-06,672.2,681.6,652.15,659.05,664.95,672.2,912981,608495247.2,44444
Five-Star Business Finance Limited,INE128S01021,2022-11-21,EQ,FIVESTAR,2024-03-05,688.75,691.65,669.05,672.2,675.0,683.7,771372,524823055.45,25727
Five-Star Business Finance Limited,INE128S01021,2022-11-21,EQ,FIVESTAR,2024-03-04,711.45,711.9,681.0,683.7,686.0,710.0,429734,296770707.15,32888
Five-Star Business Finance Limited,INE128S01021,2022-11-21,EQ,FIVESTAR,2024-03-02,710.0,717.0,704.05,710.0,714.0,704.6,11574,8207994.4,850
Five-Star Business Finance Limited,INE128S01021,2022-11-21,EQ,FIVESTAR,2024-03-01,705.0,718.7,700.2,704.6,705.0,706.3,400197,283077145.05,21139
Five-Star Business Finance Limited,INE128S01021,2022-11-21,EQ,FIVESTAR,2024-02-29,709.0,717.6,697.5,706.3,705.9,709.35,852527,602021999.9,27295
