StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Gujarat Fluorochemicals Limited,INE09N301011,2019-10-16,EQ,FLUOROCHEM,2024-03-28,3136.5,3155.0,3075.0,3097.35,3075.0,3104.6,41802,130101886.85,6900
Gujarat Fluorochemicals Limited,INE09N301011,2019-10-16,EQ,FLUOROCHEM,2024-03-27,3129.0,3192.0,3083.7,3104.6,3099.0,3127.35,131146,410445693.05,14482
Gujarat Fluorochemicals Limited,INE09N301011,2019-10-16,EQ,FLUOROCHEM,2024-03-26,3129.9,3166.9,3090.95,3127.35,3131.0,3122.55,65134,203219798.55,10605
Gujarat Fluorochemicals Limited,INE09N301011,2019-10-16,EQ,FLUOROCHEM,2024-03-22,3111.0,3149.0,3075.0,3122.55,3128.9,3099.8,146307,455874223.65,13174
Gujarat Fluorochemicals Limited,INE09N301011,2019-10-16,EQ,FLUOROCHEM,2024-03-21,3119.0,3163.95,3076.5,3099.8,3081.0,3044.35,79761,248442369.8,9428
Gujarat Fluorochemicals Limited,INE09N301011,2019-10-16,EQ,FLUOROCHEM,2024-03-20,3147.0,3169.95,3016.0,3044.35,3049.0,3144.35,131450,402752020.2,16300
Gujarat Fluorochemicals Limited,INE09N301011,2019-10-16,EQ,FLUOROCHEM,2024-03-19,3220.0,3289.95,3131.05,3144.35,3140.0,3267.35,74738,238857117.95,10667
Gujarat Fluorochemicals Limited,INE09N301011,2019-10-16,EQ,FLUOROCHEM,2024-03-18,3170.0,3278.1,3170.0,3267.35,3235.0,3203.3,179580,583529471.4,24296
Gujarat Fluorochemicals Limited,INE09N301011,2019-10-16,EQ,FLUOROCHEM,2024-03-15,3277.85,3357.45,3181.65,3203.3,3250.0,3290.8,88926,288768833.9,11455
Gujarat Fluorochemicals Limited,INE09N301011,2019-10-16,EQ,FLUOROCHEM,2024-03-14,3211.0,3358.6,3205.05,3290.8,3281.0,3227.45,48079,158811942.35,8994
Gujarat Fluorochemicals Limited,INE09N301011,2019-10-16,EQ,FLUOROCHEM,2024-03-13,3367.05,3367.05,3151.65,3227.45,3259.5,3365.8,91064,295978817.3,15023
Gujarat Fluorochemicals Limited,INE09N301011,2019-10-16,EQ,FLUOROCHEM,2024-03-12,3430.0,3467.6,3330.05,3365.8,3348.0,3435.85,81260,275424515.8,8419
Gujarat Fluorochemicals Limited,INE09N301011,2019-10-16,EQ,FLUOROCHEM,2024-03-11,3525.1,3606.35,3420.0,3435.85,3430.0,3537.0,34550,120905181.75,7684
Gujarat Fluorochemicals Limited,INE09N301011,2019-10-16,EQ,FLUOROCHEM,2024-03-07,3606.9,3606.9,3518.85,3537.0,3522.0,3592.0,30376,108135896.7,5020
Gujarat Fluorochemicals Limited,INE09N301011,2019-10-16,EQ,FLUOROCHEM,2024-03-06,3578.95,3650.0,3405.0,3592.0,3572.1,3600.55,121270,425106406.6,17638
Gujarat Fluorochemicals Limited,INE09N301011,2019-10-16,EQ,FLUOROCHEM,2024-03-05,3499.0,3610.0,3482.35,3600.55,3576.5,3491.05,138300,495238888.5,14342
Gujarat Fluorochemicals Limited,INE09N301011,2019-10-16,EQ,FLUOROCHEM,2024-03-04,3641.05,3665.95,3461.0,3491.05,3506.0,3673.2,90351,319579976.65,14156
Gujarat Fluorochemicals Limited,INE09N301011,2019-10-16,EQ,FLUOROCHEM,2024-03-02,3650.0,3757.0,3650.0,3673.2,3675.0,3670.3,4535,16731518.2,535
Gujarat Fluorochemicals Limited,INE09N301011,2019-10-16,EQ,FLUOROCHEM,2024-03-01,3704.2,3834.5,3642.45,3670.3,3659.9,3701.75,130083,483857260.2,15259
Gujarat Fluorochemicals Limited,INE09N301011,2019-10-16,EQ,FLUOROCHEM,2024-02-29,3710.0,3720.0,3606.5,3701.75,3684.0,3711.2,73564,270485553.8,10522
Gujarat Fluorochemicals Limited,INE09N301011,2019-10-16,EQ,FLUOROCHEM,2024-02-28,3683.85,3734.0,3581.25,3711.2,3695.0,3683.85,78547,287772958.95,9589
Gujarat Fluorochemicals Limited,INE09N301011,2019-10-16,EQ,FLUOROCHEM,2024-02-27,3710.0,3751.0,3662.0,3683.85,3663.05,3698.25,94634,352027347.3,13021
Gujarat Fluorochemicals Limited,INE09N301011,2019-10-16,EQ,FLUOROCHEM,2024-02-26,3623.0,3716.4,3601.1,3698.25,3715.0,3591.65,164380,603671743.05,22729
Gujarat Fluorochemicals Limited,INE09N301011,2019-10-16,EQ,FLUOROCHEM,2024-02-23,3503.05,3649.7,3501.35,3591.65,3624.95,3513.6,128682,462481219.25,15781
