StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Firstsource Solutions Limited,INE684F01012,2007-02-22,EQ,FSL,2024-03-28,199.65,200.7,196.7,197.65,198.0,198.05,913903,181428888.2,17456
Firstsource Solutions Limited,INE684F01012,2007-02-22,EQ,FSL,2024-03-27,197.0,198.95,193.5,198.05,198.85,194.95,1726889,340613769.95,23495
Firstsource Solutions Limited,INE684F01012,2007-02-22,EQ,FSL,2024-03-26,190.5,196.25,188.05,194.95,195.1,192.45,1056560,203654090.85,19591
Firstsource Solutions Limited,INE684F01012,2007-02-22,EQ,FSL,2024-03-22,188.0,194.0,182.55,192.45,192.6,191.25,1164446,222063704.1,16536
Firstsource Solutions Limited,INE684F01012,2007-02-22,EQ,FSL,2024-03-21,189.0,192.75,187.45,191.25,190.6,186.95,1096091,208974367.2,26214
Firstsource Solutions Limited,INE684F01012,2007-02-22,EQ,FSL,2024-03-20,186.0,187.95,179.4,186.95,187.3,185.45,1249238,229760888.6,30802
Firstsource Solutions Limited,INE684F01012,2007-02-22,EQ,FSL,2024-03-19,189.85,189.95,183.55,185.45,184.75,190.2,1193050,221782471.1,18437
Firstsource Solutions Limited,INE684F01012,2007-02-22,EQ,FSL,2024-03-18,194.25,194.25,187.25,190.2,190.1,194.3,1585669,301045219.15,31660
Firstsource Solutions Limited,INE684F01012,2007-02-22,EQ,FSL,2024-03-15,192.0,195.5,188.85,194.3,194.05,194.25,1684759,322754351.1,25105
Firstsource Solutions Limited,INE684F01012,2007-02-22,EQ,FSL,2024-03-14,182.6,195.75,179.8,194.25,195.2,182.05,1807786,340938348.05,31397
Firstsource Solutions Limited,INE684F01012,2007-02-22,EQ,FSL,2024-03-13,190.75,192.5,178.4,182.05,182.8,189.5,2871244,525308921.95,43933
Firstsource Solutions Limited,INE684F01012,2007-02-22,EQ,FSL,2024-03-12,193.45,197.2,187.55,189.5,189.85,193.45,1512968,289709601.5,18969
Firstsource Solutions Limited,INE684F01012,2007-02-22,EQ,FSL,2024-03-11,197.0,197.0,191.0,193.45,193.9,197.9,1198227,231881824.55,16411
Firstsource Solutions Limited,INE684F01012,2007-02-22,EQ,FSL,2024-03-07,198.1,199.6,195.6,197.9,197.3,196.1,1067902,211001192.3,12402
Firstsource Solutions Limited,INE684F01012,2007-02-22,EQ,FSL,2024-03-06,200.8,201.25,192.4,196.1,196.0,202.25,2373492,464850929.0,47090
Firstsource Solutions Limited,INE684F01012,2007-02-22,EQ,FSL,2024-03-05,206.0,206.8,201.55,202.25,202.3,205.85,635122,129038504.2,8746
Firstsource Solutions Limited,INE684F01012,2007-02-22,EQ,FSL,2024-03-04,203.5,206.9,200.4,205.85,205.5,203.6,1740755,356248504.2,20944
Firstsource Solutions Limited,INE684F01012,2007-02-22,EQ,FSL,2024-03-02,205.55,206.65,203.0,203.6,204.0,205.35,144511,29506425.2,2250
Firstsource Solutions Limited,INE684F01012,2007-02-22,EQ,FSL,2024-03-01,207.0,208.2,204.55,205.35,205.1,205.7,1316418,270545891.75,17846
Firstsource Solutions Limited,INE684F01012,2007-02-22,EQ,FSL,2024-02-29,204.55,206.85,200.7,205.7,205.25,205.05,2243266,459958314.2,24402
Firstsource Solutions Limited,INE684F01012,2007-02-22,EQ,FSL,2024-02-28,208.35,209.2,201.8,205.05,205.1,206.95,2678081,550846391.95,37768
Firstsource Solutions Limited,INE684F01012,2007-02-22,EQ,FSL,2024-02-27,205.5,209.4,204.2,206.95,206.5,205.45,1776909,367629194.8,26704
Firstsource Solutions Limited,INE684F01012,2007-02-22,EQ,FSL,2024-02-26,202.55,208.5,202.0,205.45,205.75,201.55,2295126,473759250.8,26777
Firstsource Solutions Limited,INE684F01012,2007-02-22,EQ,FSL,2024-02-23,201.0,205.55,199.5,201.55,203.4,200.55,2060012,417216371.95,19340
Firstsource Solutions Limited,INE684F01012,2007-02-22,EQ,FSL,2024-02-22,200.0,206.9,198.9,200.55,200.4,198.7,3015644,607339244.2,38938
Firstsource Solutions Limited,INE684F01012,2007-02-22,EQ,FSL,2024-02-21,204.6,205.0,196.25,198.7,198.55,203.45,1545186,310139921.25,16101
Firstsource Solutions Limited,INE684F01012,2007-02-22,EQ,FSL,2024-02-20,199.4,207.9,198.55,203.45,203.05,198.2,3365046,688442409.1,44541
Firstsource Solutions Limited,INE684F01012,2007-02-22,EQ,FSL,2024-02-19,200.45,202.35,197.0,198.2,198.5,199.45,1300819,260168460.4,12739
Firstsource Solutions Limited,INE684F01012,2007-02-22,EQ,FSL,2024-02-16,199.6,202.0,196.15,199.45,199.8,200.65,2429371,486026870.1,28449
Firstsource Solutions Limited,INE684F01012,2007-02-22,EQ,FSL,2024-02-15,202.3,202.7,199.15,200.65,199.2,199.05,2674635,536001618.45,43670
Firstsource Solutions Limited,INE684F01012,2007-02-22,EQ,FSL,2024-02-14,195.0,200.25,193.1,199.05,198.5,197.75,2388114,473691951.6,20811
