StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
GAIL (India) Limited,INE129A01019,1997-04-02,EQ,GAIL,2024-03-28,181.35,182.4,179.65,181.05,181.9,180.3,10519502,1905254249.75,59077
GAIL (India) Limited,INE129A01019,1997-04-02,EQ,GAIL,2024-03-27,182.85,183.7,179.65,180.3,180.0,180.5,13833150,2521944329.55,82108
GAIL (India) Limited,INE129A01019,1997-04-02,EQ,GAIL,2024-03-26,174.1,181.25,172.05,180.5,180.7,174.1,22741278,4056426535.2,106186
GAIL (India) Limited,INE129A01019,1997-04-02,EQ,GAIL,2024-03-22,175.0,176.0,172.8,174.1,174.35,175.05,12396239,2167309636.65,55766
GAIL (India) Limited,INE129A01019,1997-04-02,EQ,GAIL,2024-03-21,175.1,177.3,173.8,175.05,175.0,174.0,13773426,2414637622.25,78678
GAIL (India) Limited,INE129A01019,1997-04-02,EQ,GAIL,2024-03-20,173.0,174.85,168.7,174.0,173.35,172.95,8692031,1496935432.4,54898
GAIL (India) Limited,INE129A01019,1997-04-02,EQ,GAIL,2024-03-19,175.85,176.5,172.4,172.95,172.95,175.9,9713217,1696639115.35,53222
GAIL (India) Limited,INE129A01019,1997-04-02,EQ,GAIL,2024-03-18,174.5,178.0,173.15,175.9,176.2,173.8,10899780,1920518920.8,60057
GAIL (India) Limited,INE129A01019,1997-04-02,EQ,GAIL,2024-03-15,176.6,176.65,165.55,173.8,174.0,176.1,42241333,7223862544.85,187081
GAIL (India) Limited,INE129A01019,1997-04-02,EQ,GAIL,2024-03-14,168.0,176.6,166.05,176.1,175.6,168.7,22996586,3988042279.95,172070
GAIL (India) Limited,INE129A01019,1997-04-02,EQ,GAIL,2024-03-13,179.9,180.15,166.3,168.7,169.1,179.9,22832224,3931500017.75,139469
GAIL (India) Limited,INE129A01019,1997-04-02,EQ,GAIL,2024-03-12,183.25,184.6,178.7,179.9,179.5,183.25,16435560,2976771394.7,96373
GAIL (India) Limited,INE129A01019,1997-04-02,EQ,GAIL,2024-03-11,188.0,188.0,181.95,183.25,183.5,188.55,14087639,2592128441.8,110277
GAIL (India) Limited,INE129A01019,1997-04-02,EQ,GAIL,2024-03-07,191.15,192.45,187.6,188.55,189.3,190.45,7718111,1466675472.5,54605
GAIL (India) Limited,INE129A01019,1997-04-02,EQ,GAIL,2024-03-06,194.05,194.1,185.65,190.45,190.6,194.1,20285523,3839473979.9,103020
GAIL (India) Limited,INE129A01019,1997-04-02,EQ,GAIL,2024-03-05,192.5,196.35,191.3,194.1,194.25,190.85,26849239,5207170183.2,112298
GAIL (India) Limited,INE129A01019,1997-04-02,EQ,GAIL,2024-03-04,186.0,192.9,185.0,190.85,190.95,184.4,52923468,10060584930.95,212144
GAIL (India) Limited,INE129A01019,1997-04-02,EQ,GAIL,2024-03-02,184.9,186.0,184.2,184.4,184.25,184.15,1173873,217162628.0,9453
GAIL (India) Limited,INE129A01019,1997-04-02,EQ,GAIL,2024-03-01,184.95,185.95,182.2,184.15,184.6,182.25,17823470,3288190127.1,86012
GAIL (India) Limited,INE129A01019,1997-04-02,EQ,GAIL,2024-02-29,178.75,183.9,176.3,182.25,182.9,179.35,19475687,3520027425.9,87955
GAIL (India) Limited,INE129A01019,1997-04-02,EQ,GAIL,2024-02-28,180.85,181.8,176.65,179.35,178.75,180.5,12659946,2267620063.05,71666
GAIL (India) Limited,INE129A01019,1997-04-02,EQ,GAIL,2024-02-27,182.0,183.25,178.85,180.5,180.45,182.1,9486385,1720901997.75,69626
GAIL (India) Limited,INE129A01019,1997-04-02,EQ,GAIL,2024-02-26,180.0,183.5,177.7,182.1,182.0,179.9,14909208,2702060988.2,80066
GAIL (India) Limited,INE129A01019,1997-04-02,EQ,GAIL,2024-02-23,183.0,183.1,179.1,179.9,179.8,182.25,8219010,1484557170.2,68470
GAIL (India) Limited,INE129A01019,1997-04-02,EQ,GAIL,2024-02-22,181.0,183.2,177.7,182.25,182.4,180.3,11766044,2133903358.25,64395
