StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
General Insurance Corporation of India,INE481Y01014,2017-10-25,EQ,GICRE,2024-03-28,332.4,341.95,327.3,329.75,329.65,331.35,1494850,500617079.45,27712
General Insurance Corporation of India,INE481Y01014,2017-10-25,EQ,GICRE,2024-03-27,327.6,342.0,327.6,331.35,331.15,327.1,2994563,1000603954.25,46314
General Insurance Corporation of India,INE481Y01014,2017-10-25,EQ,GICRE,2024-03-26,336.0,340.95,325.6,327.1,327.0,335.2,1674115,557665688.65,29029
General Insurance Corporation of India,INE481Y01014,2017-10-25,EQ,GICRE,2024-03-22,337.0,345.35,333.0,335.2,337.0,338.7,1562974,530819749.95,28942
General Insurance Corporation of India,INE481Y01014,2017-10-25,EQ,GICRE,2024-03-21,334.1,343.7,334.1,338.7,336.95,329.15,1527056,518230467.95,28894
General Insurance Corporation of India,INE481Y01014,2017-10-25,EQ,GICRE,2024-03-20,329.8,337.5,320.55,329.15,328.8,326.55,1331688,437812085.0,33529
General Insurance Corporation of India,INE481Y01014,2017-10-25,EQ,GICRE,2024-03-19,335.1,338.8,324.9,326.55,325.45,334.15,1108292,365980690.3,31203
General Insurance Corporation of India,INE481Y01014,2017-10-25,EQ,GICRE,2024-03-18,338.1,353.8,330.5,334.15,335.1,333.75,2795442,951054041.9,53086
General Insurance Corporation of India,INE481Y01014,2017-10-25,EQ,GICRE,2024-03-15,335.95,339.0,315.5,333.75,332.0,338.05,3772573,1232942530.7,80720
General Insurance Corporation of India,INE481Y01014,2017-10-25,EQ,GICRE,2024-03-14,317.4,344.5,308.05,338.05,336.1,317.4,4047339,1337699355.85,86555
General Insurance Corporation of India,INE481Y01014,2017-10-25,EQ,GICRE,2024-03-13,344.95,352.95,311.4,317.4,314.0,343.3,4205429,1372755153.75,86530
General Insurance Corporation of India,INE481Y01014,2017-10-25,EQ,GICRE,2024-03-12,357.0,358.05,336.0,343.3,344.8,356.3,3090554,1061584971.45,78182
General Insurance Corporation of India,INE481Y01014,2017-10-25,EQ,GICRE,2024-03-11,369.9,379.5,352.95,356.3,355.55,366.85,2343167,845478455.55,55868
General Insurance Corporation of India,INE481Y01014,2017-10-25,EQ,GICRE,2024-03-07,376.4,376.4,363.5,366.85,370.0,373.0,1758170,647663689.15,44195
General Insurance Corporation of India,INE481Y01014,2017-10-25,EQ,GICRE,2024-03-06,387.05,389.7,365.0,373.0,373.9,392.1,2561704,956933445.7,65478
General Insurance Corporation of India,INE481Y01014,2017-10-25,EQ,GICRE,2024-03-05,399.0,399.0,388.55,392.1,391.85,399.3,1245283,487714681.05,35125
General Insurance Corporation of India,INE481Y01014,2017-10-25,EQ,GICRE,2024-03-04,390.0,409.0,382.4,399.3,398.4,390.95,2751405,1098653499.3,56739
General Insurance Corporation of India,INE481Y01014,2017-10-25,EQ,GICRE,2024-03-02,387.05,391.8,384.0,390.95,390.0,387.45,203350,79116041.9,3905
General Insurance Corporation of India,INE481Y01014,2017-10-25,EQ,GICRE,2024-03-01,385.0,394.45,381.15,387.45,387.05,380.1,1862048,721294158.15,35101
General Insurance Corporation of India,INE481Y01014,2017-10-25,EQ,GICRE,2024-02-29,390.0,397.8,374.2,380.1,383.0,388.1,2985549,1142198941.45,58069
General Insurance Corporation of India,INE481Y01014,2017-10-25,EQ,GICRE,2024-02-28,411.0,414.8,383.0,388.1,389.0,407.5,3314308,1298374552.1,57229
General Insurance Corporation of India,INE481Y01014,2017-10-25,EQ,GICRE,2024-02-27,404.0,424.4,403.4,407.5,409.65,401.9,4023111,1665911835.3,71113
General Insurance Corporation of India,INE481Y01014,2017-10-25,EQ,GICRE,2024-02-26,421.0,429.75,399.4,401.9,402.0,421.15,3183867,1305061850.1,71544
General Insurance Corporation of India,INE481Y01014,2017-10-25,EQ,GICRE,2024-02-23,435.0,436.7,417.65,421.15,421.0,429.6,2548586,1079554929.0,52051
General Insurance Corporation of India,INE481Y01014,2017-10-25,EQ,GICRE,2024-02-22,435.0,439.2,411.25,429.6,431.1,425.2,4445645,1878757486.0,75428
General Insurance Corporation of India,INE481Y01014,2017-10-25,EQ,GICRE,2024-02-21,410.0,449.45,410.0,425.2,429.2,407.55,16992674,7413939740.45,242880
General Insurance Corporation of India,INE481Y01014,2017-10-25,EQ,GICRE,2024-02-20,425.0,433.45,406.0,407.55,407.9,424.45,3618445,1503953547.35,64659
General Insurance Corporation of India,INE481Y01014,2017-10-25,EQ,GICRE,2024-02-19,427.0,443.9,417.55,424.45,425.5,427.2,5255764,2266922799.05,96955
General Insurance Corporation of India,INE481Y01014,2017-10-25,EQ,GICRE,2024-02-16,387.1,444.45,371.5,427.2,421.0,385.35,22169397,9406832442.8,302026
General Insurance Corporation of India,INE481Y01014,2017-10-25,EQ,GICRE,2024-02-15,382.7,395.55,377.25,385.35,384.0,379.95,2508887,965573616.9,50336
