StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-03-28,1843.35,1851.0,1803.25,1845.25,1830.0,1820.5,98202,180113281.6,10948
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-03-27,1773.75,1838.1,1773.75,1820.5,1835.35,1791.45,106950,194361586.75,15881
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-03-26,1781.0,1800.8,1760.0,1791.45,1784.0,1794.35,60414,107935257.0,8233
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-03-22,1774.7,1805.0,1750.05,1794.35,1793.35,1753.0,99046,176502775.65,13977
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-03-21,1734.95,1765.0,1711.3,1753.0,1759.9,1700.75,117503,205254833.0,10718
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-03-20,1772.9,1773.95,1690.0,1700.75,1705.15,1772.9,283536,489143990.55,18697
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-03-19,1791.4,1791.4,1753.1,1772.9,1781.25,1786.45,49536,87653352.05,7085
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-03-18,1789.95,1805.0,1756.0,1786.45,1795.0,1790.0,68653,122345001.75,9610
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-03-15,1748.0,1811.9,1728.75,1790.0,1792.0,1748.75,170394,302554783.0,15557
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-03-14,1688.0,1755.0,1670.95,1748.75,1751.4,1690.7,101033,175339362.85,16106
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-03-13,1732.0,1732.4,1671.0,1690.7,1700.0,1731.75,361620,613743110.05,31586
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-03-12,1752.8,1760.55,1706.1,1731.75,1734.0,1752.8,233224,403410540.4,23347
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-03-11,1773.85,1776.75,1731.95,1752.8,1755.0,1765.2,126820,222170300.95,19299
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-03-07,1747.9,1779.55,1726.25,1765.2,1767.5,1744.6,224522,395046229.7,13328
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-03-06,1764.95,1769.95,1724.1,1744.6,1753.9,1755.85,169060,294092730.2,12471
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-03-05,1710.25,1782.4,1707.95,1755.85,1761.9,1707.95,457269,798014046.85,41875
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-03-04,1809.0,1822.2,1666.8,1707.95,1750.0,1794.8,528410,926689250.35,39778
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-03-02,1795.0,1803.85,1775.0,1794.8,1800.0,1787.55,8204,14737372.85,999
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-03-01,1770.0,1807.0,1740.45,1787.55,1780.0,1765.95,318279,564577198.45,28880
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-02-29,1809.0,1812.85,1732.9,1765.95,1771.0,1801.8,244498,430971882.55,30392
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-02-28,1830.0,1841.25,1793.0,1801.8,1794.25,1821.95,157618,286540706.65,13605
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-02-27,1844.9,1862.65,1798.0,1821.95,1830.0,1830.6,269905,491056479.15,15806
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-02-26,1866.05,1874.0,1811.85,1830.6,1830.0,1861.1,226919,416556183.15,20386
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-02-23,1909.0,1915.95,1836.15,1861.1,1859.0,1898.65,342877,638818962.65,23495
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-02-22,1953.0,1953.0,1894.45,1898.65,1900.0,1952.7,238387,458753275.6,18460
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-02-21,1966.0,1980.0,1935.0,1952.7,1948.8,1966.75,139572,273192896.3,13113
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-02-20,2000.0,2014.0,1945.75,1966.75,1965.0,2000.3,168869,331941152.75,14154
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-02-19,2024.7,2026.6,1965.35,2000.3,2000.0,2001.15,188853,377130528.1,18074
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-02-16,1910.0,2060.0,1908.05,2001.15,1984.5,1897.1,860849,1729794147.95,66451
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-02-15,1920.0,2031.0,1865.0,1897.1,1902.0,1950.05,1233168,2373097301.85,90843
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-02-14,1959.35,1979.0,1921.0,1950.05,1939.8,1979.9,195128,380225299.85,20742
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-02-13,1996.1,2021.6,1931.0,1979.9,1970.0,1996.1,308052,609312813.75,24347
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-02-12,2007.25,2038.95,1987.1,1996.1,1999.95,2007.25,151900,305272672.7,21334
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-02-09,2003.0,2022.3,1964.0,2007.25,2000.0,1996.25,140161,279498140.9,19116
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-02-08,2049.0,2055.9,1986.2,1996.25,2002.0,2043.9,162482,325822773.45,17659
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-02-07,2140.5,2194.0,2034.5,2043.9,2049.0,2140.4,377150,792104112.55,35988
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-02-06,2022.0,2160.0,2022.0,2140.4,2138.0,2018.0,620044,1311716834.3,56395
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-02-05,2008.0,2041.95,2002.55,2018.0,2019.0,1998.55,258384,523702445.6,17570
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-02-02,1993.7,2026.95,1989.35,1998.55,2000.0,1983.8,345608,694332284.75,17973
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-02-01,1956.35,1990.0,1946.05,1983.8,1983.0,1956.55,247305,486292683.85,12406
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-01-31,1888.3,1998.55,1882.5,1956.55,1953.0,1888.3,233378,454979218.25,26728
Gland Pharma Limited,INE068V01023,2020-11-20,EQ,GLAND,2024-01-30,1889.7,1912.85,1865.2,1888.3,1897.0,1880.6,143699,271468786.5,18374
