StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Glenmark Life Sciences Limited,INE03Q201024,2021-08-06,EQ,GLS,2024-03-28,774.4,785.1,761.3,776.65,765.0,770.55,90249,69703172.3,5259
Glenmark Life Sciences Limited,INE03Q201024,2021-08-06,EQ,GLS,2024-03-27,762.0,783.4,753.55,770.55,769.0,759.75,106973,82094032.85,8585
Glenmark Life Sciences Limited,INE03Q201024,2021-08-06,EQ,GLS,2024-03-26,754.0,766.85,741.85,759.75,753.0,753.7,109821,83020960.35,9289
Glenmark Life Sciences Limited,INE03Q201024,2021-08-06,EQ,GLS,2024-03-22,750.0,756.25,742.0,753.7,755.0,750.25,51520,38635038.35,3131
Glenmark Life Sciences Limited,INE03Q201024,2021-08-06,EQ,GLS,2024-03-21,740.8,755.65,733.7,750.25,744.5,741.15,81356,60629918.2,4576
Glenmark Life Sciences Limited,INE03Q201024,2021-08-06,EQ,GLS,2024-03-20,735.0,754.75,728.55,741.15,740.0,728.55,90432,67017144.45,4671
Glenmark Life Sciences Limited,INE03Q201024,2021-08-06,EQ,GLS,2024-03-19,767.35,771.0,719.75,728.55,733.0,759.7,66578,49308689.45,5382
Glenmark Life Sciences Limited,INE03Q201024,2021-08-06,EQ,GLS,2024-03-18,730.05,768.55,724.45,759.7,761.0,739.35,153175,115926072.05,8960
Glenmark Life Sciences Limited,INE03Q201024,2021-08-06,EQ,GLS,2024-03-15,732.0,752.0,715.6,739.35,734.1,722.25,228587,168174261.1,8494
Glenmark Life Sciences Limited,INE03Q201024,2021-08-06,EQ,GLS,2024-03-14,688.25,746.4,680.05,722.25,724.7,688.3,150297,106344742.85,9831
Glenmark Life Sciences Limited,INE03Q201024,2021-08-06,EQ,GLS,2024-03-13,748.0,752.0,676.5,688.3,686.0,723.0,233898,166897924.65,15508
Glenmark Life Sciences Limited,INE03Q201024,2021-08-06,EQ,GLS,2024-03-12,732.05,737.4,712.7,723.0,723.0,732.45,110703,79959998.05,6782
Glenmark Life Sciences Limited,INE03Q201024,2021-08-06,EQ,GLS,2024-03-11,765.05,765.45,724.95,732.45,735.95,765.45,161581,119774370.85,12495
Glenmark Life Sciences Limited,INE03Q201024,2021-08-06,EQ,GLS,2024-03-07,734.0,770.2,733.65,765.45,766.0,736.35,236965,179350353.45,7902
Glenmark Life Sciences Limited,INE03Q201024,2021-08-06,EQ,GLS,2024-03-06,763.1,774.0,725.0,736.35,745.05,770.1,441422,329731430.35,14266
Glenmark Life Sciences Limited,INE03Q201024,2021-08-06,EQ,GLS,2024-03-05,800.0,807.35,747.45,770.1,767.95,807.35,477153,366197586.8,19825
Glenmark Life Sciences Limited,INE03Q201024,2021-08-06,EQ,GLS,2024-03-04,846.0,849.5,795.35,807.35,799.0,844.9,198153,163309665.15,8298
Glenmark Life Sciences Limited,INE03Q201024,2021-08-06,EQ,GLS,2024-03-02,850.1,899.65,840.25,844.9,842.5,859.6,14681,12504178.85,1097
Glenmark Life Sciences Limited,INE03Q201024,2021-08-06,EQ,GLS,2024-03-01,862.0,870.35,852.05,859.6,860.0,868.45,205182,176359081.75,5473
Glenmark Life Sciences Limited,INE03Q201024,2021-08-06,EQ,GLS,2024-02-29,876.8,879.4,845.05,868.45,866.0,876.8,119427,103031072.5,8165
Glenmark Life Sciences Limited,INE03Q201024,2021-08-06,EQ,GLS,2024-02-28,885.0,888.55,873.3,876.8,876.3,888.3,87530,76860784.15,3236
Glenmark Life Sciences Limited,INE03Q201024,2021-08-06,EQ,GLS,2024-02-27,900.0,900.0,882.05,888.3,885.25,890.25,104761,93140871.25,5995
