StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Gujarat Mineral Development Corporation Limited,INE131A01031,1997-12-17,EQ,GMDCLTD,2024-03-28,353.5,358.9,342.1,343.95,343.4,347.2,1618577,566735685.3,21428
Gujarat Mineral Development Corporation Limited,INE131A01031,1997-12-17,EQ,GMDCLTD,2024-03-27,355.05,360.0,345.0,347.2,346.2,352.5,2597725,914177936.35,34111
Gujarat Mineral Development Corporation Limited,INE131A01031,1997-12-17,EQ,GMDCLTD,2024-03-26,356.0,362.65,351.0,352.5,352.5,359.45,1214998,431228913.1,20156
Gujarat Mineral Development Corporation Limited,INE131A01031,1997-12-17,EQ,GMDCLTD,2024-03-22,362.0,363.45,356.4,359.45,359.5,362.25,1734417,623623593.4,18722
Gujarat Mineral Development Corporation Limited,INE131A01031,1997-12-17,EQ,GMDCLTD,2024-03-21,343.0,364.9,343.0,362.25,362.0,343.95,2718281,969781227.25,32861
Gujarat Mineral Development Corporation Limited,INE131A01031,1997-12-17,EQ,GMDCLTD,2024-03-20,352.0,352.0,340.75,343.95,343.0,342.7,1648340,570030585.4,23932
Gujarat Mineral Development Corporation Limited,INE131A01031,1997-12-17,EQ,GMDCLTD,2024-03-19,352.0,355.5,340.15,342.7,341.85,350.8,1172264,408642396.1,20012
Gujarat Mineral Development Corporation Limited,INE131A01031,1997-12-17,EQ,GMDCLTD,2024-03-18,353.4,363.0,349.25,350.8,350.0,350.55,1675807,596624532.0,31067
Gujarat Mineral Development Corporation Limited,INE131A01031,1997-12-17,EQ,GMDCLTD,2024-03-15,344.0,355.65,334.65,350.55,349.5,346.6,2222615,769136375.5,41817
Gujarat Mineral Development Corporation Limited,INE131A01031,1997-12-17,EQ,GMDCLTD,2024-03-14,324.0,357.0,323.15,346.6,348.0,323.8,4057433,1394522973.5,63665
Gujarat Mineral Development Corporation Limited,INE131A01031,1997-12-17,EQ,GMDCLTD,2024-03-13,364.0,369.45,316.8,323.8,322.3,362.0,3557115,1203605606.0,75872
Gujarat Mineral Development Corporation Limited,INE131A01031,1997-12-17,EQ,GMDCLTD,2024-03-12,383.65,385.85,358.3,362.0,360.85,383.95,2205308,816851444.35,48149
Gujarat Mineral Development Corporation Limited,INE131A01031,1997-12-17,EQ,GMDCLTD,2024-03-11,395.9,397.5,380.1,383.95,381.6,396.1,1006833,391756177.75,20351
Gujarat Mineral Development Corporation Limited,INE131A01031,1997-12-17,EQ,GMDCLTD,2024-03-07,396.0,404.95,385.25,396.1,395.0,396.7,1413684,564772663.3,23674
Gujarat Mineral Development Corporation Limited,INE131A01031,1997-12-17,EQ,GMDCLTD,2024-03-06,393.0,409.0,380.0,396.7,396.0,394.5,3458212,1370680727.1,58501
Gujarat Mineral Development Corporation Limited,INE131A01031,1997-12-17,EQ,GMDCLTD,2024-03-05,398.7,400.85,393.25,394.5,393.3,396.9,721388,286109405.8,12626
Gujarat Mineral Development Corporation Limited,INE131A01031,1997-12-17,EQ,GMDCLTD,2024-03-04,392.0,404.4,392.0,396.9,395.1,398.25,1753571,697836719.05,26380
Gujarat Mineral Development Corporation Limited,INE131A01031,1997-12-17,EQ,GMDCLTD,2024-03-02,399.05,401.65,392.0,398.25,397.1,398.25,137215,54694788.45,2921
Gujarat Mineral Development Corporation Limited,INE131A01031,1997-12-17,EQ,GMDCLTD,2024-03-01,392.2,403.9,392.05,398.25,396.85,389.9,1174184,468957052.3,20935
Gujarat Mineral Development Corporation Limited,INE131A01031,1997-12-17,EQ,GMDCLTD,2024-02-29,390.45,396.0,382.8,389.9,390.0,391.4,1240085,483090051.65,29569
Gujarat Mineral Development Corporation Limited,INE131A01031,1997-12-17,EQ,GMDCLTD,2024-02-28,402.0,406.7,390.0,391.4,391.3,402.0,1445705,572820750.4,33709
Gujarat Mineral Development Corporation Limited,INE131A01031,1997-12-17,EQ,GMDCLTD,2024-02-27,404.0,413.0,399.05,402.0,401.3,404.4,1528795,620676929.55,29783
Gujarat Mineral Development Corporation Limited,INE131A01031,1997-12-17,EQ,GMDCLTD,2024-02-26,410.0,414.9,402.95,404.4,404.5,414.5,1245336,506486275.65,23734
