StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Gujarat Narmada Valley Fertilizers and Chemicals Limited,INE113A01013,1995-05-17,EQ,GNFC,2024-03-28,636.0,636.05,623.35,625.1,625.9,629.95,612078,384370825.05,19404
Gujarat Narmada Valley Fertilizers and Chemicals Limited,INE113A01013,1995-05-17,EQ,GNFC,2024-03-27,629.9,642.35,627.65,629.95,629.1,627.25,920879,583871977.5,26612
Gujarat Narmada Valley Fertilizers and Chemicals Limited,INE113A01013,1995-05-17,EQ,GNFC,2024-03-26,621.0,636.35,618.85,627.25,629.9,624.4,538784,338681624.15,18285
Gujarat Narmada Valley Fertilizers and Chemicals Limited,INE113A01013,1995-05-17,EQ,GNFC,2024-03-22,622.9,632.0,621.05,624.4,625.75,621.65,684961,429436428.55,22655
Gujarat Narmada Valley Fertilizers and Chemicals Limited,INE113A01013,1995-05-17,EQ,GNFC,2024-03-21,614.0,623.5,614.0,621.65,621.7,607.7,465779,288707779.0,19410
Gujarat Narmada Valley Fertilizers and Chemicals Limited,INE113A01013,1995-05-17,EQ,GNFC,2024-03-20,615.0,618.6,603.6,607.7,608.0,612.35,464491,282840105.6,18821
Gujarat Narmada Valley Fertilizers and Chemicals Limited,INE113A01013,1995-05-17,EQ,GNFC,2024-03-19,620.0,624.0,610.15,612.35,610.15,620.75,406592,250447824.4,15002
Gujarat Narmada Valley Fertilizers and Chemicals Limited,INE113A01013,1995-05-17,EQ,GNFC,2024-03-18,626.5,631.9,615.2,620.75,623.0,626.5,460923,286451749.2,19845
Gujarat Narmada Valley Fertilizers and Chemicals Limited,INE113A01013,1995-05-17,EQ,GNFC,2024-03-15,613.0,630.9,606.0,626.5,626.1,614.75,1355321,842601263.65,39201
Gujarat Narmada Valley Fertilizers and Chemicals Limited,INE113A01013,1995-05-17,EQ,GNFC,2024-03-14,598.0,621.0,590.25,614.75,614.1,598.05,1131595,696380702.9,35219
