StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Godrej Consumer Products Limited,INE102D01028,2001-06-20,EQ,GODREJCP,2024-03-28,1235.95,1259.5,1220.25,1251.8,1257.8,1235.05,1334466,1661232057.2,45967
Godrej Consumer Products Limited,INE102D01028,2001-06-20,EQ,GODREJCP,2024-03-27,1199.95,1240.0,1196.15,1235.05,1230.0,1199.05,1096345,1341966161.8,87379
Godrej Consumer Products Limited,INE102D01028,2001-06-20,EQ,GODREJCP,2024-03-26,1201.65,1210.15,1192.55,1199.05,1200.0,1221.65,1540513,1844148343.65,37020
Godrej Consumer Products Limited,INE102D01028,2001-06-20,EQ,GODREJCP,2024-03-22,1236.95,1244.5,1210.0,1221.65,1210.0,1231.65,1242316,1515685552.35,33335
Godrej Consumer Products Limited,INE102D01028,2001-06-20,EQ,GODREJCP,2024-03-21,1215.2,1235.0,1215.2,1231.65,1228.25,1215.2,616794,758920585.9,44605
Godrej Consumer Products Limited,INE102D01028,2001-06-20,EQ,GODREJCP,2024-03-20,1201.5,1219.4,1186.0,1215.2,1216.0,1204.35,1164641,1399430026.7,39253
Godrej Consumer Products Limited,INE102D01028,2001-06-20,EQ,GODREJCP,2024-03-19,1249.4,1254.35,1195.7,1204.35,1200.6,1241.7,1537489,1862649274.25,56514
Godrej Consumer Products Limited,INE102D01028,2001-06-20,EQ,GODREJCP,2024-03-18,1212.65,1247.35,1203.75,1241.7,1245.0,1212.7,1091124,1340310373.85,48911
Godrej Consumer Products Limited,INE102D01028,2001-06-20,EQ,GODREJCP,2024-03-15,1217.0,1223.8,1203.7,1212.7,1208.65,1227.4,1283320,1556000644.85,55923
Godrej Consumer Products Limited,INE102D01028,2001-06-20,EQ,GODREJCP,2024-03-14,1185.05,1230.65,1176.55,1227.4,1213.0,1196.05,883209,1074602751.75,51343
Godrej Consumer Products Limited,INE102D01028,2001-06-20,EQ,GODREJCP,2024-03-13,1205.15,1234.05,1185.3,1196.05,1194.1,1212.35,1206909,1450855282.3,73082
Godrej Consumer Products Limited,INE102D01028,2001-06-20,EQ,GODREJCP,2024-03-12,1243.75,1243.75,1208.45,1212.35,1212.95,1238.3,615456,749723934.5,32648
Godrej Consumer Products Limited,INE102D01028,2001-06-20,EQ,GODREJCP,2024-03-11,1246.45,1261.05,1234.9,1238.3,1244.7,1234.25,661051,823153037.9,41027
Godrej Consumer Products Limited,INE102D01028,2001-06-20,EQ,GODREJCP,2024-03-07,1240.2,1242.0,1228.15,1234.25,1234.85,1240.15,576176,710865772.0,29070
Godrej Consumer Products Limited,INE102D01028,2001-06-20,EQ,GODREJCP,2024-03-06,1248.7,1251.5,1221.0,1240.15,1241.7,1244.7,458427,566033291.0,27595
Godrej Consumer Products Limited,INE102D01028,2001-06-20,EQ,GODREJCP,2024-03-05,1260.05,1265.05,1241.3,1244.7,1242.05,1253.45,391674,489145464.55,23312
Godrej Consumer Products Limited,INE102D01028,2001-06-20,EQ,GODREJCP,2024-03-04,1280.0,1280.4,1242.2,1253.45,1254.9,1273.4,479196,600448610.6,25400
Godrej Consumer Products Limited,INE102D01028,2001-06-20,EQ,GODREJCP,2024-03-02,1273.85,1282.35,1267.45,1273.4,1271.25,1267.45,17368,22132797.75,1137
Godrej Consumer Products Limited,INE102D01028,2001-06-20,EQ,GODREJCP,2024-03-01,1260.8,1282.75,1259.55,1267.45,1266.4,1257.7,1127238,1431728804.1,60722
Godrej Consumer Products Limited,INE102D01028,2001-06-20,EQ,GODREJCP,2024-02-29,1234.0,1263.85,1226.05,1257.7,1240.0,1234.05,1041829,1305298046.0,46177
Godrej Consumer Products Limited,INE102D01028,2001-06-20,EQ,GODREJCP,2024-02-28,1277.0,1278.4,1230.05,1234.05,1236.0,1266.05,639686,801530897.3,36435
Godrej Consumer Products Limited,INE102D01028,2001-06-20,EQ,GODREJCP,2024-02-27,1254.95,1270.0,1241.5,1266.05,1269.0,1252.7,871412,1100761162.9,44849
Godrej Consumer Products Limited,INE102D01028,2001-06-20,EQ,GODREJCP,2024-02-26,1250.95,1257.25,1239.1,1252.7,1249.05,1250.95,399577,499950072.65,26869
Godrej Consumer Products Limited,INE102D01028,2001-06-20,EQ,GODREJCP,2024-02-23,1260.2,1265.0,1236.75,1250.95,1253.95,1256.35,520711,652714270.4,28672
Godrej Consumer Products Limited,INE102D01028,2001-06-20,EQ,GODREJCP,2024-02-22,1242.85,1261.65,1222.6,1256.35,1254.55,1236.1,656729,817234427.25,36063
Godrej Consumer Products Limited,INE102D01028,2001-06-20,EQ,GODREJCP,2024-02-21,1227.7,1250.0,1224.6,1236.1,1230.7,1227.55,875759,1083122271.55,59277
Godrej Consumer Products Limited,INE102D01028,2001-06-20,EQ,GODREJCP,2024-02-20,1235.0,1249.4,1218.7,1227.55,1230.0,1230.0,937389,1156934109.1,46676
