StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Godrej Industries Limited,INE233A01035,2003-02-25,EQ,GODREJIND,2024-03-28,772.9,786.65,755.5,782.45,779.0,772.5,70807,54756864.9,8345
Godrej Industries Limited,INE233A01035,2003-02-25,EQ,GODREJIND,2024-03-27,760.15,778.6,760.15,772.5,772.9,759.2,115960,89235592.65,7154
Godrej Industries Limited,INE233A01035,2003-02-25,EQ,GODREJIND,2024-03-26,759.6,780.95,752.0,759.2,762.8,755.8,81287,62003987.45,8523
Godrej Industries Limited,INE233A01035,2003-02-25,EQ,GODREJIND,2024-03-22,755.6,761.45,752.0,755.8,757.0,755.6,39851,30134693.8,3683
Godrej Industries Limited,INE233A01035,2003-02-25,EQ,GODREJIND,2024-03-21,742.8,758.7,742.8,755.6,755.2,738.75,56382,42521771.0,4586
Godrej Industries Limited,INE233A01035,2003-02-25,EQ,GODREJIND,2024-03-20,739.0,745.15,724.2,738.75,745.0,739.65,70667,51793839.55,6991
Godrej Industries Limited,INE233A01035,2003-02-25,EQ,GODREJIND,2024-03-19,748.5,754.9,731.0,739.65,739.0,742.25,102792,76200182.25,8070
Godrej Industries Limited,INE233A01035,2003-02-25,EQ,GODREJIND,2024-03-18,758.0,763.75,738.9,742.25,738.9,759.65,218233,163341225.5,8579
Godrej Industries Limited,INE233A01035,2003-02-25,EQ,GODREJIND,2024-03-15,746.0,770.0,736.2,759.65,752.55,753.05,153566,116233263.15,11245
Godrej Industries Limited,INE233A01035,2003-02-25,EQ,GODREJIND,2024-03-14,756.05,774.0,742.25,753.05,757.6,758.65,179979,136557903.05,11714
Godrej Industries Limited,INE233A01035,2003-02-25,EQ,GODREJIND,2024-03-13,785.05,787.7,753.0,758.65,754.0,790.85,282991,217671551.4,15543
Godrej Industries Limited,INE233A01035,2003-02-25,EQ,GODREJIND,2024-03-12,815.2,815.2,777.0,790.85,791.45,811.85,238599,188281736.8,15994
Godrej Industries Limited,INE233A01035,2003-02-25,EQ,GODREJIND,2024-03-11,827.0,830.0,799.0,811.85,812.0,817.25,116389,94548666.1,13294
Godrej Industries Limited,INE233A01035,2003-02-25,EQ,GODREJIND,2024-03-07,796.9,825.6,781.05,817.25,820.0,796.9,144996,117594658.35,13744
Godrej Industries Limited,INE233A01035,2003-02-25,EQ,GODREJIND,2024-03-06,800.05,806.05,779.85,796.9,800.25,800.0,105455,83502467.7,12166
Godrej Industries Limited,INE233A01035,2003-02-25,EQ,GODREJIND,2024-03-05,802.0,814.5,782.8,800.0,809.0,804.35,140025,112035087.65,11670
Godrej Industries Limited,INE233A01035,2003-02-25,EQ,GODREJIND,2024-03-04,817.75,817.85,795.55,804.35,806.8,814.25,48016,38700913.5,6689
Godrej Industries Limited,INE233A01035,2003-02-25,EQ,GODREJIND,2024-03-02,810.0,818.0,802.0,814.25,815.0,809.9,7977,6454669.25,643
Godrej Industries Limited,INE233A01035,2003-02-25,EQ,GODREJIND,2024-03-01,805.0,819.35,804.6,809.9,811.5,801.0,103216,83857345.25,7008
