StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Godrej Properties Limited,INE484J01027,2010-01-05,EQ,GODREJPROP,2024-03-28,2277.1,2315.0,2248.4,2300.1,2298.0,2277.0,428232,982156373.05,37761
Godrej Properties Limited,INE484J01027,2010-01-05,EQ,GODREJPROP,2024-03-27,2276.95,2291.0,2260.0,2277.0,2274.0,2272.5,238094,542266545.7,21454
Godrej Properties Limited,INE484J01027,2010-01-05,EQ,GODREJPROP,2024-03-26,2201.6,2279.85,2201.6,2272.5,2275.0,2246.45,406656,915790050.6,28535
Godrej Properties Limited,INE484J01027,2010-01-05,EQ,GODREJPROP,2024-03-22,2238.9,2256.55,2210.0,2246.45,2244.0,2223.55,424688,951203919.25,34969
Godrej Properties Limited,INE484J01027,2010-01-05,EQ,GODREJPROP,2024-03-21,2170.0,2230.0,2151.65,2223.55,2230.0,2139.9,544468,1192126443.0,35499
Godrej Properties Limited,INE484J01027,2010-01-05,EQ,GODREJPROP,2024-03-20,2136.0,2158.5,2103.05,2139.9,2134.3,2135.55,532595,1134802426.35,47971
Godrej Properties Limited,INE484J01027,2010-01-05,EQ,GODREJPROP,2024-03-19,2176.15,2176.15,2097.05,2135.55,2130.05,2162.95,758302,1613972973.5,42783
Godrej Properties Limited,INE484J01027,2010-01-05,EQ,GODREJPROP,2024-03-18,2220.0,2220.0,2132.0,2162.95,2176.2,2218.25,730557,1581474213.85,67670
Godrej Properties Limited,INE484J01027,2010-01-05,EQ,GODREJPROP,2024-03-15,2169.0,2234.2,2157.95,2218.25,2211.95,2169.0,747820,1646433812.85,54243
Godrej Properties Limited,INE484J01027,2010-01-05,EQ,GODREJPROP,2024-03-14,2173.0,2211.9,2126.15,2169.0,2180.0,2205.25,1040142,2258933468.5,68741
Godrej Properties Limited,INE484J01027,2010-01-05,EQ,GODREJPROP,2024-03-13,2319.2,2342.35,2181.15,2205.25,2198.45,2319.2,1014147,2280758538.45,59036
Godrej Properties Limited,INE484J01027,2010-01-05,EQ,GODREJPROP,2024-03-12,2438.9,2439.95,2314.0,2319.2,2325.0,2421.15,629548,1478857131.7,47549
Godrej Properties Limited,INE484J01027,2010-01-05,EQ,GODREJPROP,2024-03-11,2470.15,2497.0,2407.1,2421.15,2424.0,2465.45,712005,1736989764.4,60351
Godrej Properties Limited,INE484J01027,2010-01-05,EQ,GODREJPROP,2024-03-07,2457.2,2481.95,2440.0,2465.45,2461.7,2460.4,420622,1036718968.7,21918
Godrej Properties Limited,INE484J01027,2010-01-05,EQ,GODREJPROP,2024-03-06,2484.0,2507.85,2403.1,2460.4,2456.95,2485.85,357881,875997688.7,31289
Godrej Properties Limited,INE484J01027,2010-01-05,EQ,GODREJPROP,2024-03-05,2502.65,2524.35,2477.6,2485.85,2485.25,2492.05,343306,859293483.0,25941
Godrej Properties Limited,INE484J01027,2010-01-05,EQ,GODREJPROP,2024-03-04,2484.0,2541.3,2467.05,2492.05,2492.4,2441.5,1625242,4067816180.05,94402
