StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-03-28,607.0,614.0,601.0,603.55,602.55,606.0,553814,336762115.5,13663
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-03-27,614.85,620.95,604.0,606.0,605.05,612.15,635634,388726515.8,17994
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-03-26,617.85,622.0,603.5,612.15,612.4,616.65,1369174,839172627.7,30694
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-03-22,618.9,644.4,612.0,616.65,617.9,620.8,4350412,2749630616.3,75587
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-03-21,597.0,634.65,596.6,620.8,618.85,587.85,5527835,3455218166.5,107544
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-03-20,596.25,605.75,581.1,587.85,589.0,593.3,1261076,750991656.8,27650
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-03-19,610.05,615.0,590.0,593.3,591.4,610.05,934407,561828511.95,25232
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-03-18,617.45,639.0,605.7,610.05,608.75,615.7,1336108,830175488.0,35758
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-03-15,605.5,621.85,590.1,615.7,614.75,606.9,1913203,1167826431.0,50704
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-03-14,601.75,625.0,587.1,606.9,605.0,598.35,1955545,1192555520.5,49930
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-03-13,635.8,646.0,590.5,598.35,599.65,632.7,2945549,1816912524.7,73514
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-03-12,629.35,645.5,608.45,632.7,628.0,627.35,3817870,2412502495.45,80612
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-03-11,640.0,652.35,621.1,627.35,627.9,638.7,2398210,1523705755.7,59750
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-03-07,600.0,644.0,596.0,638.7,636.9,595.8,5002002,3150624701.55,96397
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-03-06,621.6,621.9,592.5,595.8,595.1,621.35,1259877,758667196.2,37801
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-03-05,631.95,636.2,616.5,621.35,622.5,631.15,1483208,925415364.75,40405
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-03-04,611.0,646.3,610.15,631.15,631.0,609.3,5824569,3694810481.05,127601
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-03-02,602.5,611.0,595.7,609.3,608.25,602.3,161022,97538109.85,4475
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-03-01,601.2,623.0,600.5,602.3,602.7,598.85,1352892,825892397.9,40288
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-02-29,591.0,609.45,576.5,598.85,601.2,590.45,1299565,772269159.2,41463
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-02-28,601.0,609.0,582.05,590.45,589.9,599.45,1083882,643640713.35,29414
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-02-27,601.9,614.6,593.0,599.45,598.65,600.35,1599956,965051022.65,33500
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-02-26,603.0,613.35,594.65,600.35,602.2,600.35,1237020,746453432.5,30033
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-02-23,614.8,624.9,595.3,600.35,603.0,607.85,4151764,2533610381.4,79452
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-02-22,551.1,618.5,550.95,607.85,614.9,545.5,13370322,7911752012.2,206532
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-02-21,565.0,566.0,537.75,545.5,547.0,564.1,604513,333366266.35,23003
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-02-20,563.0,568.0,553.8,564.1,562.7,563.25,580598,325675637.7,18311
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-02-19,577.0,580.0,560.35,563.25,560.35,576.1,675655,383005999.6,22555
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-02-16,551.95,598.5,551.0,576.1,575.55,549.05,2758753,1602926285.6,74557
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-02-15,547.0,560.0,545.5,549.05,549.5,546.95,698741,385877403.0,25922
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-02-14,532.0,559.75,531.6,546.95,546.0,541.25,1436575,786874579.45,49644
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-02-13,546.8,549.8,525.9,541.25,539.65,546.35,1100200,594471015.35,45368
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-02-12,588.0,601.85,544.05,546.35,549.75,584.05,1592626,906595007.3,49899
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-02-09,601.0,612.05,575.0,584.05,587.0,600.55,1372167,809501759.1,39566
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-02-08,612.0,617.7,595.0,600.55,601.0,608.05,1246675,755572758.5,30176
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-02-07,609.0,626.4,605.2,608.05,609.4,602.65,2943659,1817190384.55,53589
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-02-06,591.0,617.0,585.2,602.65,608.35,586.2,6154949,3734260397.5,117627
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-02-05,552.45,603.85,548.8,586.2,587.95,552.45,7792825,4565249727.1,153478
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-02-02,566.0,573.6,548.8,552.45,552.0,562.1,1239263,696030802.15,30878
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-02-01,544.0,566.75,541.0,562.1,562.0,544.8,1284452,712681095.4,32458
Graphite India Limited,INE371A01025,2003-02-07,EQ,GRAPHITE,2024-01-31,537.35,549.5,537.35,544.8,542.0,537.35,568674,309761581.5,21424
