StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-03-28,755.9,763.75,741.0,744.4,741.5,752.0,777795,585869428.5,40688
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-03-27,767.85,772.45,750.0,752.0,751.55,765.55,760030,575912833.0,42365
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-03-26,777.0,788.85,762.5,765.55,763.6,777.6,616481,476003475.4,37327
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-03-22,776.95,785.0,775.5,777.6,778.45,779.65,338290,263744830.8,22294
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-03-21,785.0,793.85,775.05,779.65,780.95,775.6,281929,221305413.7,18371
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-03-20,789.9,789.9,775.0,775.6,776.0,783.7,248219,193390906.75,17186
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-03-19,790.9,794.45,782.0,783.7,782.4,787.15,271583,213679286.05,19625
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-03-18,798.0,804.0,785.1,787.15,786.3,792.6,209874,166485444.25,17178
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-03-15,801.85,816.0,785.0,792.6,793.0,801.85,299912,239633586.95,22671
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-03-14,785.15,809.0,778.4,801.85,802.0,785.15,321290,256380427.05,25655
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-03-13,807.45,821.95,780.25,785.15,783.0,805.9,529763,422429916.7,46866
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-03-12,824.0,833.15,804.5,805.9,805.5,823.3,444042,360364487.95,39237
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-03-11,835.0,835.0,821.0,823.3,822.0,831.4,229515,189674543.15,16403
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-03-07,825.0,834.0,825.0,831.4,830.95,824.55,193083,160390740.85,12776
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-03-06,829.45,836.95,816.0,824.55,824.4,827.9,289093,237993157.1,22111
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-03-05,841.95,841.95,825.0,827.9,827.9,839.9,265201,220762402.2,20359
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-03-04,856.0,859.95,836.85,839.9,839.55,856.0,202056,170608159.1,18692
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-03-02,852.05,860.95,852.0,856.0,856.0,848.25,64934,55618596.7,3930
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-03-01,855.1,863.6,847.0,848.25,849.75,846.95,258786,220608929.95,19555
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-02-29,849.0,856.75,815.9,846.95,852.9,849.05,380542,320433090.8,21780
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-02-28,879.7,879.8,840.25,849.05,849.0,872.65,709395,610634826.35,42032
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-02-27,836.0,888.9,828.0,872.65,870.5,834.75,2803915,2440848932.1,114332
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-02-26,856.45,856.6,833.05,834.75,835.0,848.65,325945,275040544.6,24571
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-02-23,832.2,858.4,830.15,848.65,848.05,822.5,833280,705287878.65,43227
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-02-22,830.0,834.9,818.0,822.5,825.5,826.0,284795,233899310.6,30491
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-02-21,834.1,837.0,825.0,826.0,825.95,834.1,246730,204430875.15,23493
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-02-20,839.95,843.8,833.0,834.1,833.6,838.4,215217,179965879.25,20107
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-02-19,844.0,846.0,834.0,838.4,839.0,836.5,221042,185194365.8,18439
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-02-16,842.95,849.0,833.0,836.5,838.75,836.4,311636,261318234.2,23290
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-02-15,829.0,852.75,828.65,836.4,838.95,827.35,405956,340166628.25,23035
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-02-14,830.0,833.0,822.3,827.35,827.0,835.6,220493,182618273.55,17571
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-02-13,830.0,838.8,814.4,835.6,837.05,829.85,224751,185940186.3,23298
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-02-12,841.95,845.2,826.2,829.85,829.5,841.95,282409,235466677.8,23519
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-02-09,853.0,858.6,838.0,841.95,843.0,852.8,284473,240704848.7,22067
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-02-08,864.85,866.05,851.0,852.8,853.95,862.3,265448,227217306.7,20401
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-02-07,872.7,878.25,860.0,862.3,863.0,869.1,208599,180713411.2,17951
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-02-06,858.0,880.0,857.0,869.1,871.5,855.8,373335,325668586.2,24199
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-02-05,873.9,875.0,853.05,855.8,855.6,873.9,305996,264173755.0,25712
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-02-02,866.15,895.5,866.15,873.9,872.0,864.2,560838,493459539.35,34553
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-02-01,879.0,879.7,862.1,864.2,863.95,876.05,154158,133689273.55,13758
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-01-31,856.9,879.9,855.8,876.05,877.4,857.4,403889,353107838.35,19328
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-01-30,861.35,870.0,855.75,857.4,859.55,856.2,193613,167003208.65,15305
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-01-29,867.0,871.0,855.0,856.2,857.9,866.55,288567,247981110.8,22619
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-01-25,870.0,880.45,862.8,866.55,867.0,867.75,274434,238833893.2,18461
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-01-24,856.75,879.95,851.6,867.75,865.5,856.3,367748,318369754.8,25994
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-01-23,885.0,890.8,851.5,856.3,858.0,884.4,606846,526662816.65,41184
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-01-20,893.7,897.0,882.0,884.4,884.0,889.6,270767,240330047.1,16258
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-01-19,897.0,906.25,886.2,889.6,889.0,883.95,429031,383563495.75,24766
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-01-18,917.0,920.0,872.05,883.95,888.5,925.7,1428402,1269791451.8,76504
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-01-17,929.95,948.7,921.0,925.7,924.0,934.9,710873,665441611.4,32821
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-01-16,947.0,950.6,922.15,934.9,933.35,945.3,630576,590916702.45,26966
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-01-15,933.45,961.0,933.0,945.3,946.45,922.5,1791365,1701047115.5,62479
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-01-12,899.9,932.8,898.75,922.5,922.0,889.85,1843126,1701707414.65,59013
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-01-11,895.0,899.8,888.0,889.85,889.5,892.65,183034,163372635.85,13393
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-01-10,895.7,900.9,887.05,892.65,892.0,895.15,272109,242887347.8,19783
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-01-09,900.0,908.0,893.0,895.15,894.0,890.75,244120,219227468.5,16048
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-01-08,905.05,908.9,890.0,890.75,893.0,903.8,285774,256142964.1,21685
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-01-05,901.9,910.9,895.1,903.8,904.95,900.7,337363,304964737.9,18527
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-01-04,907.7,912.95,899.0,900.7,901.0,903.75,297248,269027295.05,17125
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-01-03,908.05,908.8,897.0,903.75,904.65,909.5,318933,287885286.35,17846
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-01-02,908.75,915.0,891.1,909.5,911.5,903.65,400253,362289661.5,22554
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2024-01-01,898.5,913.0,898.5,903.65,904.2,896.05,300820,272453736.55,16914
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2023-12-29,902.4,907.0,895.0,896.05,897.0,897.9,339983,305792296.1,19569
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2023-12-28,904.9,909.8,896.0,897.9,900.0,902.8,322840,290947316.4,20388
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2023-12-27,913.8,917.0,901.0,902.8,905.9,908.8,355652,322811073.05,20302
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2023-12-26,917.9,922.0,903.6,908.8,910.5,916.65,438011,399840173.95,25919
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2023-12-22,919.8,923.0,901.8,916.65,914.5,914.3,429653,393132226.6,24307
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2023-12-21,872.1,919.0,867.55,914.3,915.5,884.85,968670,875272141.2,49165
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2023-12-20,928.0,947.0,875.3,884.85,883.8,925.7,1053009,963751767.95,57837
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2023-12-19,940.0,945.0,921.0,925.7,924.4,936.4,450544,421049410.4,22970
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2023-12-18,935.2,953.8,927.0,936.4,937.5,935.2,898252,846229752.25,37275
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2023-12-15,920.0,954.85,917.0,935.2,932.0,913.2,2306799,2160778434.75,74032
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2023-12-14,913.9,930.0,911.0,913.2,915.0,894.65,1471920,1353544556.05,51009
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2023-12-13,911.7,922.8,892.0,894.65,897.5,904.3,934044,850439117.2,38637
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2023-12-12,882.7,920.0,882.0,904.3,907.95,879.1,2092826,1897922154.9,70574
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2023-12-11,891.7,898.65,875.0,879.1,880.1,882.7,441394,391514895.4,22093
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2023-12-08,875.0,899.9,867.4,882.7,880.45,867.2,1489107,1322095245.9,63602
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2023-12-07,842.0,872.5,842.0,867.2,867.5,840.35,1254300,1084116952.15,50595
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2023-12-06,838.0,854.3,837.2,840.35,840.0,837.5,562238,474350222.55,26742
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2023-12-05,840.9,845.8,836.0,837.5,838.9,839.1,292654,245738906.3,20001
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2023-12-04,848.9,850.0,837.25,839.1,839.45,837.8,247043,207580050.55,14315
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2023-12-01,844.0,848.5,835.6,837.8,840.95,836.65,185399,155807058.45,14784
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2023-11-30,838.0,846.6,832.25,836.65,838.0,834.15,276734,232221049.3,22453
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2023-11-29,836.7,850.0,832.0,834.15,836.0,831.35,282207,237142667.35,19264
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2023-11-28,837.55,839.5,829.55,831.35,831.0,832.35,170141,141734390.0,11180
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2023-11-24,839.4,842.85,830.3,832.35,834.0,836.75,129506,108161184.05,11562
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2023-11-23,849.4,854.0,835.0,836.75,836.35,845.1,165424,139390796.4,13114
Happiest Minds Technologies Limited,INE419U01012,2020-09-17,EQ,HAPPSTMNDS,2023-11-22,845.0,850.0,834.05,845.1,845.0,844.15,217301,183055574.85,15719
