StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Havells India Limited,INE176B01034,2001-03-21,EQ,HAVELLS,2024-03-28,1488.4,1525.0,1480.6,1515.0,1525.0,1488.4,924279,1393281689.65,42132
Havells India Limited,INE176B01034,2001-03-21,EQ,HAVELLS,2024-03-27,1488.1,1505.0,1479.4,1488.4,1490.0,1487.55,973040,1449197881.15,65324
Havells India Limited,INE176B01034,2001-03-21,EQ,HAVELLS,2024-03-26,1450.0,1495.95,1449.0,1487.55,1495.65,1469.25,764041,1126546736.4,33351
Havells India Limited,INE176B01034,2001-03-21,EQ,HAVELLS,2024-03-22,1485.0,1494.7,1465.05,1469.25,1473.0,1485.05,416340,615483559.4,27327
Havells India Limited,INE176B01034,2001-03-21,EQ,HAVELLS,2024-03-21,1467.5,1491.55,1465.4,1485.05,1483.05,1461.2,434617,642900875.25,22608
Havells India Limited,INE176B01034,2001-03-21,EQ,HAVELLS,2024-03-20,1460.0,1465.95,1435.05,1461.2,1461.85,1457.25,487253,707574858.5,28848
Havells India Limited,INE176B01034,2001-03-21,EQ,HAVELLS,2024-03-19,1500.0,1500.0,1450.0,1457.25,1452.75,1501.65,563152,826362715.85,30528
Havells India Limited,INE176B01034,2001-03-21,EQ,HAVELLS,2024-03-18,1482.35,1505.6,1470.8,1501.65,1500.9,1482.3,392071,584430630.0,26506
Havells India Limited,INE176B01034,2001-03-21,EQ,HAVELLS,2024-03-15,1514.85,1520.3,1476.05,1482.3,1487.0,1516.95,1050296,1564674378.0,43189
Havells India Limited,INE176B01034,2001-03-21,EQ,HAVELLS,2024-03-14,1474.05,1524.7,1458.05,1516.95,1505.0,1474.05,848225,1273359132.05,30945
Havells India Limited,INE176B01034,2001-03-21,EQ,HAVELLS,2024-03-13,1508.05,1544.15,1464.05,1474.05,1470.05,1502.0,1611966,2430744239.05,72057
Havells India Limited,INE176B01034,2001-03-21,EQ,HAVELLS,2024-03-12,1537.0,1550.0,1498.65,1502.0,1503.05,1542.45,565010,860279067.05,35763
Havells India Limited,INE176B01034,2001-03-21,EQ,HAVELLS,2024-03-11,1543.15,1561.35,1533.15,1542.45,1543.0,1543.15,766416,1185615434.2,52705
Havells India Limited,INE176B01034,2001-03-21,EQ,HAVELLS,2024-03-07,1518.0,1562.8,1515.05,1543.15,1543.0,1517.7,1462696,2262270930.25,75744
Havells India Limited,INE176B01034,2001-03-21,EQ,HAVELLS,2024-03-06,1570.0,1571.0,1508.0,1517.7,1521.65,1540.15,1660233,2540421969.95,81681
