StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-03-28,1549.0,1561.05,1531.0,1543.55,1547.05,1546.2,5301493,8183048059.05,202835
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-03-27,1569.0,1576.85,1540.0,1546.2,1549.0,1562.25,2589697,4042903387.8,169182
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-03-26,1562.25,1592.55,1555.55,1562.25,1563.0,1557.85,4496344,7030927961.05,229783
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-03-22,1560.0,1571.45,1508.2,1557.85,1556.8,1595.8,7468824,11511708198.65,325010
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-03-21,1608.0,1619.95,1583.35,1595.8,1600.0,1587.1,2684744,4295731267.05,182199
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-03-20,1604.75,1619.1,1578.1,1587.1,1592.0,1599.15,1815178,2894354711.65,99156
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-03-19,1641.55,1641.55,1594.1,1599.15,1595.0,1643.4,1915379,3083317994.65,144339
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-03-18,1649.9,1663.3,1634.25,1643.4,1645.9,1647.3,1183544,1955447026.2,101674
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-03-15,1677.0,1677.0,1642.85,1647.3,1648.6,1679.25,3931561,6494301411.9,173447
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-03-14,1634.0,1683.0,1610.0,1679.25,1677.0,1631.5,3513306,5829825101.4,184961
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-03-13,1638.75,1651.25,1610.35,1631.5,1624.5,1635.6,2564135,4174473316.25,124965
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-03-12,1635.9,1665.0,1633.05,1635.6,1635.0,1638.65,2414182,3966729545.2,149058
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-03-11,1655.0,1659.8,1632.05,1638.65,1636.0,1637.65,2970902,4889916154.0,184547
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-03-07,1650.0,1654.55,1630.1,1637.65,1635.7,1644.2,3181239,5222270233.9,142521
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-03-06,1613.0,1650.0,1603.85,1644.2,1648.0,1619.35,2366177,3852064887.4,134024
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-03-05,1624.0,1629.95,1607.05,1619.35,1617.4,1637.95,3339546,5404905305.8,144790
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-03-04,1649.0,1654.0,1635.0,1637.95,1638.25,1646.3,1788071,2935044078.75,93583
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-03-02,1656.0,1663.0,1643.0,1646.3,1648.5,1644.1,74513,122886202.2,5146
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-03-01,1675.45,1679.2,1639.1,1644.1,1646.45,1663.85,2371138,3919446154.0,111352
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-02-29,1642.15,1677.75,1636.65,1663.85,1673.0,1651.9,3532888,5868609557.55,112176
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-02-28,1664.7,1672.0,1644.2,1651.9,1648.0,1658.8,936575,1549378100.35,78192
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-02-27,1649.0,1673.4,1648.0,1658.8,1659.25,1649.8,2049420,3407369533.9,131877
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-02-26,1665.75,1668.85,1639.5,1649.8,1646.9,1665.75,1844253,3042081195.6,94604
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-02-23,1697.0,1697.35,1663.45,1665.75,1664.4,1686.4,2191549,3678625919.6,113363
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-02-22,1644.0,1691.4,1639.0,1686.4,1683.0,1636.3,3820901,6379489693.5,195419
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-02-21,1655.55,1664.8,1632.05,1636.3,1635.5,1663.05,2890991,4752954051.4,163085
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-02-20,1661.0,1672.75,1645.0,1663.05,1662.8,1675.25,2240414,3712616181.8,188797
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-02-19,1670.0,1682.95,1659.65,1675.25,1675.0,1667.45,762624,1276654232.6,53067
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-02-16,1675.0,1677.0,1650.05,1667.45,1670.0,1662.55,1776881,2960110318.5,111680
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-02-15,1678.0,1696.5,1650.1,1662.55,1665.0,1671.5,2555162,4257299951.3,148684
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-02-14,1649.75,1676.9,1625.45,1671.5,1666.0,1665.6,1386643,2293197365.15,105498
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-02-13,1675.0,1675.0,1648.6,1665.6,1665.5,1666.95,3129897,5196481115.3,141353
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-02-12,1639.0,1685.0,1639.0,1666.95,1659.4,1630.6,4885445,8144367155.0,150456
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-02-09,1640.0,1646.75,1614.65,1630.6,1624.9,1633.8,3341297,5439629745.6,125491
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-02-08,1626.0,1647.7,1617.3,1633.8,1634.55,1615.35,3496692,5714026846.2,190396
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-02-07,1628.0,1629.9,1598.95,1615.35,1614.95,1623.75,3320199,5366075378.65,157339
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-02-06,1566.0,1627.0,1558.05,1623.75,1623.8,1555.35,4988311,7986729089.3,152291
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-02-05,1584.95,1588.5,1551.45,1555.35,1555.1,1583.75,1452864,2283926744.95,84055
HCL Technologies Limited,INE860A01027,2000-01-06,EQ,HCLTECH,2024-02-02,1584.8,1613.9,1575.0,1583.75,1583.9,1577.4,2337374,3720598643.55,152348
