StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-03-28,1440.7,1460.5,1440.7,1447.9,1447.0,1440.7,27796071,40348658115.25,370836
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-03-27,1423.55,1447.95,1421.25,1440.7,1443.65,1425.4,31084334,44645417268.5,412302
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-03-26,1427.2,1437.95,1422.15,1425.4,1424.9,1442.85,28422145,40650467046.25,519149
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-03-22,1441.0,1450.75,1437.75,1442.85,1442.55,1445.75,22990163,33192980386.6,408312
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-03-21,1442.6,1451.25,1438.3,1445.75,1445.4,1431.05,14461430,20903015204.35,261033
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-03-20,1449.05,1451.65,1424.65,1431.05,1432.0,1449.35,21803047,31305142954.85,391871
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-03-19,1435.5,1452.4,1435.5,1449.35,1449.95,1446.05,18091797,26155872952.15,357501
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-03-18,1447.0,1456.0,1435.8,1446.05,1445.75,1452.65,10718928,15514993593.4,298423
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-03-15,1450.0,1459.3,1442.25,1452.65,1454.7,1455.45,71806902,104275232909.4,423259
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-03-14,1462.1,1466.0,1444.3,1455.45,1457.0,1460.4,26216079,38091465327.1,355538
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-03-13,1465.5,1471.6,1450.1,1460.4,1459.7,1459.55,31533727,46088810985.45,555367
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-03-12,1434.0,1464.0,1429.25,1459.55,1460.75,1427.8,32709227,47598903857.45,563469
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-03-11,1430.0,1445.95,1423.0,1427.8,1427.0,1446.1,25265547,36169185792.1,400746
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-03-07,1445.5,1451.05,1441.4,1446.1,1446.0,1442.6,24674023,35659521740.4,301040
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-03-06,1433.55,1452.85,1433.55,1442.6,1442.85,1440.85,21204765,30625970319.2,429803
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-03-05,1422.0,1443.0,1421.65,1440.85,1439.2,1432.7,18995836,27215248874.45,345780
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-03-04,1430.95,1437.0,1424.3,1432.7,1432.0,1430.75,17808237,25480270998.65,320401
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-03-02,1434.55,1436.0,1428.1,1430.75,1430.95,1430.75,895265,1281270465.1,27274
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-03-01,1400.0,1432.75,1400.0,1430.75,1429.3,1403.4,17369449,24656507108.45,430030
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-02-29,1402.1,1410.4,1397.3,1403.4,1407.8,1409.4,26647850,37392569225.7,567422
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-02-28,1420.15,1424.2,1404.0,1409.4,1406.15,1420.15,12660993,17910038294.1,302672
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-02-27,1413.55,1426.7,1413.05,1420.15,1421.9,1422.3,16043575,22781119940.6,384714
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-02-26,1413.55,1434.85,1413.55,1422.3,1421.95,1420.6,11753435,16760578868.05,381979
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-02-23,1422.55,1433.9,1418.0,1420.6,1419.45,1419.55,14916726,21260419308.0,335851
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-02-22,1417.75,1428.8,1412.2,1419.55,1422.0,1439.15,25280441,35892743575.45,477326
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-02-21,1464.0,1464.0,1435.0,1439.15,1436.0,1454.3,22946568,33187313941.5,493970
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-02-20,1415.0,1457.25,1411.8,1454.3,1453.0,1417.1,28066754,40502822506.55,518597
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-02-19,1429.0,1429.0,1415.2,1417.1,1419.0,1419.9,17225878,24476880448.95,296087
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-02-16,1423.9,1427.7,1408.45,1419.9,1417.05,1414.05,16087871,22812194900.15,402453
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-02-15,1385.0,1415.5,1384.35,1414.05,1414.65,1384.05,20792472,29162128685.1,533782
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-02-14,1376.0,1391.5,1363.55,1384.05,1384.95,1394.45,45660405,62700916687.85,883690
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-02-13,1391.95,1404.35,1384.35,1394.45,1391.95,1390.0,28790497,40157678244.65,445958
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-02-12,1399.65,1413.65,1383.35,1390.0,1392.4,1403.6,17223906,24025725748.7,486804
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-02-09,1392.15,1414.2,1387.0,1403.6,1408.0,1403.05,28321062,39717943985.6,512854
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-02-08,1429.85,1438.95,1400.5,1403.05,1407.25,1429.95,34553062,48910244009.15,797559
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-02-07,1453.0,1453.8,1426.65,1429.95,1430.0,1444.1,27418543,39369092511.05,523984
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-02-06,1445.55,1449.7,1432.6,1444.1,1443.55,1444.85,20537870,29617940997.4,410774
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-02-05,1446.0,1451.9,1434.05,1444.85,1443.05,1446.15,19302523,27835769812.35,487034
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-02-02,1475.0,1480.85,1442.05,1446.15,1445.9,1466.35,22433877,32794141061.4,547098
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-02-01,1465.05,1473.6,1456.05,1466.35,1466.5,1462.55,16345370,23951731259.2,395148
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-01-31,1439.5,1474.95,1436.8,1462.55,1462.65,1444.3,32880520,48079551289.5,548526
HDFC Bank Limited,INE040A01034,1995-11-08,EQ,HDFCBANK,2024-01-30,1454.55,1463.2,1440.9,1444.3,1444.7,1454.65,20864384,30209849168.35,451375
