StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-03-28,93.35,94.35,91.35,91.8,91.55,92.95,10339390,963246157.85,29149
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-03-27,90.75,94.3,90.75,92.95,92.65,90.55,29057965,2698516424.7,52117
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-03-26,92.15,92.9,90.25,90.55,90.3,92.1,15077486,1379380603.1,37443
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-03-22,89.1,93.25,89.0,92.1,92.0,89.1,18475914,1697086533.7,49003
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-03-21,89.0,90.85,88.75,89.1,89.1,87.45,11615072,1042469250.85,32759
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-03-20,88.2,89.6,85.3,87.45,87.45,87.35,14085001,1229218073.1,38966
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-03-19,89.5,92.75,86.35,87.35,87.5,90.1,21191489,1889887019.6,51541
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-03-18,90.1,92.3,88.25,90.1,90.0,90.1,16308070,1471068392.45,47222
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-03-15,89.95,92.95,87.3,90.1,90.5,90.65,23353125,2096750728.55,61085
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-03-14,82.3,91.45,82.3,90.65,90.4,83.7,30025156,2666071662.05,86614
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-03-13,93.0,94.4,80.25,83.7,82.5,92.65,37865971,3315663782.4,101415
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-03-12,96.0,96.95,91.8,92.65,92.2,95.7,28026862,2634187666.0,89612
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-03-11,102.75,102.95,95.05,95.7,95.5,102.55,21874509,2146036543.6,82077
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-03-07,104.1,105.15,102.1,102.55,102.25,103.4,13437190,1393717473.55,39376
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-03-06,107.55,107.55,102.35,103.4,103.5,108.1,21374177,2229225153.75,69503
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-03-05,109.9,112.0,107.15,108.1,107.65,110.55,26194032,2868939877.15,65349
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-03-04,108.85,112.3,106.4,110.55,109.5,108.5,25112238,2741617521.55,70423
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-03-02,108.4,109.4,108.0,108.5,108.25,108.4,2702988,293830463.1,10956
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-03-01,107.95,112.2,107.4,108.4,107.95,107.3,28760836,3143942292.4,81022
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-02-29,105.0,107.6,102.1,107.3,107.45,104.85,33571297,3546344677.5,106105
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-02-28,112.95,113.5,104.05,104.85,104.9,112.75,36949265,3977921760.9,114909
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-02-27,115.95,117.8,111.6,112.75,111.9,115.1,36197163,4175280219.4,108193
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-02-26,112.0,117.4,110.0,115.1,115.5,112.3,38708823,4392620231.3,99965
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-02-23,114.85,116.7,111.1,112.3,111.5,115.15,34300190,3914488753.4,96086
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-02-22,112.8,116.45,109.4,115.15,114.0,112.2,71453350,8146233413.55,173539
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-02-21,110.4,115.75,108.5,112.2,111.7,110.85,100721176,11364519158.5,268724
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-02-20,107.8,113.3,107.5,110.85,110.4,107.3,85981341,9493631151.25,235025
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-02-19,100.9,110.7,99.65,107.3,106.9,100.4,75541679,8080770506.5,201289
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-02-16,102.1,103.05,99.15,100.4,100.6,101.7,12642154,1281196195.4,43231
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-02-15,99.85,102.5,99.3,101.7,101.3,99.55,18419125,1858058962.9,56916
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-02-14,95.0,100.65,94.25,99.55,98.95,96.7,17975536,1762178641.05,53307
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-02-13,95.0,97.35,89.95,96.7,96.65,94.05,26819226,2527607036.75,78259
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-02-12,102.55,102.7,92.9,94.05,94.1,102.1,26310702,2552741389.75,92449
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-02-09,107.2,107.35,98.75,102.1,102.0,107.05,39678094,4049957031.35,115677
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-02-08,107.0,112.45,105.2,107.05,107.05,105.8,77772611,8475296479.9,207001
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-02-07,104.35,107.6,101.25,105.8,105.85,103.5,44856361,4690985003.15,109491
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-02-06,98.85,104.35,98.0,103.5,103.0,98.25,49773379,5023656593.2,104756
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-02-05,97.35,103.4,97.25,98.25,98.0,96.8,28710804,2871339849.8,96096
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-02-02,99.65,102.0,96.1,96.8,96.7,103.45,27295902,2685909413.35,114273
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-02-01,103.95,105.25,99.0,103.45,102.0,103.1,16705582,1702940132.15,61953
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-01-31,101.0,104.7,101.0,103.1,103.0,101.05,15237495,1564553352.0,49836
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-01-30,103.9,105.0,100.1,101.05,100.95,103.25,20236161,2075561546.35,63262
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-01-29,106.4,108.0,101.65,103.25,103.0,105.75,27205254,2854310428.4,94905
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-01-25,106.6,108.8,103.8,105.75,105.3,105.65,80094032,8525349130.65,234139
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-01-24,94.25,107.2,93.0,105.65,106.25,93.65,142518213,14540033555.85,314327
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-01-23,101.25,103.8,92.65,93.65,94.3,99.7,70934276,7012640083.25,188377
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-01-20,92.8,101.35,92.05,99.7,98.9,88.55,151102627,14728940939.85,334729
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-01-19,85.1,90.95,83.8,88.55,90.7,84.6,32726022,2845237045.15,65901
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-01-18,83.25,85.05,81.2,84.6,84.65,84.0,16519441,1384013406.55,40763
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-01-17,84.75,86.65,83.1,84.0,84.05,86.1,14360146,1220605687.9,36212
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-01-16,88.65,89.9,84.35,86.1,86.0,88.4,21200731,1845712757.05,54961
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-01-15,87.95,89.55,85.8,88.4,88.2,87.7,26633387,2339380098.0,57628
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-01-12,89.65,90.65,87.05,87.7,87.2,89.2,12352599,1097886180.15,35768
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-01-11,89.3,91.45,88.75,89.2,89.1,89.0,18782724,1694500470.0,39752
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-01-10,90.75,90.8,88.1,89.0,88.55,90.6,17582934,1566828397.8,42230
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-01-09,92.4,93.0,90.0,90.6,90.2,91.8,22853557,2093852926.4,47273
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-01-08,92.15,93.95,90.65,91.8,91.95,91.95,30058600,2766571582.8,62585
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-01-05,91.85,92.95,89.4,91.95,91.75,91.25,36278438,3319997233.85,80744
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-01-04,88.9,94.65,88.0,91.25,91.0,88.05,114078436,10547413551.0,232909
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-01-03,85.0,90.4,83.55,88.05,87.5,85.2,37469600,3260747360.8,74323
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-01-02,85.0,86.25,82.55,85.2,85.2,84.55,27995040,2371284424.55,64433
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2024-01-01,85.9,88.7,84.1,84.55,84.25,84.15,39295978,3403273597.2,96260
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-12-29,83.0,84.75,81.7,84.15,84.1,82.75,24134427,2009975655.65,54855
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-12-28,84.4,84.55,81.5,82.75,82.85,84.1,29032391,2398522261.6,72051
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-12-27,86.4,87.4,83.3,84.1,83.9,85.8,42923515,3663595496.8,132208
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-12-26,82.75,86.7,82.65,85.8,85.7,82.0,89498056,7602778957.75,226775
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-12-22,77.7,83.5,77.1,82.0,81.8,77.3,96176248,7834066638.05,211524
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-12-21,74.0,77.7,72.65,77.3,77.3,74.55,28387133,2166763375.75,63293
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-12-20,82.2,83.1,74.0,74.55,74.9,81.05,56801214,4518128195.6,134499
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-12-19,78.55,82.1,76.85,81.05,81.4,78.1,63856429,5088718829.35,133393
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-12-18,74.8,81.15,74.2,78.1,78.6,74.1,117218898,9232530701.55,261854
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-12-15,68.0,76.3,67.9,74.1,74.35,67.75,85909624,6319603592.1,153542
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-12-14,68.5,68.85,67.55,67.75,67.8,68.05,4611654,314046468.85,13729
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-12-13,67.8,68.6,67.4,68.05,68.25,67.6,4703278,319711234.05,14113
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-12-12,68.7,69.45,67.4,67.6,67.5,68.45,6287029,429889330.4,18230
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-12-11,68.55,69.2,68.15,68.45,68.55,68.3,5709768,392063228.25,16689
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-12-08,70.7,71.4,67.8,68.3,68.4,70.35,9725191,674645154.2,27692
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-12-07,66.75,71.7,66.5,70.35,70.25,66.45,30944967,2167044182.35,65277
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-12-06,67.15,67.4,65.95,66.45,66.6,66.85,5511041,367440901.85,16210
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-12-05,67.8,68.5,66.45,66.85,66.9,67.7,6180720,416331440.3,15887
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-12-04,68.0,68.7,67.45,67.7,67.75,66.75,5394266,366643840.35,15874
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-12-01,67.0,68.0,66.6,66.75,66.7,66.65,3704472,248285837.0,12129
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-11-30,67.1,67.75,66.4,66.65,66.7,66.9,5386972,360299350.5,20278
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-11-29,67.0,68.75,66.6,66.9,66.75,66.7,4174532,281943702.75,13610
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-11-28,67.0,67.45,66.5,66.7,66.75,66.75,3284836,219644657.9,11462
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-11-24,67.1,68.2,66.55,66.75,66.75,66.95,4559743,307120015.5,14232
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-11-23,66.75,68.2,66.6,66.95,67.0,66.55,3859392,259836135.8,12155
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-11-22,67.6,68.1,65.85,66.55,66.45,67.6,4010334,267946862.9,14041
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-11-21,68.3,68.6,67.35,67.6,67.4,68.2,3312042,224291451.5,10748
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-11-20,69.1,69.2,67.5,68.2,68.05,68.8,3494673,238370080.6,12494
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-11-17,69.65,70.15,68.55,68.8,68.7,69.6,4279287,296315251.8,13572
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-11-16,68.4,71.25,68.05,69.6,69.55,68.35,11452636,799629515.65,27088
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-11-15,66.8,69.15,66.2,68.35,68.25,65.9,10051485,684768649.15,24303
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-11-13,66.2,66.65,65.65,65.9,65.95,66.25,2557117,168991784.6,9097
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-11-12,66.0,66.4,66.0,66.25,66.35,65.7,972010,64327377.8,5335
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-11-10,65.4,66.25,65.05,65.7,65.7,65.55,2682583,175497203.35,8742
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-11-09,66.4,66.5,65.35,65.55,65.6,66.1,2495579,164363335.6,10089
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-11-08,66.6,67.0,65.95,66.1,66.2,66.25,3054725,202871074.4,9410
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-11-07,65.7,67.2,65.7,66.25,66.45,65.85,3476766,230917587.65,10783
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-11-06,66.45,66.8,65.65,65.85,66.0,66.05,3925113,259884266.2,12418
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-11-03,65.3,67.95,65.15,66.05,65.95,64.85,7705809,514553341.5,31581
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-11-02,64.95,65.5,64.65,64.85,64.75,64.45,2252947,146442949.15,7987
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-11-01,65.35,65.65,64.25,64.45,64.4,65.2,3059898,198627598.15,10099
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-10-31,65.6,66.35,65.0,65.2,65.2,65.15,4232467,277784800.25,10950
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-10-30,64.8,65.95,64.4,65.15,65.2,64.6,4846851,316359640.3,14945
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-10-27,63.85,65.65,63.85,64.6,64.45,63.35,8884326,574557562.5,18547
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-10-26,63.6,63.9,61.5,63.35,63.35,63.65,6922516,433844750.2,21629
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-10-25,65.05,66.7,62.0,63.65,63.45,64.85,8855789,569637595.05,23859
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-10-23,68.8,68.95,64.5,64.85,64.7,68.85,11020427,730020454.95,35479
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-10-20,71.0,71.7,67.9,68.85,68.75,73.0,12781867,895325778.2,40110
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-10-19,72.6,74.25,72.5,73.0,72.9,72.95,4724519,346911140.0,18384
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-10-18,74.6,75.15,72.45,72.95,72.95,74.4,7159987,527687771.55,26274
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-10-17,76.25,76.85,73.9,74.4,74.25,75.8,7552077,568950623.5,25378
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-10-16,74.85,76.35,74.7,75.8,75.5,74.55,9371515,707338200.75,31008
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-10-13,72.45,76.15,72.35,74.55,74.4,72.9,16161122,1210040625.65,69085
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-10-12,73.45,74.2,72.5,72.9,72.95,73.15,4524253,331694251.1,37076
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-10-11,73.55,74.4,72.85,73.15,73.15,73.05,4275608,314675696.1,39200
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-10-10,72.7,73.7,72.6,73.05,72.9,72.15,4291383,313594616.0,28837
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-10-09,73.45,73.7,71.75,72.15,71.8,75.35,6624292,481426369.35,18313
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-10-06,74.5,76.25,73.8,75.35,75.5,74.05,6706942,502767138.25,16616
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-10-05,75.5,75.85,73.65,74.05,73.85,75.0,4735510,352935783.45,41753
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-10-04,77.0,77.55,74.15,75.0,75.0,77.5,7589608,573767296.5,63646
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-10-03,76.7,78.25,76.3,77.5,77.5,77.15,11686714,902672715.45,21357
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-09-29,76.5,80.2,75.7,77.15,76.75,76.0,28070817,2193967356.35,85002
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-09-28,76.1,77.5,75.05,76.0,76.3,75.95,13522002,1031700512.55,82928
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-09-27,71.8,76.6,71.65,75.95,76.0,71.6,32477186,2434484212.65,126616
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-09-26,71.7,73.2,71.35,71.6,71.6,71.7,5263678,380098549.95,42848
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-09-25,72.5,72.8,71.5,71.7,71.7,72.3,4139573,298066846.4,31304
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-09-22,73.75,74.1,72.1,72.3,72.3,73.8,6135937,446259169.8,36239
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-09-21,73.9,74.5,72.55,73.8,73.7,73.9,8569336,631099398.35,26575
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-09-20,73.9,75.5,73.25,73.9,74.1,74.05,7781450,577028125.6,21509
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-09-18,75.0,77.55,73.45,74.05,74.0,72.9,26097873,1980731240.5,77552
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-09-15,74.35,74.95,72.3,72.9,72.75,74.0,8133621,598140355.35,20915
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-09-14,73.8,75.3,73.4,74.0,74.25,73.4,6207543,461012939.4,19826
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-09-13,72.15,73.85,71.2,73.4,73.35,71.7,8259981,601266841.2,23904
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-09-12,78.0,78.25,71.2,71.7,71.8,77.3,16082178,1189132549.0,49480
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-09-11,76.6,78.55,76.6,77.3,77.15,76.15,15472425,1199441567.4,32872
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-09-08,78.0,78.4,76.0,76.15,76.2,77.65,9947633,763788924.05,23107
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-09-07,78.95,79.6,77.2,77.65,77.7,78.8,9699663,761436102.5,25588
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-09-05,75.4,80.5,74.55,79.35,78.95,75.3,44880947,3491446588.2,80561
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-09-01,77.4,78.55,73.95,74.85,74.7,76.2,26917281,2062448527.95,60247
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-08-31,73.0,76.9,73.0,76.2,75.95,72.85,37712192,2836576740.35,79770
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-08-30,71.65,74.65,70.95,72.85,72.45,71.4,28450150,2079086454.1,53095
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-08-29,71.6,73.25,70.5,71.4,71.0,71.45,15128266,1085963566.05,33968
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-08-28,72.0,72.3,70.6,71.45,70.95,71.5,13178184,940740711.1,29440
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-08-25,68.8,72.85,68.65,71.5,70.85,68.95,41741414,2977384323.05,74134
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-08-24,67.75,70.25,67.35,68.95,68.8,67.35,28108178,1927404746.3,37212
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-08-23,67.9,68.5,67.05,67.35,67.2,67.8,7459049,505770022.1,14371
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-08-22,67.25,68.8,67.15,67.8,67.5,67.05,7643950,519578849.65,17973
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-08-21,67.45,68.25,66.75,67.05,66.85,67.25,3253280,219035341.7,11814
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-08-18,68.05,68.7,67.1,67.25,67.2,68.0,3282196,222110667.25,11698
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-08-17,68.65,69.3,67.55,68.0,68.05,68.65,3505589,239592504.9,11994
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-08-16,67.5,69.35,67.35,68.65,68.5,67.95,4099613,281069471.65,13153
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-08-14,68.8,68.8,66.85,67.95,68.0,68.8,4411282,298951976.85,14179
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-08-11,70.25,70.9,68.55,68.8,68.7,69.85,5322266,370451376.4,13949
HFCL Limited,INE548A01028,2011-03-09,EQ,HFCL,2023-08-10,71.8,72.05,69.5,69.85,70.05,71.8,6633810,468827366.0,20970
