StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-03-28,475.05,479.35,470.1,475.65,478.75,471.1,4811142,2286742469.6,64372
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-03-27,477.0,484.2,469.05,471.1,473.0,472.6,4659072,2223157261.6,54226
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-03-26,468.9,477.8,463.5,472.6,471.8,473.45,6217958,2935110599.5,59757
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-03-22,474.2,483.65,470.7,473.45,473.35,472.5,5074069,2419721718.7,71428
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-03-21,460.45,473.9,458.45,472.5,471.75,453.65,5201023,2425189339.9,91846
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-03-20,449.0,456.15,445.8,453.65,456.15,445.5,6965516,3147919245.45,159044
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-03-19,456.9,457.95,443.05,445.5,445.0,461.15,6608339,2962793090.95,72951
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-03-18,468.9,474.8,459.35,461.15,461.85,468.85,8144609,3777298753.45,85344
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-03-15,489.85,489.85,451.15,468.85,468.3,500.1,31713010,14789977415.1,340235
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-03-14,485.0,505.0,480.6,500.1,499.9,483.9,7545044,3761222544.05,84174
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-03-13,514.6,517.0,478.6,483.9,485.0,514.3,7823337,3864825374.8,100968
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-03-12,512.0,521.45,507.25,514.3,514.0,511.85,6091354,3137273924.55,126939
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-03-11,506.0,522.0,497.45,511.85,510.45,508.5,8750873,4493306470.2,118741
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-03-07,515.7,518.5,503.4,508.5,509.05,517.2,4246754,2168305752.55,46675
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-03-06,526.5,529.8,504.2,517.2,515.7,528.05,7530897,3866382025.4,97977
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-03-05,526.0,531.45,521.55,528.05,526.0,525.1,4769230,2511453231.4,98885
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-03-04,517.0,527.9,515.55,525.1,523.4,518.8,8187650,4289273156.65,116453
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-03-02,517.5,521.0,514.45,518.8,517.1,517.15,524020,271539038.7,8136
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-03-01,516.0,526.0,515.3,517.15,517.3,509.4,6844994,3558481876.25,77161
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-02-29,505.05,515.0,502.05,509.4,515.0,507.2,9735845,4948441366.1,93339
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-02-28,529.85,530.2,504.45,507.2,506.3,529.85,10822607,5561604276.7,103696
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-02-27,541.8,547.5,522.55,529.85,528.9,541.65,8476974,4539156055.4,90256
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-02-26,527.6,543.5,511.0,541.65,542.95,527.6,16108207,8512839125.7,176414
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-02-23,536.0,539.45,522.1,527.6,526.85,539.1,5742177,3033223686.0,68473
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-02-22,543.0,550.05,528.6,539.1,539.15,543.25,6318710,3391247762.5,81990
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-02-21,564.0,569.0,532.0,543.25,547.0,563.1,6662387,3694765677.1,86007
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-02-20,554.7,567.5,538.9,563.1,566.0,554.7,8916525,4914416764.9,117553
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-02-19,567.0,569.6,552.55,554.7,554.5,565.7,10134836,5677825991.55,121337
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-02-16,578.0,594.8,558.85,565.7,564.4,575.0,14846350,8507657322.15,234349
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-02-15,548.8,579.7,537.55,575.0,574.0,543.3,17700107,10060814205.4,209644
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-02-14,495.0,549.0,491.55,543.3,543.9,501.65,14135751,7437543507.35,119832
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-02-13,503.0,507.75,492.4,501.65,502.0,501.9,5094484,2548118544.6,64866
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-02-12,507.1,510.2,486.9,501.9,500.3,510.2,9490202,4734144483.05,117588
Hindustan Petroleum Corporation Limited,INE094A01015,1998-06-17,EQ,HINDPETRO,2024-02-09,526.0,526.45,489.3,510.2,509.45,525.15,9789517,4937123784.45,114965
