StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Home First Finance Company India Limited,INE481N01025,2021-02-03,EQ,HOMEFIRST,2024-03-28,922.0,922.0,879.1,897.8,899.0,915.55,373031,332552136.95,35039
Home First Finance Company India Limited,INE481N01025,2021-02-03,EQ,HOMEFIRST,2024-03-27,898.0,922.0,892.05,915.55,916.0,896.25,94120,85032114.2,11109
Home First Finance Company India Limited,INE481N01025,2021-02-03,EQ,HOMEFIRST,2024-03-26,890.0,908.0,880.0,896.25,892.6,880.55,157290,141049291.6,15679
Home First Finance Company India Limited,INE481N01025,2021-02-03,EQ,HOMEFIRST,2024-03-22,871.9,886.0,866.55,880.55,884.0,866.55,90422,79472216.1,8384
Home First Finance Company India Limited,INE481N01025,2021-02-03,EQ,HOMEFIRST,2024-03-21,873.85,890.5,863.05,866.55,872.0,873.2,172153,150146619.25,17202
Home First Finance Company India Limited,INE481N01025,2021-02-03,EQ,HOMEFIRST,2024-03-20,851.35,878.0,850.55,873.2,870.0,847.15,125606,108397041.15,13231
Home First Finance Company India Limited,INE481N01025,2021-02-03,EQ,HOMEFIRST,2024-03-19,850.0,876.4,837.15,847.15,849.0,844.2,232684,198953727.65,13636
Home First Finance Company India Limited,INE481N01025,2021-02-03,EQ,HOMEFIRST,2024-03-18,823.25,852.2,817.0,844.2,848.9,823.25,148398,124869623.95,15593
Home First Finance Company India Limited,INE481N01025,2021-02-03,EQ,HOMEFIRST,2024-03-15,817.45,836.55,811.55,823.25,822.5,815.4,173997,143825062.05,17851
Home First Finance Company India Limited,INE481N01025,2021-02-03,EQ,HOMEFIRST,2024-03-14,815.05,841.15,813.05,815.4,815.0,818.0,257196,213125702.45,17189
Home First Finance Company India Limited,INE481N01025,2021-02-03,EQ,HOMEFIRST,2024-03-13,847.05,875.0,816.0,818.0,824.0,844.55,120968,100246186.5,20869
Home First Finance Company India Limited,INE481N01025,2021-02-03,EQ,HOMEFIRST,2024-03-12,858.0,865.0,833.15,844.55,847.2,853.2,133710,113409415.0,24084
