StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Honasa Consumer Limited,INE0J5401028,2023-11-07,EQ,HONASA,2024-03-28,396.0,404.95,388.05,402.4,403.0,395.7,418719,166835026.05,17458
Honasa Consumer Limited,INE0J5401028,2023-11-07,EQ,HONASA,2024-03-27,382.0,406.65,380.0,395.7,387.0,379.9,541438,212315979.65,19664
Honasa Consumer Limited,INE0J5401028,2023-11-07,EQ,HONASA,2024-03-26,375.0,382.0,366.0,379.9,380.1,369.65,258080,97305768.6,9678
Honasa Consumer Limited,INE0J5401028,2023-11-07,EQ,HONASA,2024-03-22,371.65,375.2,368.3,369.65,372.0,369.5,259888,96413907.35,13919
Honasa Consumer Limited,INE0J5401028,2023-11-07,EQ,HONASA,2024-03-21,370.2,371.95,363.5,369.5,371.35,368.9,1707109,630728373.45,32802
Honasa Consumer Limited,INE0J5401028,2023-11-07,EQ,HONASA,2024-03-20,371.4,372.15,357.35,368.9,371.0,367.95,982082,358481538.6,32741
Honasa Consumer Limited,INE0J5401028,2023-11-07,EQ,HONASA,2024-03-19,382.35,382.35,361.4,367.95,368.5,379.8,803743,296041465.3,29994
Honasa Consumer Limited,INE0J5401028,2023-11-07,EQ,HONASA,2024-03-18,382.6,387.0,374.0,379.8,379.9,379.3,126481,48174537.05,6762
Honasa Consumer Limited,INE0J5401028,2023-11-07,EQ,HONASA,2024-03-15,386.9,389.0,377.1,379.3,379.0,383.95,583902,221445844.15,18029
Honasa Consumer Limited,INE0J5401028,2023-11-07,EQ,HONASA,2024-03-14,380.8,388.9,377.0,383.95,383.0,378.65,724583,277316173.35,29058
Honasa Consumer Limited,INE0J5401028,2023-11-07,EQ,HONASA,2024-03-13,383.9,383.9,365.0,378.65,380.0,382.95,648556,242688481.75,23512
Honasa Consumer Limited,INE0J5401028,2023-11-07,EQ,HONASA,2024-03-12,386.75,399.0,375.4,382.95,384.0,383.6,333234,128056798.25,15998
Honasa Consumer Limited,INE0J5401028,2023-11-07,EQ,HONASA,2024-03-11,394.0,394.25,381.55,383.6,386.7,391.7,322782,125098998.85,12486
Honasa Consumer Limited,INE0J5401028,2023-11-07,EQ,HONASA,2024-03-07,397.65,399.0,389.0,391.7,390.0,393.65,722885,283576612.4,16205
Honasa Consumer Limited,INE0J5401028,2023-11-07,EQ,HONASA,2024-03-06,408.7,409.0,388.3,393.65,394.6,405.7,1237886,486844748.3,17387
Honasa Consumer Limited,INE0J5401028,2023-11-07,EQ,HONASA,2024-03-05,410.8,418.35,404.35,405.7,405.45,404.85,432821,176825767.25,15474
Honasa Consumer Limited,INE0J5401028,2023-11-07,EQ,HONASA,2024-03-04,420.05,421.6,402.5,404.85,406.9,418.65,502331,204817182.95,22595
Honasa Consumer Limited,INE0J5401028,2023-11-07,EQ,HONASA,2024-03-02,417.45,424.0,414.6,418.65,418.2,417.45,32621,13714322.75,1306
Honasa Consumer Limited,INE0J5401028,2023-11-07,EQ,HONASA,2024-03-01,419.8,420.45,410.4,417.45,416.3,414.1,657210,272094533.0,8865
Honasa Consumer Limited,INE0J5401028,2023-11-07,EQ,HONASA,2024-02-29,424.65,425.2,405.7,414.1,416.25,423.95,3334027,1382701000.9,74053
Honasa Consumer Limited,INE0J5401028,2023-11-07,EQ,HONASA,2024-02-28,433.8,437.2,422.0,423.95,428.75,431.2,149259,63919854.4,10104
Honasa Consumer Limited,INE0J5401028,2023-11-07,EQ,HONASA,2024-02-27,436.4,442.4,428.6,431.2,431.2,436.45,284488,123693700.55,12666
Honasa Consumer Limited,INE0J5401028,2023-11-07,EQ,HONASA,2024-02-26,443.8,447.0,430.2,436.45,436.0,444.85,575143,251361638.2,30374
