StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Himadri Speciality Chemical Limited,INE019C01026,2007-03-02,BE,HSCL,2024-03-28,308.0,313.0,300.05,302.3,302.0,308.25,425761,129999864.05,6224
Himadri Speciality Chemical Limited,INE019C01026,2007-03-02,BE,HSCL,2024-03-27,310.95,314.9,295.0,308.25,309.6,309.1,1102219,338240391.35,10581
Himadri Speciality Chemical Limited,INE019C01026,2007-03-02,BE,HSCL,2024-03-26,316.0,317.9,307.65,309.1,308.45,314.25,703155,217663279.8,8797
Himadri Speciality Chemical Limited,INE019C01026,2007-03-02,BE,HSCL,2024-03-22,319.8,319.9,310.55,314.25,314.0,315.3,340612,107489237.95,3736
Himadri Speciality Chemical Limited,INE019C01026,2007-03-02,BE,HSCL,2024-03-21,321.5,326.9,315.0,315.3,315.25,318.95,288584,92027873.15,5037
Himadri Speciality Chemical Limited,INE019C01026,2007-03-02,BE,HSCL,2024-03-20,321.0,327.0,305.05,318.95,319.0,319.8,485717,154054687.1,5431
Himadri Speciality Chemical Limited,INE019C01026,2007-03-02,BE,HSCL,2024-03-19,316.05,324.8,308.9,319.8,320.15,319.95,401069,126966241.7,9533
Himadri Speciality Chemical Limited,INE019C01026,2007-03-02,BE,HSCL,2024-03-18,324.95,331.0,316.85,319.95,318.25,315.25,500351,161382812.7,8697
Himadri Speciality Chemical Limited,INE019C01026,2007-03-02,BE,HSCL,2024-03-15,312.0,315.6,301.25,315.25,315.6,300.6,1069686,333225143.95,10264
Himadri Speciality Chemical Limited,INE019C01026,2007-03-02,BE,HSCL,2024-03-14,272.0,300.6,272.0,300.6,300.6,286.3,938149,268535942.95,13226
Himadri Speciality Chemical Limited,INE019C01026,2007-03-02,BE,HSCL,2024-03-13,286.3,294.95,286.3,286.3,286.3,301.35,744167,213991259.05,12473
Himadri Speciality Chemical Limited,INE019C01026,2007-03-02,BE,HSCL,2024-03-12,301.35,310.9,301.35,301.35,301.35,317.2,825662,249359101.55,11399
Himadri Speciality Chemical Limited,INE019C01026,2007-03-02,BE,HSCL,2024-03-11,333.0,333.0,317.2,317.2,317.25,333.9,725015,230492904.35,12344
Himadri Speciality Chemical Limited,INE019C01026,2007-03-02,BE,HSCL,2024-03-07,341.95,341.95,332.0,333.9,332.0,342.0,633932,213423683.5,9478
