StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-03-28,598.95,614.0,596.6,608.65,610.2,599.1,1328162,806783886.95,40001
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-03-27,599.9,604.9,593.0,599.1,597.25,599.9,1460193,877426329.05,40402
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-03-26,588.0,605.95,588.0,599.9,597.35,581.85,4000040,2395239618.3,76582
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-03-22,578.85,588.75,573.65,581.85,578.2,580.25,1231241,716893679.5,32444
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-03-21,560.8,584.0,556.5,580.25,579.5,560.35,1932166,1111085234.75,37893
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-03-20,550.0,565.6,550.0,560.35,561.8,549.6,1879361,1049169124.0,39136
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-03-19,565.55,567.5,545.85,549.6,549.0,565.85,2176263,1206637565.95,64110
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-03-18,569.0,569.0,559.7,565.85,565.5,567.75,1279804,723655240.7,21588
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-03-15,572.8,579.0,563.0,567.75,568.0,572.7,2356414,1337518391.85,21731
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-03-14,572.05,581.55,561.25,572.7,573.0,573.55,3124841,1791370641.35,49745
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-03-13,602.2,604.4,567.0,573.55,571.1,600.5,3112506,1810761978.95,65456
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-03-12,601.05,606.9,592.15,600.5,600.0,600.3,3065065,1838909329.5,116053
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-03-11,595.0,614.7,567.9,600.3,598.55,583.6,8749894,5185386511.7,144042
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-03-07,576.0,595.0,563.65,583.6,581.0,576.85,2970921,1717703313.0,45281
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-03-06,555.0,579.85,549.35,576.85,575.0,553.7,6081088,3435192817.7,95390
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-03-05,547.75,558.0,539.95,553.7,553.55,546.95,3876200,2146307029.35,67492
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-03-04,539.5,558.7,533.95,546.95,546.2,538.0,2531138,1388306356.45,61369
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-03-02,540.0,542.4,537.1,538.0,539.8,539.45,53794,29055177.6,1849
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-03-01,539.0,546.6,534.0,539.45,538.25,532.65,1851853,1000459432.4,41743
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-02-29,525.9,534.0,518.2,532.65,533.85,523.3,3016612,1597407625.35,44413
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-02-28,520.0,530.4,520.0,523.3,522.95,518.85,1315159,690727928.9,27064
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-02-27,524.0,539.7,516.9,518.85,519.45,523.1,2929679,1551976592.75,83866
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-02-26,522.85,528.2,520.45,523.1,524.35,522.85,1081969,567656983.45,29672
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-02-23,522.6,525.0,515.25,522.85,522.7,518.35,1623839,849121495.8,17805
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-02-22,516.85,520.0,515.0,518.35,519.45,520.1,762141,394679923.0,23076
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-02-21,522.0,526.4,518.65,520.1,520.0,521.65,2221389,1159748661.55,58669
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-02-20,513.5,523.3,509.65,521.65,521.35,514.7,1540086,800891454.5,46697
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-02-19,514.0,517.55,509.0,514.7,514.05,512.05,912455,468536250.65,21959
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-02-16,509.6,516.0,505.6,512.05,511.0,505.1,973728,498209655.95,35208
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-02-15,508.15,511.1,503.6,505.1,505.6,508.8,2299680,1165145242.7,25431
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-02-14,507.95,510.0,502.0,508.8,507.6,511.9,1200533,607963282.55,32327
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-02-13,504.45,513.8,497.3,511.9,511.0,504.45,2357148,1203734542.85,84939
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-02-12,521.45,521.6,502.55,504.45,505.0,521.45,1076797,546542276.2,21570
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-02-09,520.5,522.95,510.5,521.45,520.5,520.5,1022445,529654382.65,39983
ICICI Prudential Life Insurance Company Limited,INE726G01019,2016-09-29,EQ,ICICIPRULI,2024-02-08,532.0,533.7,518.65,520.5,521.05,530.45,1481895,780420602.3,34713
