StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
IDBI Bank Limited,INE008A01015,1995-09-20,EQ,IDBI,2024-03-28,79.85,82.8,79.85,81.0,80.8,79.4,11075387,901509699.1,26255
IDBI Bank Limited,INE008A01015,1995-09-20,EQ,IDBI,2024-03-27,80.9,81.5,79.0,79.4,79.5,80.55,11204197,896696315.9,35438
IDBI Bank Limited,INE008A01015,1995-09-20,EQ,IDBI,2024-03-26,81.5,82.3,80.2,80.55,80.5,81.35,5021145,407141901.3,14886
IDBI Bank Limited,INE008A01015,1995-09-20,EQ,IDBI,2024-03-22,80.15,82.5,80.05,81.35,81.8,80.6,7716788,627190159.9,19468
IDBI Bank Limited,INE008A01015,1995-09-20,EQ,IDBI,2024-03-21,80.05,81.25,79.8,80.6,80.5,78.4,6061448,488119496.15,18172
IDBI Bank Limited,INE008A01015,1995-09-20,EQ,IDBI,2024-03-20,80.9,81.6,78.1,78.4,78.35,80.65,8188004,650102877.6,23544
IDBI Bank Limited,INE008A01015,1995-09-20,EQ,IDBI,2024-03-19,82.0,83.4,80.25,80.65,80.4,82.5,5395481,441377925.8,18272
IDBI Bank Limited,INE008A01015,1995-09-20,EQ,IDBI,2024-03-18,84.75,85.25,82.1,82.5,82.3,84.2,9651347,801145809.8,28496
IDBI Bank Limited,INE008A01015,1995-09-20,EQ,IDBI,2024-03-15,79.45,85.95,76.75,84.2,83.9,79.65,17250245,1401397093.95,41388
IDBI Bank Limited,INE008A01015,1995-09-20,EQ,IDBI,2024-03-14,76.6,80.85,76.0,79.65,80.2,76.7,12417082,977073622.4,29764
IDBI Bank Limited,INE008A01015,1995-09-20,EQ,IDBI,2024-03-13,82.5,83.9,75.5,76.7,76.6,82.25,16663944,1311315905.2,44172
IDBI Bank Limited,INE008A01015,1995-09-20,EQ,IDBI,2024-03-12,84.3,84.4,81.1,82.25,82.05,84.1,8907843,734496451.0,25455
IDBI Bank Limited,INE008A01015,1995-09-20,EQ,IDBI,2024-03-11,86.15,87.9,83.75,84.1,83.9,85.5,13784404,1182490528.0,39292
IDBI Bank Limited,INE008A01015,1995-09-20,EQ,IDBI,2024-03-07,85.8,86.85,85.2,85.5,85.45,85.4,5146544,442613670.7,18214
IDBI Bank Limited,INE008A01015,1995-09-20,EQ,IDBI,2024-03-06,89.05,89.85,84.75,85.4,85.55,89.1,12600172,1091514252.4,31540
IDBI Bank Limited,INE008A01015,1995-09-20,EQ,IDBI,2024-03-05,87.45,89.9,86.45,89.1,89.5,87.25,13443223,1190174690.95,32508
IDBI Bank Limited,INE008A01015,1995-09-20,EQ,IDBI,2024-03-04,89.2,89.75,86.1,87.25,87.3,88.85,5558875,489743530.45,16866
