StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-03-28,110.4,111.85,108.9,110.7,111.0,111.25,10268915,1133901013.3,34494
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-03-27,110.5,112.9,110.25,111.25,111.5,110.15,7593391,847797589.75,28894
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-03-26,110.4,111.45,110.0,110.15,110.3,110.4,6031207,667596587.0,25143
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-03-22,109.6,111.0,109.5,110.4,110.55,109.6,6652769,734357935.45,36084
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-03-21,108.8,110.2,108.8,109.6,109.8,107.8,3401594,372637471.05,29349
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-03-20,108.55,109.25,106.95,107.8,107.85,108.45,5844361,630230677.2,29507
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-03-19,109.4,110.05,108.25,108.45,108.55,109.4,4150234,452231998.45,28313
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-03-18,111.4,111.75,109.1,109.4,109.3,110.75,7490619,822868662.6,37268
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-03-15,110.6,111.5,108.5,110.75,111.35,110.6,12496148,1376039772.05,52124
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-03-14,108.9,111.6,107.15,110.6,110.65,108.9,6988135,769441048.05,33604
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-03-13,113.05,113.7,107.8,108.9,108.5,113.05,13022299,1433950101.8,77076
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-03-12,114.2,115.95,112.7,113.05,112.9,114.2,7434400,844703330.4,37089
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-03-11,115.4,116.15,113.85,114.2,114.0,115.4,6993241,805458853.05,35846
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-03-07,115.9,116.7,115.2,115.4,115.45,115.9,3843796,445523708.1,16277
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-03-06,117.2,117.5,114.1,115.9,116.0,117.55,7556404,871289571.8,39480
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-03-05,117.25,118.7,117.05,117.55,117.7,117.6,4965173,584977409.05,19170
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-03-04,119.0,119.0,117.0,117.6,117.65,118.1,3556317,418319706.9,26457
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-03-02,117.6,118.65,117.6,118.1,118.1,117.55,361800,42725793.45,2747
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-03-01,116.7,118.5,115.85,117.55,117.4,116.45,6429806,752794433.7,18192
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-02-29,115.0,116.9,113.85,116.45,116.5,115.45,6079099,701755698.75,23547
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-02-28,119.05,119.5,114.8,115.45,115.1,118.7,5632571,653544174.7,27956
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-02-27,119.7,120.1,118.4,118.7,118.5,119.35,7280321,866731800.7,18533
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-02-26,118.4,120.85,118.05,119.35,119.8,118.8,6101246,727866707.75,22968
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-02-23,116.7,119.9,116.7,118.8,118.6,116.65,7477339,889229883.9,32460
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-02-22,116.25,116.9,114.55,116.65,116.65,115.9,7131558,829307502.25,16138
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-02-21,116.8,117.5,115.25,115.9,115.5,116.6,3496542,406003865.6,20819
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-02-20,117.15,117.2,116.0,116.6,116.75,117.1,3789904,441261877.2,20071
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-02-19,118.5,118.95,116.95,117.1,117.35,118.4,2860622,336587523.65,36369
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-02-16,116.2,119.75,116.15,118.4,118.3,116.05,6166252,728987809.95,29861
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-02-15,115.45,116.5,114.5,116.05,116.2,114.95,3475648,401622780.1,21969
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-02-14,113.7,115.35,113.25,114.95,115.1,115.2,11633575,1330659016.9,41309
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-02-13,113.25,115.45,111.3,115.2,114.85,113.2,5630584,639286162.3,27745
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-02-12,116.95,117.0,112.9,113.2,113.2,116.6,6990539,797783966.2,41496
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-02-09,115.95,117.1,113.75,116.6,116.7,115.85,6912889,797853237.1,36391
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-02-08,118.8,119.8,115.55,115.85,116.25,118.6,6098350,715744478.15,29577
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-02-07,118.35,120.15,118.35,118.6,118.8,118.15,4036903,480632537.5,26214
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-02-06,118.65,119.2,117.55,118.15,118.2,118.6,3964538,469518152.6,38551
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-02-05,118.15,119.3,117.25,118.6,118.6,117.75,6853435,812888619.65,52616
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-02-02,118.8,119.55,117.5,117.75,117.9,118.6,5255123,622097772.85,44816
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-02-01,119.25,119.3,117.15,118.6,118.85,119.45,3865634,456646559.75,33782
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-01-31,117.3,119.65,117.25,119.45,119.3,117.05,7451219,886942792.6,40936
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-01-30,118.85,119.3,116.65,117.05,117.3,118.15,4028387,475427068.3,25829
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-01-29,117.1,119.1,116.7,118.15,118.15,116.0,7546470,891774056.15,31812
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-01-25,116.0,116.65,114.35,116.0,116.4,115.3,6990676,806623210.7,35008
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-01-24,116.1,116.85,113.7,115.3,115.55,115.75,8804642,1014802552.25,47071
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-01-23,120.65,121.5,115.2,115.75,115.9,124.55,19506655,2301248059.2,103716
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-01-20,123.5,125.15,121.8,124.55,124.85,122.3,3303508,407218019.5,18754
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-01-19,124.55,125.55,120.55,122.3,122.5,123.85,8299604,1017425029.2,49668
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-01-18,123.05,125.15,121.6,123.85,123.9,123.8,7409557,916305162.7,31947
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-01-17,126.4,129.7,123.25,123.8,123.8,127.5,9718513,1221958034.85,46978
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-01-16,125.0,129.05,125.0,127.5,127.8,125.2,12462215,1590356141.15,44467
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-01-15,125.4,126.25,124.3,125.2,125.25,124.85,3822408,478210953.7,30202
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-01-12,125.9,126.75,124.05,124.85,124.85,124.8,4937944,619525258.9,20775
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-01-11,121.6,125.25,121.6,124.8,124.75,121.0,5234297,647760941.15,26289
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-01-10,122.25,122.25,119.25,121.0,120.9,122.7,7824790,943388861.7,37364
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-01-09,124.85,125.2,122.4,122.7,122.4,123.5,2683858,331709694.65,22042
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-01-08,125.55,125.7,123.1,123.5,123.7,124.95,2613384,324288309.95,17966
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-01-05,126.0,126.8,123.6,124.95,125.0,125.85,2859314,357890756.8,23916
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-01-04,123.9,126.15,123.75,125.85,125.95,123.9,4425866,554691448.5,19120
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-01-03,123.0,124.85,121.7,123.9,123.7,123.45,3313414,409769932.95,16932
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-01-02,125.5,125.9,122.55,123.45,123.35,125.5,5233654,646778422.05,27761
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2024-01-01,126.55,126.55,125.2,125.5,125.35,126.65,3714944,467094479.85,22848
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2023-12-29,126.45,127.1,124.8,126.65,126.55,125.0,6548418,824386303.1,23610
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2023-12-28,125.95,126.15,124.05,125.0,124.9,125.0,7097470,887170276.05,25802
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2023-12-27,124.6,125.6,124.35,125.0,125.25,124.35,5979169,747386760.35,24781
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2023-12-26,124.0,124.9,123.3,124.35,124.35,124.2,4192707,520890108.15,28123
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2023-12-22,124.35,124.85,123.25,124.2,123.5,123.65,4456830,553412277.6,21497
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2023-12-21,120.6,123.95,120.2,123.65,123.75,122.0,5753649,706799250.25,22797
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2023-12-20,127.4,127.65,121.6,122.0,121.65,126.65,8024092,999369457.95,34678
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2023-12-19,127.6,129.25,126.0,126.65,126.55,125.6,11957452,1521440761.85,43660
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2023-12-18,127.95,128.25,125.4,125.6,125.55,126.95,6609341,837270341.5,27304
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2023-12-15,124.5,127.45,123.8,126.95,127.0,123.2,12128421,1526596164.45,36210
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2023-12-14,123.8,124.2,122.7,123.2,123.0,122.3,4740309,584916204.85,23952
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2023-12-13,121.4,122.5,120.4,122.3,122.2,120.75,6395566,775195823.25,17636
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2023-12-12,121.5,122.4,120.15,120.75,120.7,121.2,3556459,431188329.95,20245
IDFC Limited,INE043D01016,2005-08-12,EQ,IDFC,2023-12-11,122.5,123.6,121.0,121.2,121.4,122.3,4925778,601493466.2,19772
