StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Indian Energy Exchange Limited,INE022Q01020,2017-10-23,EQ,IEX,2024-03-28,134.0,135.55,134.0,134.35,134.35,133.55,7320353,985512439.25,48606
Indian Energy Exchange Limited,INE022Q01020,2017-10-23,EQ,IEX,2024-03-27,134.9,135.6,133.15,133.55,133.4,134.05,8884368,1195539014.45,97464
Indian Energy Exchange Limited,INE022Q01020,2017-10-23,EQ,IEX,2024-03-26,135.8,136.65,133.5,134.05,134.15,135.85,8512425,1150815951.55,59719
Indian Energy Exchange Limited,INE022Q01020,2017-10-23,EQ,IEX,2024-03-22,135.4,137.35,134.55,135.85,135.95,135.95,5944397,809893371.65,32292
Indian Energy Exchange Limited,INE022Q01020,2017-10-23,EQ,IEX,2024-03-21,135.25,136.35,134.8,135.95,136.15,133.75,5608993,760792423.85,34673
Indian Energy Exchange Limited,INE022Q01020,2017-10-23,EQ,IEX,2024-03-20,134.0,135.65,131.8,133.75,133.3,134.5,5374377,717816857.65,40399
Indian Energy Exchange Limited,INE022Q01020,2017-10-23,EQ,IEX,2024-03-19,136.55,137.1,133.85,134.5,134.55,136.45,5216404,705539839.25,57487
Indian Energy Exchange Limited,INE022Q01020,2017-10-23,EQ,IEX,2024-03-18,136.95,137.65,135.25,136.45,136.55,136.85,5440299,742223266.75,36857
Indian Energy Exchange Limited,INE022Q01020,2017-10-23,EQ,IEX,2024-03-15,137.65,138.25,133.4,136.85,136.85,137.2,6291607,854092248.95,41336
Indian Energy Exchange Limited,INE022Q01020,2017-10-23,EQ,IEX,2024-03-14,132.0,137.6,130.2,137.2,137.2,133.1,7822805,1061821559.1,50850
Indian Energy Exchange Limited,INE022Q01020,2017-10-23,EQ,IEX,2024-03-13,141.0,141.5,131.6,133.1,133.0,141.0,11182822,1520857109.45,91314
Indian Energy Exchange Limited,INE022Q01020,2017-10-23,EQ,IEX,2024-03-12,143.6,143.8,140.1,141.0,141.15,143.6,9100792,1289999354.75,76793
