StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
IIFL Finance Limited,INE530B01024,2005-05-17,N7,IIFL,2024-03-28,1160.0,1160.0,951.0,970.0,970.0,969.1,280,287681.55,8
IIFL Finance Limited,INE530B01024,2005-05-17,NU,IIFL,2024-03-28,970.0,970.0,970.0,970.0,970.0,970.0,310,300700.0,6
IIFL Finance Limited,INE530B01024,2005-05-17,NS,IIFL,2024-03-28,886.99,889.0,886.9,889.0,889.0,886.1,125,110891.35,5
IIFL Finance Limited,INE530B01024,2005-05-17,NC,IIFL,2024-03-28,990.0,990.0,990.0,990.0,990.0,990.0,10,9900.0,1
IIFL Finance Limited,INE530B01024,2005-05-17,ND,IIFL,2024-03-28,1596.0,1596.0,1352.0,1352.0,1352.0,1530.0,440,648560.0,2
IIFL Finance Limited,INE530B01024,2005-05-17,NE,IIFL,2024-03-28,1000.0,1000.0,916.0,943.46,943.5,934.45,2565,2436345.42,46
IIFL Finance Limited,INE530B01024,2005-05-17,NV,IIFL,2024-03-28,1010.0,1016.8,1010.0,1016.8,1016.8,1010.0,16,16255.2,3
IIFL Finance Limited,INE530B01024,2005-05-17,Y0,IIFL,2024-03-28,930.0,939.8,930.0,939.8,939.8,925.0,88,82575.0,6
IIFL Finance Limited,INE530B01024,2005-05-17,EQ,IIFL,2024-03-28,357.95,368.5,337.7,340.1,339.0,351.95,5256072,1841341214.9,67413
IIFL Finance Limited,INE530B01024,2005-05-17,NQ,IIFL,2024-03-28,945.0,945.0,945.0,945.0,945.0,948.0,216,204120.0,2
IIFL Finance Limited,INE530B01024,2005-05-17,NF,IIFL,2024-03-28,923.9,923.9,915.3,917.3,918.0,916.51,1751,1607985.57,42
IIFL Finance Limited,INE530B01024,2005-05-17,NG,IIFL,2024-03-28,1151.0,1162.0,1150.0,1162.0,1162.0,1138.8,501,577372.0,6
IIFL Finance Limited,INE530B01024,2005-05-17,NL,IIFL,2024-03-28,921.0,921.0,920.0,921.0,921.0,921.0,555,510945.0,13
IIFL Finance Limited,INE530B01024,2005-05-17,NO,IIFL,2024-03-28,974.0,976.8,970.11,975.08,976.8,976.0,315,306791.7,15
IIFL Finance Limited,INE530B01024,2005-05-17,NF,IIFL,2024-03-27,925.0,925.0,915.0,916.51,915.1,918.99,4816,4417798.81,108
IIFL Finance Limited,INE530B01024,2005-05-17,NL,IIFL,2024-03-27,948.95,948.95,920.0,921.0,921.0,910.6,828,773716.8,8
IIFL Finance Limited,INE530B01024,2005-05-17,NJ,IIFL,2024-03-27,985.55,985.55,985.55,985.55,985.55,1032.2,1,985.55,1
IIFL Finance Limited,INE530B01024,2005-05-17,NO,IIFL,2024-03-27,976.8,976.8,976.0,976.0,976.0,997.0,51,49776.8,3
IIFL Finance Limited,INE530B01024,2005-05-17,Y1,IIFL,2024-03-27,900.0,900.0,880.0,883.79,900.0,880.0,1615,1427336.0,16
IIFL Finance Limited,INE530B01024,2005-05-17,Y0,IIFL,2024-03-27,938.8,938.8,925.0,925.0,925.0,930.0,227,209988.8,7
IIFL Finance Limited,INE530B01024,2005-05-17,NZ,IIFL,2024-03-27,875.0,882.0,874.0,881.0,881.0,870.0,647,569449.0,10
IIFL Finance Limited,INE530B01024,2005-05-17,NW,IIFL,2024-03-27,1005.0,1012.0,1005.0,1010.74,1012.0,990.55,50,50537.0,2
IIFL Finance Limited,INE530B01024,2005-05-17,NV,IIFL,2024-03-27,1006.0,1010.0,1006.0,1010.0,1010.0,1010.0,30,30220.0,3
IIFL Finance Limited,INE530B01024,2005-05-17,NE,IIFL,2024-03-27,935.0,945.0,915.21,934.45,935.0,936.5,833,775511.54,27
IIFL Finance Limited,INE530B01024,2005-05-17,NU,IIFL,2024-03-27,970.0,970.0,970.0,970.0,970.0,970.0,9,8730.0,1
IIFL Finance Limited,INE530B01024,2005-05-17,NS,IIFL,2024-03-27,886.98,886.98,879.0,886.1,886.98,881.68,3267,2889144.58,31
IIFL Finance Limited,INE530B01024,2005-05-17,EQ,IIFL,2024-03-27,326.0,353.5,313.25,351.95,352.0,321.4,8199702,2785118512.0,67958
IIFL Finance Limited,INE530B01024,2005-05-17,N6,IIFL,2024-03-27,950.0,958.9,950.0,955.01,955.02,957.71,122,116505.92,7
IIFL Finance Limited,INE530B01024,2005-05-17,N7,IIFL,2024-03-27,970.0,970.0,969.1,969.1,969.1,958.0,7,6788.2,2
IIFL Finance Limited,INE530B01024,2005-05-17,NC,IIFL,2024-03-27,960.0,990.0,960.0,990.0,990.0,958.01,216,210840.0,13
IIFL Finance Limited,INE530B01024,2005-05-17,NL,IIFL,2024-03-26,921.0,922.0,910.0,910.6,910.0,925.0,1975,1808141.26,26
IIFL Finance Limited,INE530B01024,2005-05-17,NK,IIFL,2024-03-26,1197.0,1197.0,1197.0,1197.0,1197.0,1210.2,100,119700.0,1
IIFL Finance Limited,INE530B01024,2005-05-17,NG,IIFL,2024-03-26,1146.0,1146.0,1138.8,1138.8,1138.8,1168.0,50,56976.0,2
IIFL Finance Limited,INE530B01024,2005-05-17,NP,IIFL,2024-03-26,1037.55,1037.55,1037.55,1037.55,1037.55,1048.0,33,34239.15,1
IIFL Finance Limited,INE530B01024,2005-05-17,NF,IIFL,2024-03-26,925.1,925.1,917.0,918.99,918.99,921.19,2295,2110210.06,83
IIFL Finance Limited,INE530B01024,2005-05-17,NE,IIFL,2024-03-26,926.0,958.0,926.0,936.5,935.0,950.0,678,634191.55,22
IIFL Finance Limited,INE530B01024,2005-05-17,NQ,IIFL,2024-03-26,941.2,950.0,941.2,948.0,948.0,951.0,732,693442.8,11
IIFL Finance Limited,INE530B01024,2005-05-17,ND,IIFL,2024-03-26,1529.0,1532.0,1518.44,1530.0,1530.0,1516.72,239,365381.0,7
IIFL Finance Limited,INE530B01024,2005-05-17,NC,IIFL,2024-03-26,955.55,958.01,955.55,958.01,958.01,962.0,46,44043.51,6
IIFL Finance Limited,INE530B01024,2005-05-17,NS,IIFL,2024-03-26,889.99,889.99,875.6,881.68,883.0,889.99,1790,1578347.71,31
IIFL Finance Limited,INE530B01024,2005-05-17,Y0,IIFL,2024-03-26,925.0,930.0,925.0,930.0,930.0,938.0,231,214280.0,6
IIFL Finance Limited,INE530B01024,2005-05-17,N7,IIFL,2024-03-26,958.0,958.0,958.0,958.0,958.0,951.11,90,86220.0,1
IIFL Finance Limited,INE530B01024,2005-05-17,N6,IIFL,2024-03-26,950.0,960.0,950.0,957.71,950.0,951.54,380,362502.88,10
IIFL Finance Limited,INE530B01024,2005-05-17,EQ,IIFL,2024-03-26,331.3,332.1,316.1,321.4,321.45,334.25,3659848,1182097409.85,68862
IIFL Finance Limited,INE530B01024,2005-05-17,NU,IIFL,2024-03-26,970.0,970.0,970.0,970.0,970.0,950.0,10,9700.0,1
IIFL Finance Limited,INE530B01024,2005-05-17,NV,IIFL,2024-03-26,1010.0,1010.0,1010.0,1010.0,1010.0,1003.0,346,349460.0,4
IIFL Finance Limited,INE530B01024,2005-05-17,NW,IIFL,2024-03-26,1002.5,1002.5,990.55,990.55,990.55,1002.8,19,18939.95,3
IIFL Finance Limited,INE530B01024,2005-05-17,NX,IIFL,2024-03-26,966.0,966.0,966.0,966.0,966.0,975.0,30,28980.0,1
IIFL Finance Limited,INE530B01024,2005-05-17,NZ,IIFL,2024-03-26,890.0,890.0,860.6,870.0,870.0,895.0,518,453166.35,9
IIFL Finance Limited,INE530B01024,2005-05-17,Y0,IIFL,2024-03-22,939.8,939.8,938.0,938.0,938.0,920.0,33,30959.4,4
IIFL Finance Limited,INE530B01024,2005-05-17,Y1,IIFL,2024-03-22,890.35,900.0,880.0,880.0,880.0,920.0,250,221317.5,5
IIFL Finance Limited,INE530B01024,2005-05-17,NZ,IIFL,2024-03-22,898.81,898.81,895.0,895.0,895.0,898.8,150,134529.93,8
IIFL Finance Limited,INE530B01024,2005-05-17,EQ,IIFL,2024-03-22,339.7,347.7,333.0,334.25,333.5,336.3,2037443,686870290.45,30372
IIFL Finance Limited,INE530B01024,2005-05-17,NL,IIFL,2024-03-22,925.0,925.0,920.0,925.0,925.0,929.0,1133,1047555.0,15
IIFL Finance Limited,INE530B01024,2005-05-17,N6,IIFL,2024-03-22,979.1,983.2,942.0,951.54,942.01,979.1,489,477401.95,10
IIFL Finance Limited,INE530B01024,2005-05-17,N7,IIFL,2024-03-22,951.11,951.11,951.11,951.11,951.11,1005.0,22,20924.42,3
IIFL Finance Limited,INE530B01024,2005-05-17,NE,IIFL,2024-03-22,960.0,960.0,950.0,950.0,950.0,967.47,33,31570.0,2
IIFL Finance Limited,INE530B01024,2005-05-17,NX,IIFL,2024-03-22,975.0,975.0,966.0,975.0,975.0,975.0,218,211596.0,6
IIFL Finance Limited,INE530B01024,2005-05-17,NF,IIFL,2024-03-22,925.1,927.0,916.0,921.19,920.0,922.69,4322,3978867.9,89
IIFL Finance Limited,INE530B01024,2005-05-17,NG,IIFL,2024-03-22,1168.0,1168.0,1168.0,1168.0,1168.0,1160.0,58,67744.0,1
IIFL Finance Limited,INE530B01024,2005-05-17,NV,IIFL,2024-03-22,1001.0,1003.0,1001.0,1003.0,1003.0,995.0,11,11013.0,2
IIFL Finance Limited,INE530B01024,2005-05-17,NU,IIFL,2024-03-22,950.0,950.0,950.0,950.0,950.0,921.0,100,95000.0,1
IIFL Finance Limited,INE530B01024,2005-05-17,NS,IIFL,2024-03-22,882.3,890.0,880.0,889.99,889.99,881.98,654,578669.72,21
IIFL Finance Limited,INE530B01024,2005-05-17,NP,IIFL,2024-03-22,1048.0,1048.0,1048.0,1048.0,1048.0,1039.57,538,563824.0,6
IIFL Finance Limited,INE530B01024,2005-05-17,NO,IIFL,2024-03-22,956.55,997.0,956.55,997.0,997.0,984.93,344,340054.13,9
IIFL Finance Limited,INE530B01024,2005-05-17,NN,IIFL,2024-03-22,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,100,120000.0,1
IIFL Finance Limited,INE530B01024,2005-05-17,NZ,IIFL,2024-03-21,898.8,898.8,898.8,898.8,898.8,897.6,100,89880.0,2
IIFL Finance Limited,INE530B01024,2005-05-17,Y0,IIFL,2024-03-21,930.0,930.0,920.0,920.0,920.0,917.84,700,644960.0,7
IIFL Finance Limited,INE530B01024,2005-05-17,NL,IIFL,2024-03-21,920.0,929.0,917.0,929.0,929.0,918.87,1289,1185297.27,21
IIFL Finance Limited,INE530B01024,2005-05-17,NG,IIFL,2024-03-21,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,50,58000.0,1
IIFL Finance Limited,INE530B01024,2005-05-17,NQ,IIFL,2024-03-21,944.85,960.0,944.85,951.0,951.0,941.0,520,493641.15,5
IIFL Finance Limited,INE530B01024,2005-05-17,NF,IIFL,2024-03-21,930.4,930.4,921.3,922.69,922.0,925.0,1294,1197726.39,49
IIFL Finance Limited,INE530B01024,2005-05-17,EQ,IIFL,2024-03-21,340.0,348.8,329.95,336.3,332.0,336.55,3365695,1136339184.35,39247
IIFL Finance Limited,INE530B01024,2005-05-17,NY,IIFL,2024-03-21,950.0,950.0,950.0,950.0,950.0,995.0,50,47500.0,1
IIFL Finance Limited,INE530B01024,2005-05-17,NS,IIFL,2024-03-21,889.57,889.57,881.95,881.98,882.0,880.18,798,705365.54,25
IIFL Finance Limited,INE530B01024,2005-05-17,NW,IIFL,2024-03-21,1002.8,1005.0,1002.8,1002.8,1002.8,1004.95,246,246880.2,4
IIFL Finance Limited,INE530B01024,2005-05-17,NX,IIFL,2024-03-21,975.0,975.0,975.0,975.0,975.0,975.0,550,536250.0,2
IIFL Finance Limited,INE530B01024,2005-05-17,NP,IIFL,2024-03-21,1048.0,1048.0,1038.55,1039.57,1038.55,1048.0,125,130924.0,6
IIFL Finance Limited,INE530B01024,2005-05-17,N7,IIFL,2024-03-21,1010.0,1010.0,1005.0,1005.0,1005.0,982.0,26,26180.0,2
IIFL Finance Limited,INE530B01024,2005-05-17,NC,IIFL,2024-03-21,962.0,963.0,962.0,962.0,962.0,952.13,347,333824.0,12
IIFL Finance Limited,INE530B01024,2005-05-17,NE,IIFL,2024-03-21,957.5,967.5,932.0,967.47,967.5,957.5,1218,1160213.27,21
IIFL Finance Limited,INE530B01024,2005-05-17,NO,IIFL,2024-03-21,975.0,984.93,975.0,984.93,984.93,985.0,321,315126.53,5
IIFL Finance Limited,INE530B01024,2005-05-17,NP,IIFL,2024-03-20,1048.0,1048.0,1048.0,1048.0,1048.0,1048.0,2,2096.0,1
IIFL Finance Limited,INE530B01024,2005-05-17,NO,IIFL,2024-03-20,985.0,985.0,985.0,985.0,985.0,990.88,100,98500.0,1
IIFL Finance Limited,INE530B01024,2005-05-17,NN,IIFL,2024-03-20,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,500,600000.0,1
IIFL Finance Limited,INE530B01024,2005-05-17,NM,IIFL,2024-03-20,1005.0,1005.0,1005.0,1005.0,1005.0,979.65,10,10050.0,1
IIFL Finance Limited,INE530B01024,2005-05-17,EQ,IIFL,2024-03-20,360.0,361.6,335.3,336.55,336.4,359.45,2748658,938456126.7,60903
IIFL Finance Limited,INE530B01024,2005-05-17,NL,IIFL,2024-03-20,920.21,925.0,917.0,918.87,918.85,928.9,767,705253.9,15
IIFL Finance Limited,INE530B01024,2005-05-17,NK,IIFL,2024-03-20,1210.2,1210.2,1210.2,1210.2,1210.2,1205.8,100,121020.0,1
IIFL Finance Limited,INE530B01024,2005-05-17,N6,IIFL,2024-03-20,984.9,985.0,975.0,979.1,985.0,985.0,107,104804.3,4
IIFL Finance Limited,INE530B01024,2005-05-17,Y0,IIFL,2024-03-20,923.2,924.19,915.0,917.84,917.36,945.2,1275,1175165.0,22
IIFL Finance Limited,INE530B01024,2005-05-17,NZ,IIFL,2024-03-20,897.0,899.0,894.0,897.6,894.0,883.0,140,125475.0,4
IIFL Finance Limited,INE530B01024,2005-05-17,NS,IIFL,2024-03-20,930.0,930.0,876.0,880.18,880.0,891.29,1119,987197.9,31
IIFL Finance Limited,INE530B01024,2005-05-17,NV,IIFL,2024-03-20,999.01,1000.0,994.31,995.0,995.0,990.0,25,24962.66,6
IIFL Finance Limited,INE530B01024,2005-05-17,NC,IIFL,2024-03-20,990.0,990.0,952.13,952.13,952.13,995.0,569,549034.77,43
IIFL Finance Limited,INE530B01024,2005-05-17,NE,IIFL,2024-03-20,932.1,959.0,932.1,957.5,957.5,931.5,1790,1695335.0,8
