StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
The Indian Hotels Company Limited,INE053A01029,1996-07-03,EQ,INDHOTEL,2024-03-28,589.5,595.55,583.1,591.15,593.0,585.85,4201009,2484134450.3,66003
The Indian Hotels Company Limited,INE053A01029,1996-07-03,EQ,INDHOTEL,2024-03-27,569.55,593.0,569.1,585.85,586.6,568.95,6671977,3892252390.9,147433
The Indian Hotels Company Limited,INE053A01029,1996-07-03,EQ,INDHOTEL,2024-03-26,549.05,570.95,549.05,568.95,569.5,557.05,1818254,1029760752.8,34344
The Indian Hotels Company Limited,INE053A01029,1996-07-03,EQ,INDHOTEL,2024-03-22,562.9,564.7,554.5,557.05,560.55,563.4,2340891,1307025338.95,56842
The Indian Hotels Company Limited,INE053A01029,1996-07-03,EQ,INDHOTEL,2024-03-21,550.0,564.95,548.9,563.4,564.0,547.9,1660541,927255818.85,52974
The Indian Hotels Company Limited,INE053A01029,1996-07-03,EQ,INDHOTEL,2024-03-20,550.0,556.0,541.05,547.9,546.5,549.1,1320067,722768229.35,41464
The Indian Hotels Company Limited,INE053A01029,1996-07-03,EQ,INDHOTEL,2024-03-19,552.95,557.3,545.0,549.1,548.75,552.9,1992559,1094810232.75,30082
The Indian Hotels Company Limited,INE053A01029,1996-07-03,EQ,INDHOTEL,2024-03-18,562.5,562.5,545.45,552.9,554.6,562.3,3707336,2046382517.7,75922
The Indian Hotels Company Limited,INE053A01029,1996-07-03,EQ,INDHOTEL,2024-03-15,565.0,565.9,549.95,562.3,562.9,565.35,3026811,1697044350.9,59605
The Indian Hotels Company Limited,INE053A01029,1996-07-03,EQ,INDHOTEL,2024-03-14,543.0,567.95,531.05,565.35,565.85,544.7,2123175,1187289160.85,51209
The Indian Hotels Company Limited,INE053A01029,1996-07-03,EQ,INDHOTEL,2024-03-13,573.95,577.25,540.25,544.7,545.1,568.25,4503786,2494433012.95,93594
The Indian Hotels Company Limited,INE053A01029,1996-07-03,EQ,INDHOTEL,2024-03-12,570.1,576.35,563.2,568.25,569.9,572.9,2126951,1209197302.35,58703
The Indian Hotels Company Limited,INE053A01029,1996-07-03,EQ,INDHOTEL,2024-03-11,582.0,588.15,569.5,572.9,572.5,587.7,6383737,3672452009.45,141912
The Indian Hotels Company Limited,INE053A01029,1996-07-03,EQ,INDHOTEL,2024-03-07,577.0,589.7,575.0,587.7,585.9,574.1,2853111,1670750166.95,54924
The Indian Hotels Company Limited,INE053A01029,1996-07-03,EQ,INDHOTEL,2024-03-06,586.9,587.2,565.1,574.1,575.0,584.85,4919809,2811339608.6,81537
The Indian Hotels Company Limited,INE053A01029,1996-07-03,EQ,INDHOTEL,2024-03-05,589.0,594.8,583.55,584.85,585.0,588.35,2307428,1357130456.4,58315
The Indian Hotels Company Limited,INE053A01029,1996-07-03,EQ,INDHOTEL,2024-03-04,589.0,592.05,583.6,588.35,588.6,589.5,4294901,2525842020.45,97088
The Indian Hotels Company Limited,INE053A01029,1996-07-03,EQ,INDHOTEL,2024-03-02,592.0,597.0,585.85,589.5,588.5,589.25,335997,198188987.3,8263
The Indian Hotels Company Limited,INE053A01029,1996-07-03,EQ,INDHOTEL,2024-03-01,589.9,594.9,585.1,589.25,589.35,586.7,4153999,2448406083.25,45198
The Indian Hotels Company Limited,INE053A01029,1996-07-03,EQ,INDHOTEL,2024-02-29,570.9,589.75,564.5,586.7,586.9,570.9,6652490,3881301855.6,96120
