StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-03-28,213.8,215.3,211.4,212.4,213.4,212.4,2536338,540863731.15,18390
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-03-27,211.0,216.45,209.6,212.4,210.8,209.15,4086984,871444580.6,24388
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-03-26,205.0,211.15,205.0,209.15,208.9,207.05,2239740,466802615.3,16904
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-03-22,203.7,209.55,202.4,207.05,207.7,203.7,2367242,489953417.45,17042
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-03-21,198.35,205.0,198.35,203.7,203.55,196.6,2188071,443263954.4,14857
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-03-20,200.1,201.65,194.0,196.6,196.5,198.95,2309929,455244465.55,16188
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-03-19,204.25,204.8,197.45,198.95,199.2,204.3,1948804,390510791.35,18057
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-03-18,205.3,208.5,202.7,204.3,203.85,205.0,1574169,322601044.15,12406
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-03-15,205.25,207.0,199.2,205.0,205.85,204.2,2175665,442221165.45,20893
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-03-14,196.05,205.55,193.65,204.2,204.1,196.05,2800040,565711261.95,26151
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-03-13,214.4,214.65,194.15,196.05,195.6,212.35,4670058,950945906.95,36292
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-03-12,221.0,221.0,211.4,212.35,212.0,220.0,1970279,423798518.55,17603
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-03-11,226.0,227.2,219.0,220.0,219.4,225.55,1264842,282215453.1,12248
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-03-07,223.5,228.4,223.35,225.55,225.7,223.55,1259979,284486386.7,10857
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-03-06,229.75,229.75,219.15,223.55,223.3,228.3,1845913,411394015.95,16718
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-03-05,232.3,234.4,227.7,228.3,229.2,232.2,1108308,255210522.1,10114
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-03-04,233.05,234.95,231.0,232.2,232.75,232.9,1242661,289227471.4,10141
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-03-02,232.0,233.95,230.25,232.9,233.0,231.15,253708,58954133.25,2294
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-03-01,229.6,233.3,229.1,231.15,232.0,228.85,1642945,379579525.05,13083
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-02-29,225.7,230.0,220.75,228.85,229.1,224.55,3172834,715496884.8,21949
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-02-28,236.4,236.4,222.2,224.55,223.8,234.35,2700345,617320231.1,21759
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-02-27,238.0,240.75,233.75,234.35,234.5,239.1,1572427,372060002.25,15621
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-02-26,245.85,245.85,238.25,239.1,239.95,245.15,2716590,655810829.15,18520
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-02-23,249.95,252.3,243.05,245.15,245.0,248.35,5036188,1245539679.5,25929
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-02-22,243.0,249.4,238.85,248.35,248.9,242.75,4919069,1211771714.7,20283
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-02-21,244.45,248.15,241.65,242.75,243.0,242.85,3006832,737961832.5,17414
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-02-20,243.0,245.0,239.6,242.85,244.6,241.3,1463530,353892342.1,10536
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-02-19,243.15,244.15,239.55,241.3,241.95,243.35,1612158,388979850.05,12371
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-02-16,238.0,246.5,236.2,243.35,244.45,235.6,3352123,813496880.3,23199
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-02-15,237.4,239.3,234.95,235.6,235.3,234.85,1384023,327544069.3,11268
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-02-14,228.0,235.95,227.75,234.85,234.6,232.5,1295271,302582229.65,11325
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-02-13,236.05,237.2,230.2,232.5,232.3,235.15,1956691,457184382.85,14273
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-02-12,247.45,248.35,233.2,235.15,235.55,247.2,2606015,624570281.7,21894
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-02-09,238.5,249.75,228.5,247.2,247.2,237.35,9010872,2194751576.45,53474
The India Cements Limited,INE383A01012,2000-05-31,EQ,INDIACEM,2024-02-08,242.0,242.05,236.5,237.35,237.25,239.7,1124896,268650459.95,10043
