StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Indian Bank,INE562A01011,2007-03-01,EQ,INDIANB,2024-03-28,505.0,531.25,504.95,520.7,522.0,499.8,3475863,1814373083.55,67677
Indian Bank,INE562A01011,2007-03-01,EQ,INDIANB,2024-03-27,512.0,520.5,497.25,499.8,501.0,511.45,2463731,1249807191.35,64260
Indian Bank,INE562A01011,2007-03-01,EQ,INDIANB,2024-03-26,490.25,514.6,489.9,511.45,510.0,489.45,2736593,1387212816.4,61860
Indian Bank,INE562A01011,2007-03-01,EQ,INDIANB,2024-03-22,492.0,495.0,484.4,489.45,490.2,492.35,2267977,1111405989.65,44062
Indian Bank,INE562A01011,2007-03-01,EQ,INDIANB,2024-03-21,476.5,496.4,474.5,492.35,491.5,469.7,2352510,1142172934.8,53965
Indian Bank,INE562A01011,2007-03-01,EQ,INDIANB,2024-03-20,488.0,495.85,467.3,469.7,469.4,485.75,2319604,1103143432.7,51138
Indian Bank,INE562A01011,2007-03-01,EQ,INDIANB,2024-03-19,496.9,499.9,478.15,485.75,486.35,496.9,1307489,637753208.85,42760
Indian Bank,INE562A01011,2007-03-01,EQ,INDIANB,2024-03-18,510.6,510.6,494.0,496.9,494.8,509.3,1145067,574427580.9,30506
Indian Bank,INE562A01011,2007-03-01,EQ,INDIANB,2024-03-15,495.4,517.9,488.3,509.3,504.6,491.6,7785364,3931946884.75,119875
Indian Bank,INE562A01011,2007-03-01,EQ,INDIANB,2024-03-14,500.3,512.9,490.0,491.6,491.75,501.2,2442984,1214601532.95,62036
Indian Bank,INE562A01011,2007-03-01,EQ,INDIANB,2024-03-13,521.8,523.45,494.1,501.2,504.0,516.85,3466220,1748406882.65,136118
Indian Bank,INE562A01011,2007-03-01,EQ,INDIANB,2024-03-12,548.0,549.95,507.1,516.85,517.9,548.0,3947189,2054507703.3,97079
Indian Bank,INE562A01011,2007-03-01,EQ,INDIANB,2024-03-11,551.65,562.85,540.6,548.0,547.5,545.45,2215712,1219527106.95,64008
