StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-03-28,1534.75,1564.5,1533.6,1553.0,1549.75,1533.55,3964429,6149371437.5,107568
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-03-27,1519.0,1542.95,1514.45,1533.55,1534.0,1518.7,8408702,12859083213.1,215950
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-03-26,1512.1,1523.6,1502.2,1518.7,1520.0,1512.1,9046136,13722413637.5,168442
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-03-22,1477.75,1520.35,1473.0,1512.1,1517.0,1484.1,5309042,7966098002.15,218777
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-03-21,1460.0,1486.9,1459.0,1484.1,1484.0,1441.55,3870591,5727869939.7,189233
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-03-20,1440.0,1464.0,1422.7,1441.55,1443.85,1434.1,5480729,7924325753.2,218409
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-03-19,1476.05,1482.95,1430.85,1434.1,1432.8,1480.7,3180412,4602550229.5,100129
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-03-18,1487.25,1491.6,1466.3,1480.7,1481.9,1484.35,2365287,3499770187.6,130867
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-03-15,1474.0,1489.5,1456.7,1484.35,1480.55,1476.75,2985042,4409678663.15,117252
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-03-14,1471.55,1506.9,1469.2,1476.75,1481.5,1502.65,3652530,5429920950.35,163526
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-03-13,1535.0,1540.6,1495.0,1502.65,1495.0,1533.05,4165036,6284901446.45,176342
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-03-12,1541.05,1555.95,1528.5,1533.05,1534.5,1541.05,1918571,2956933630.85,106099
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-03-11,1566.1,1568.75,1536.6,1541.05,1538.0,1563.75,1694488,2621085353.35,114140
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-03-07,1556.45,1571.5,1546.05,1563.75,1561.55,1554.55,2285176,3568103539.0,83212
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-03-06,1542.45,1564.75,1536.55,1554.55,1551.0,1542.45,5167456,8031853595.75,182966
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-03-05,1529.65,1547.0,1524.0,1542.45,1541.9,1531.3,2694157,4138392628.8,154122
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-03-04,1529.95,1538.95,1520.35,1531.3,1531.55,1526.0,2985524,4568389297.15,159310
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-03-02,1535.0,1538.0,1524.0,1526.0,1527.5,1526.65,179042,273744642.5,6220
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-03-01,1480.0,1528.75,1477.85,1526.65,1524.0,1474.9,3549401,5353763822.55,159490
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-02-29,1451.0,1484.0,1440.0,1474.9,1479.9,1449.2,4216252,6165051203.9,189555
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-02-28,1495.0,1503.45,1442.5,1449.2,1446.05,1493.05,2661887,3916467654.6,98324
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-02-27,1466.5,1497.35,1458.5,1493.05,1492.0,1466.5,2843312,4194942902.1,133884
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-02-26,1481.0,1486.0,1463.9,1466.5,1467.0,1480.3,2077787,3057485639.45,105902
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-02-23,1498.45,1504.9,1475.05,1480.3,1478.95,1489.15,2557861,3808894016.05,145905
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-02-22,1517.25,1520.0,1463.5,1489.15,1492.0,1517.25,4969478,7366723439.3,191813
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-02-21,1520.0,1526.8,1502.5,1517.25,1515.0,1504.2,5259113,7961913431.5,166714
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-02-20,1489.0,1508.0,1475.05,1504.2,1507.0,1483.6,2390096,3563651645.8,94775
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-02-19,1499.9,1502.8,1477.0,1483.6,1485.0,1493.65,1209609,1803052531.35,85337
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-02-16,1485.95,1506.5,1471.0,1493.65,1491.75,1476.95,1844045,2754056461.9,99732
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-02-15,1491.0,1492.85,1460.3,1476.95,1480.3,1481.5,1906763,2810038578.45,132558
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-02-14,1450.05,1494.5,1435.95,1481.5,1484.5,1463.9,4208176,6172572423.1,171061
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-02-13,1452.4,1476.25,1430.65,1463.9,1460.0,1447.15,4601482,6695438968.25,203716
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-02-12,1488.2,1497.0,1442.15,1447.15,1452.4,1486.25,2821957,4110561701.75,118593
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-02-09,1480.25,1491.4,1462.65,1486.25,1487.0,1477.3,2388841,3527643146.7,125205
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-02-08,1522.7,1540.95,1470.0,1477.3,1483.5,1515.35,2931291,4404775557.95,164635
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-02-07,1522.4,1522.4,1492.2,1515.35,1520.0,1511.4,4066189,6139198751.4,182277
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-02-06,1550.0,1550.45,1504.15,1511.4,1513.2,1537.8,3312270,5023882493.15,155950
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-02-05,1532.75,1550.0,1521.8,1537.8,1530.7,1533.75,2624023,4042312809.25,136960
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-02-02,1551.0,1564.85,1529.55,1533.75,1532.75,1541.15,3554450,5518766031.45,169557
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-02-01,1537.75,1547.55,1523.55,1541.15,1536.95,1534.05,2240634,3447858960.85,121392
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-01-31,1519.2,1548.0,1507.15,1534.05,1537.75,1519.9,3867886,5940100870.85,174592
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-01-30,1530.0,1544.45,1510.05,1519.9,1515.75,1526.8,1721705,2634181684.3,88033
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-01-29,1523.0,1537.75,1515.35,1526.8,1529.9,1512.0,3058020,4673528374.3,129958
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-01-25,1490.0,1543.95,1488.6,1512.0,1508.35,1490.85,8118578,12234107819.85,283308
IndusInd Bank Limited,INE095A01012,1998-01-28,BL,INDUSINDBK,2024-01-25,1490.85,1490.85,1490.85,1490.85,1490.85,942.45,1643363,2450007728.55,1
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-01-24,1459.95,1495.8,1442.0,1490.85,1495.45,1441.7,9155544,13487756487.3,286439
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-01-23,1535.0,1547.9,1428.05,1441.7,1440.45,1535.35,10097057,14918918024.5,335045
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-01-20,1570.0,1571.9,1530.0,1535.35,1536.0,1561.1,3158588,4878381888.45,98438
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-01-19,1622.7,1631.75,1550.2,1561.1,1560.5,1612.9,10982524,17267842665.35,368442
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-01-18,1634.95,1639.6,1595.1,1612.9,1615.75,1643.9,3557256,5753327689.8,237030
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-01-17,1650.0,1677.05,1631.85,1643.9,1640.0,1667.05,6683398,11024813490.95,231139
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-01-16,1688.85,1691.75,1663.05,1667.05,1667.0,1688.85,1316138,2204712927.05,95595
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-01-15,1684.8,1694.5,1668.05,1688.85,1688.95,1674.0,2930339,4939806154.25,170648
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-01-12,1657.85,1677.85,1647.4,1674.0,1671.45,1657.85,2161848,3609504748.85,115895
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-01-11,1643.95,1668.2,1642.55,1657.85,1660.9,1640.15,1914421,3175405708.7,118559
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-01-10,1620.0,1642.75,1620.0,1640.15,1639.7,1625.1,1629958,2668262758.65,78796
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-01-09,1631.95,1643.9,1621.0,1625.1,1625.0,1627.1,1619091,2649512053.6,69123
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-01-08,1633.0,1650.05,1622.0,1627.1,1622.15,1643.2,1791003,2927104052.9,99824
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-01-05,1654.0,1654.0,1629.0,1643.2,1640.0,1648.55,2294140,3764239885.7,116652
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-01-04,1593.0,1655.0,1593.0,1648.55,1645.9,1601.15,4271262,6999412152.0,159506
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-01-03,1575.5,1604.95,1558.0,1601.15,1598.0,1575.6,2620296,4154050732.0,103676
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-01-02,1594.1,1598.25,1570.0,1575.6,1571.0,1598.85,1227193,1943535629.45,89821
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2024-01-01,1598.95,1611.4,1591.8,1598.85,1595.0,1598.95,1341121,2148594776.3,84504
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2023-12-29,1615.0,1618.9,1587.05,1598.95,1595.9,1610.55,1779207,2840773228.8,91537
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2023-12-28,1600.0,1618.7,1592.0,1610.55,1609.65,1597.45,3143161,5048949173.15,174998
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2023-12-27,1573.15,1600.0,1567.3,1597.45,1595.0,1570.8,1887827,3004544101.6,102357
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2023-12-26,1562.95,1582.75,1557.0,1570.8,1572.8,1562.35,1129332,1775151328.5,85088
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2023-12-22,1574.3,1591.1,1557.9,1562.35,1560.25,1570.0,2214206,3486292175.0,117259
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2023-12-21,1542.1,1574.0,1527.55,1570.0,1570.0,1556.15,2400593,3716196118.15,123581
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2023-12-20,1578.0,1581.0,1549.5,1556.15,1551.0,1566.55,3218717,5043435729.55,121454
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2023-12-19,1556.35,1586.05,1542.2,1566.55,1566.5,1556.35,2297704,3600876679.0,116760
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2023-12-18,1570.0,1570.0,1552.0,1556.35,1554.0,1570.8,1352458,2107342880.5,90936
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2023-12-15,1552.95,1578.0,1547.05,1570.8,1567.1,1551.7,3478643,5437505289.1,136315
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2023-12-14,1523.0,1554.5,1515.6,1551.7,1551.95,1506.9,3427500,5291270898.15,147781
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2023-12-13,1502.0,1512.65,1495.0,1506.9,1504.3,1497.0,2562565,3860567990.0,123823
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2023-12-12,1528.9,1528.9,1489.95,1497.0,1499.0,1521.85,1621785,2448373137.6,74085
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2023-12-11,1512.8,1537.95,1510.0,1521.85,1522.3,1508.95,2194782,3345545018.75,90443
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2023-12-08,1510.0,1520.95,1494.05,1508.95,1509.5,1504.75,2568088,3872329339.85,101269
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2023-12-07,1505.0,1514.95,1496.05,1504.75,1506.25,1501.6,1931490,2906074093.8,85452
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2023-12-06,1517.0,1521.35,1493.35,1501.6,1503.9,1506.6,3405245,5118396087.05,101178
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2023-12-05,1519.8,1525.5,1486.5,1506.6,1505.0,1514.65,3457904,5208748597.65,148631
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2023-12-04,1490.0,1517.55,1473.45,1514.65,1515.55,1461.05,4254987,6373671983.3,138472
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2023-12-01,1479.0,1493.0,1458.15,1461.05,1461.9,1466.1,4063279,5980969742.4,109519
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2023-11-30,1500.0,1500.0,1450.05,1466.1,1468.0,1483.55,45549217,66827869375.25,289170
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2023-11-29,1484.0,1489.55,1471.25,1483.55,1486.0,1477.55,3477076,5153864731.5,125675
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2023-11-28,1480.0,1486.8,1468.0,1477.55,1479.0,1476.2,4305915,6360455704.25,154184
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2023-11-24,1491.45,1491.9,1474.0,1476.2,1476.0,1486.1,2813844,4169239622.0,136187
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2023-11-23,1475.0,1496.25,1470.45,1486.1,1487.0,1470.4,3832098,5700190690.5,92186
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2023-11-22,1500.0,1505.5,1458.95,1470.4,1470.45,1502.05,3914008,5782289477.0,135462
IndusInd Bank Limited,INE095A01012,1998-01-28,EQ,INDUSINDBK,2023-11-21,1505.5,1507.45,1494.1,1502.05,1502.0,1504.8,1661103,2494087684.1,78053
