StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Indus Towers Limited,INE121J01017,2012-12-28,EQ,INDUSTOWER,2024-03-28,283.6,292.75,283.25,291.15,291.3,283.6,20460251,5921756909.25,145137
Indus Towers Limited,INE121J01017,2012-12-28,EQ,INDUSTOWER,2024-03-27,283.65,286.75,279.35,283.6,282.4,283.65,15903523,4498563720.1,111520
Indus Towers Limited,INE121J01017,2012-12-28,EQ,INDUSTOWER,2024-03-26,279.0,286.0,274.4,283.65,284.0,271.3,51320717,14391350586.45,262903
Indus Towers Limited,INE121J01017,2012-12-28,EQ,INDUSTOWER,2024-03-22,250.5,275.2,250.2,271.3,275.2,250.2,33142623,8758518585.65,151786
Indus Towers Limited,INE121J01017,2012-12-28,EQ,INDUSTOWER,2024-03-21,253.0,254.8,249.35,250.2,250.0,250.7,9360207,2356762037.7,75557
Indus Towers Limited,INE121J01017,2012-12-28,EQ,INDUSTOWER,2024-03-20,242.0,252.2,241.55,250.7,248.35,238.25,30243183,7479089713.5,179276
Indus Towers Limited,INE121J01017,2012-12-28,EQ,INDUSTOWER,2024-03-19,249.0,251.6,234.0,238.25,241.2,248.5,30394055,7342139891.6,154582
Indus Towers Limited,INE121J01017,2012-12-28,EQ,INDUSTOWER,2024-03-18,249.8,251.0,245.85,248.5,248.75,248.35,5938154,1475433024.1,65240
Indus Towers Limited,INE121J01017,2012-12-28,EQ,INDUSTOWER,2024-03-15,244.2,252.4,241.2,248.35,247.5,245.7,14024872,3465904328.0,105083
Indus Towers Limited,INE121J01017,2012-12-28,EQ,INDUSTOWER,2024-03-14,234.85,247.85,227.25,245.7,246.75,236.4,15267590,3722310770.65,127556
Indus Towers Limited,INE121J01017,2012-12-28,EQ,INDUSTOWER,2024-03-13,248.0,249.55,231.3,236.4,233.1,247.2,16039868,3846927206.0,126514
Indus Towers Limited,INE121J01017,2012-12-28,EQ,INDUSTOWER,2024-03-12,249.05,250.55,241.7,247.2,246.8,247.45,10111209,2482326828.8,71584
Indus Towers Limited,INE121J01017,2012-12-28,EQ,INDUSTOWER,2024-03-11,254.0,255.2,246.4,247.45,247.15,255.4,8073625,2018452438.15,65738
Indus Towers Limited,INE121J01017,2012-12-28,EQ,INDUSTOWER,2024-03-07,254.2,258.35,252.55,255.4,254.0,252.95,9619303,2451986856.35,106552
Indus Towers Limited,INE121J01017,2012-12-28,EQ,INDUSTOWER,2024-03-06,261.0,261.0,246.0,252.95,253.4,261.45,24899815,6266933379.6,160476
Indus Towers Limited,INE121J01017,2012-12-28,EQ,INDUSTOWER,2024-03-05,267.45,271.35,260.4,261.45,261.1,268.1,16010730,4273342722.95,90574
Indus Towers Limited,INE121J01017,2012-12-28,EQ,INDUSTOWER,2024-03-04,265.55,269.8,263.4,268.1,268.3,265.7,12237066,3266283558.85,103246
Indus Towers Limited,INE121J01017,2012-12-28,EQ,INDUSTOWER,2024-03-02,264.15,267.0,261.05,265.7,265.55,263.1,2728890,724038100.75,15959
Indus Towers Limited,INE121J01017,2012-12-28,EQ,INDUSTOWER,2024-03-01,252.8,264.15,246.45,263.1,263.4,252.8,37746325,9665463572.7,173583
Indus Towers Limited,INE121J01017,2012-12-28,EQ,INDUSTOWER,2024-02-29,244.0,255.2,240.4,252.8,253.0,244.65,32290220,8009621240.9,117078
