StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Infosys Limited,INE009A01021,1995-02-08,EQ,INFY,2024-03-28,1487.15,1511.8,1487.15,1498.05,1495.25,1483.85,12499530,18784020019.0,288652
Infosys Limited,INE009A01021,1995-02-08,EQ,INFY,2024-03-27,1496.0,1499.0,1481.55,1483.85,1487.15,1492.65,6857402,10217237548.9,227899
Infosys Limited,INE009A01021,1995-02-08,EQ,INFY,2024-03-26,1492.0,1507.45,1487.9,1492.65,1495.0,1508.85,8351081,12490545025.35,307407
Infosys Limited,INE009A01021,1995-02-08,EQ,INFY,2024-03-22,1521.0,1528.9,1498.2,1508.85,1511.45,1554.7,14673890,22204570809.45,512162
Infosys Limited,INE009A01021,1995-02-08,EQ,INFY,2024-03-21,1564.0,1576.95,1543.4,1554.7,1555.5,1554.95,11062497,17221025530.5,223612
Infosys Limited,INE009A01021,1995-02-08,EQ,INFY,2024-03-20,1563.0,1574.95,1552.35,1554.95,1555.8,1561.45,4759059,7431059606.05,235538
Infosys Limited,INE009A01021,1995-02-08,EQ,INFY,2024-03-19,1592.35,1599.0,1558.0,1561.45,1566.5,1602.65,6870411,10813185653.45,247678
Infosys Limited,INE009A01021,1995-02-08,EQ,INFY,2024-03-18,1630.0,1632.65,1598.85,1602.65,1601.8,1634.0,4958904,8003700121.25,201320
Infosys Limited,INE009A01021,1995-02-08,EQ,INFY,2024-03-15,1641.1,1645.8,1618.35,1634.0,1631.45,1653.3,11809997,19271370665.0,285667
Infosys Limited,INE009A01021,1995-02-08,EQ,INFY,2024-03-14,1614.4,1657.75,1608.0,1653.3,1649.95,1611.4,8803799,14464850154.75,224912
Infosys Limited,INE009A01021,1995-02-08,EQ,INFY,2024-03-13,1612.9,1624.5,1598.55,1611.4,1613.0,1612.95,5688997,9167281916.8,195986
Infosys Limited,INE009A01021,1995-02-08,EQ,INFY,2024-03-12,1600.0,1625.0,1597.65,1612.95,1614.1,1600.6,4614222,7457666086.0,207553
Infosys Limited,INE009A01021,1995-02-08,EQ,INFY,2024-03-11,1608.15,1613.8,1588.0,1600.6,1600.0,1616.45,6752895,10810022836.75,243001
Infosys Limited,INE009A01021,1995-02-08,EQ,INFY,2024-03-07,1616.6,1628.45,1604.2,1616.45,1612.0,1617.55,6348359,10263036188.75,244687
Infosys Limited,INE009A01021,1995-02-08,EQ,INFY,2024-03-06,1602.8,1620.15,1576.0,1617.55,1618.5,1606.5,6420684,10250800224.9,243568
Infosys Limited,INE009A01021,1995-02-08,EQ,INFY,2024-03-05,1634.0,1637.35,1602.0,1606.5,1604.0,1637.2,4596579,7403097435.55,241650
Infosys Limited,INE009A01021,1995-02-08,EQ,INFY,2024-03-04,1657.85,1664.45,1633.65,1637.2,1635.75,1656.3,4445156,7298368189.55,193640
Infosys Limited,INE009A01021,1995-02-08,EQ,INFY,2024-03-02,1658.85,1665.0,1654.05,1656.3,1655.2,1654.7,292153,484868460.9,9759
Infosys Limited,INE009A01021,1995-02-08,EQ,INFY,2024-03-01,1669.0,1671.95,1651.0,1654.7,1653.8,1673.9,6387291,10618054258.6,268042
Infosys Limited,INE009A01021,1995-02-08,EQ,INFY,2024-02-29,1665.0,1682.25,1653.3,1673.9,1674.0,1671.25,7814722,13049188571.25,199180
Infosys Limited,INE009A01021,1995-02-08,EQ,INFY,2024-02-28,1670.0,1687.8,1662.05,1671.25,1666.0,1663.6,3188916,5338082989.15,168195
Infosys Limited,INE009A01021,1995-02-08,EQ,INFY,2024-02-27,1661.0,1671.1,1652.8,1663.6,1664.5,1660.15,5159088,8568654402.45,177632
Infosys Limited,INE009A01021,1995-02-08,EQ,INFY,2024-02-26,1674.95,1674.95,1645.0,1660.15,1660.0,1676.85,2782438,4608093160.55,138789
Infosys Limited,INE009A01021,1995-02-08,EQ,INFY,2024-02-23,1697.0,1698.45,1671.9,1676.85,1675.05,1681.35,5373072,9028806812.45,159253
