StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Indian Overseas Bank,INE565A01014,2000-12-07,EQ,IOB,2024-03-28,57.3,62.0,57.2,59.95,59.9,56.9,30823664,1848542909.0,54191
Indian Overseas Bank,INE565A01014,2000-12-07,EQ,IOB,2024-03-27,58.8,59.2,56.55,56.9,57.3,58.4,12602710,730136902.5,30798
Indian Overseas Bank,INE565A01014,2000-12-07,EQ,IOB,2024-03-26,59.5,60.2,58.3,58.4,58.6,59.55,9385687,551793200.9,26020
Indian Overseas Bank,INE565A01014,2000-12-07,EQ,IOB,2024-03-22,58.45,60.75,58.05,59.55,59.5,58.5,11844603,705456999.05,27529
Indian Overseas Bank,INE565A01014,2000-12-07,EQ,IOB,2024-03-21,58.95,59.65,58.05,58.5,58.3,57.25,10879764,640254338.75,27225
Indian Overseas Bank,INE565A01014,2000-12-07,EQ,IOB,2024-03-20,59.6,59.6,56.75,57.25,57.15,57.75,11194066,644463168.25,30061
Indian Overseas Bank,INE565A01014,2000-12-07,EQ,IOB,2024-03-19,59.7,60.7,57.5,57.75,57.8,59.0,11926832,700676706.2,31639
Indian Overseas Bank,INE565A01014,2000-12-07,EQ,IOB,2024-03-18,60.1,61.0,58.65,59.0,58.9,60.1,8414732,502085576.35,26852
Indian Overseas Bank,INE565A01014,2000-12-07,EQ,IOB,2024-03-15,61.0,62.85,58.45,60.1,60.25,61.05,14183286,852091086.2,37418
Indian Overseas Bank,INE565A01014,2000-12-07,EQ,IOB,2024-03-14,56.5,62.05,55.05,61.05,61.0,56.55,19997056,1192612840.85,55964
Indian Overseas Bank,INE565A01014,2000-12-07,EQ,IOB,2024-03-13,61.75,62.95,56.0,56.55,56.55,61.75,22189964,1291954216.9,74388
Indian Overseas Bank,INE565A01014,2000-12-07,EQ,IOB,2024-03-12,63.95,63.95,61.2,61.75,61.75,63.75,11399935,709435699.6,40245
Indian Overseas Bank,INE565A01014,2000-12-07,EQ,IOB,2024-03-11,66.05,66.2,63.5,63.75,63.9,66.05,12392086,797393520.05,40459
Indian Overseas Bank,INE565A01014,2000-12-07,EQ,IOB,2024-03-07,66.15,67.65,65.7,66.05,66.05,65.7,12611496,837413645.35,33756
Indian Overseas Bank,INE565A01014,2000-12-07,EQ,IOB,2024-03-06,69.25,70.3,65.3,65.7,65.9,69.25,32020467,2151165294.55,74443
Indian Overseas Bank,INE565A01014,2000-12-07,EQ,IOB,2024-03-05,63.6,69.45,62.55,69.25,69.45,63.15,52434387,3506782262.15,99033
Indian Overseas Bank,INE565A01014,2000-12-07,EQ,IOB,2024-03-04,64.85,65.05,63.0,63.15,63.05,64.4,7824214,498020035.55,29678
Indian Overseas Bank,INE565A01014,2000-12-07,EQ,IOB,2024-03-02,64.8,64.9,63.8,64.4,64.6,64.6,1328600,85715012.4,8090
Indian Overseas Bank,INE565A01014,2000-12-07,EQ,IOB,2024-03-01,65.0,65.75,64.1,64.6,64.65,64.65,12306519,798010350.95,34324
Indian Overseas Bank,INE565A01014,2000-12-07,EQ,IOB,2024-02-29,63.0,65.15,62.2,64.65,64.75,63.2,16603392,1058617824.25,43020
Indian Overseas Bank,INE565A01014,2000-12-07,EQ,IOB,2024-02-28,64.5,65.6,62.05,63.2,63.15,64.5,13361400,849269213.2,42927
Indian Overseas Bank,INE565A01014,2000-12-07,EQ,IOB,2024-02-27,66.25,66.7,63.8,64.5,64.7,66.3,13566526,885130024.55,43703
