StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-03-28,59.45,60.0,58.1,58.55,58.75,58.9,10126639,596353614.05,27429
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-03-27,58.55,59.95,58.4,58.9,58.85,58.3,17913769,1060941694.35,39021
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-03-26,59.6,59.9,57.8,58.3,58.35,59.4,9747610,571984641.8,34700
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-03-22,59.85,60.2,58.45,59.4,59.8,58.9,21976043,1303369432.25,49287
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-03-21,54.9,59.3,54.85,58.9,59.15,53.95,41411701,2417582209.4,82526
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-03-20,54.5,55.5,53.15,53.95,53.95,54.1,11503320,622445084.65,34397
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-03-19,55.4,56.0,53.85,54.1,54.2,55.1,11004826,602097220.8,40276
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-03-18,57.7,57.9,54.4,55.1,55.2,57.3,18875893,1044790745.45,76100
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-03-15,56.0,60.2,55.0,57.3,57.25,56.0,36564735,2109168686.8,97628
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-03-14,50.0,56.0,49.4,56.0,56.0,50.95,22659199,1222306546.0,57978
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-03-13,56.55,58.15,50.9,50.95,50.9,56.55,32853939,1743484815.9,114476
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-03-12,59.3,59.6,55.65,56.55,56.7,59.2,18801756,1068035956.95,68115
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-03-11,61.5,61.6,58.85,59.2,59.25,61.3,10811086,646663104.8,56858
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-03-07,63.1,63.8,61.1,61.3,61.35,60.75,12180543,755240200.4,43930
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-03-06,61.9,61.95,59.05,60.75,60.85,62.0,14619538,881812569.35,59174
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-03-05,62.65,63.1,61.7,62.0,62.1,62.65,7518960,467696771.4,34223
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-03-04,64.8,64.9,62.5,62.65,62.75,64.35,10189006,641755980.45,48902
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-03-02,63.95,64.85,63.9,64.35,64.5,63.9,1320385,85006708.4,14051
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-03-01,63.5,65.75,63.5,63.9,63.9,62.85,11785960,759499526.2,37854
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-02-29,63.0,64.0,62.1,62.85,63.25,63.85,17545354,1106402862.85,54822
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-02-28,66.5,66.5,62.75,63.85,63.8,66.15,15401272,986925372.6,57901
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-02-27,67.3,68.15,65.7,66.15,66.15,67.1,16748936,1119185429.55,43106
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-02-26,66.85,69.3,65.95,67.1,67.1,66.55,23600950,1601552086.2,63195
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-02-23,67.5,67.75,66.3,66.55,66.6,67.15,12155205,812783196.95,39981
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-02-22,66.1,67.5,63.45,67.15,67.1,65.6,14367255,945292544.85,46571
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-02-21,66.1,67.9,65.0,65.6,66.0,65.85,12325814,819049197.4,52023
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-02-20,66.7,66.75,65.2,65.85,65.85,66.5,6145605,404516107.3,37372
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-02-19,67.5,67.95,66.3,66.5,66.4,67.1,7905253,528759562.75,50442
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-02-16,66.55,68.1,65.8,67.1,67.05,66.05,14907399,1001457772.55,56245
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-02-15,67.4,68.35,64.35,66.05,65.9,66.65,21938423,1463814485.7,83270
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-02-14,59.75,66.65,58.55,66.65,66.65,60.6,27709690,1781545000.45,107484
IRB Infrastructure Developers Limited,INE821I01022,2008-02-25,EQ,IRB,2024-02-13,60.45,61.7,55.9,60.6,60.55,61.6,25839432,1526776438.55,121989
