StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-03-28,224.45,224.95,213.5,219.65,218.45,222.5,8713396,1934213132.05,64884
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-03-27,227.2,228.45,221.05,222.5,222.5,225.45,7884385,1775125484.2,60517
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-03-26,220.0,228.0,217.1,225.45,224.9,219.15,17124450,3851616082.35,100431
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-03-22,217.65,223.45,215.0,219.15,218.6,216.05,9343177,2053741800.25,54921
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-03-21,213.8,218.4,213.55,216.05,216.6,210.3,7383003,1594284771.95,50224
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-03-20,216.0,218.2,209.0,210.3,209.95,214.8,8499949,1807052409.65,69539
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-03-19,215.85,217.7,212.85,214.8,214.9,216.6,6829204,1470013600.65,67085
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-03-18,222.0,223.6,215.45,216.6,216.1,216.8,13841785,3022668228.65,107909
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-03-15,206.9,219.1,200.15,216.8,218.0,208.5,31159107,6578331916.5,178349
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-03-14,179.1,213.65,175.25,208.5,207.8,185.2,38700567,7745283955.25,246304
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-03-13,207.1,210.9,181.1,185.2,184.6,207.55,22208557,4272431206.3,229466
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-03-12,219.0,219.0,206.1,207.55,207.05,218.95,10444317,2192533551.95,108668
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-03-11,224.55,227.3,217.15,218.95,217.5,223.6,6589765,1457000257.35,80862
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-03-07,220.0,226.9,219.75,223.6,223.4,219.65,6066197,1357727939.9,51586
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-03-06,224.4,224.45,217.05,219.65,219.9,224.4,6411612,1409596657.6,70399
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-03-05,224.5,230.25,222.4,224.4,224.1,225.3,5239299,1182849947.1,50449
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-03-04,229.4,229.45,224.35,225.3,225.45,228.5,4448322,1004625509.05,47726
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-03-02,228.15,229.9,226.0,228.5,227.9,227.5,1044873,238010710.5,10870
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-03-01,230.2,231.45,226.6,227.5,227.0,229.15,4532997,1036398584.4,47957
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-02-29,223.0,230.35,217.6,229.15,229.5,223.5,13726893,3078571027.65,108904
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-02-28,232.85,233.4,217.85,223.5,223.0,231.55,12201435,2752882652.8,93700
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-02-27,233.0,238.65,230.55,231.55,231.0,231.9,16544325,3890044625.6,101757
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-02-26,230.7,237.45,228.05,231.9,232.2,228.75,15858772,3707573027.55,102512
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-02-23,227.55,234.45,227.35,228.75,228.25,225.7,10815089,2497578710.55,73774
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-02-22,229.0,230.4,220.15,225.7,225.5,227.95,9939240,2229706716.25,85206
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-02-21,231.05,233.45,225.5,227.95,228.6,230.55,10790142,2480237774.85,73365
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-02-20,232.4,233.25,227.8,230.55,230.25,231.35,9532010,2194567602.7,79714
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-02-19,226.75,240.2,226.25,231.35,231.5,225.7,24436698,5727986724.9,163532
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-02-16,232.4,232.4,223.5,225.7,225.75,231.9,12932855,2931252537.85,120388
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-02-15,223.4,234.0,222.1,231.9,231.4,222.65,19833844,4523857233.85,135626
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-02-14,207.4,224.35,203.4,222.65,222.8,210.9,22356740,4834771253.3,160665
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-02-13,196.75,213.45,191.8,210.9,212.0,194.25,40733195,8403999131.65,307650
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-02-12,223.0,224.6,190.35,194.25,196.8,222.35,29233268,6011698194.45,268750
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-02-09,232.0,234.9,216.8,222.35,223.2,228.55,19748341,4450238500.0,173183
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-02-08,231.25,235.7,227.55,228.55,228.7,230.05,10958886,2525287952.95,86802
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-02-07,233.9,235.4,227.65,230.05,229.85,231.8,10611193,2455297131.45,82820
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-02-06,223.6,234.9,214.75,231.8,232.4,223.6,23406595,5301530929.8,178996
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-02-05,233.55,233.7,222.0,223.6,224.0,232.5,16336679,3716084713.75,153358
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-02-02,231.1,239.45,226.55,232.5,232.25,228.6,26433112,6167234998.05,193235
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-02-01,239.75,245.1,227.0,228.6,228.6,237.35,43609906,10279335739.25,301653
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-01-31,235.8,241.5,229.55,237.35,238.4,234.7,31089532,7318245914.5,202016
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-01-30,245.7,248.0,227.2,234.7,235.35,244.2,32498855,7707150038.7,223891
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-01-29,251.05,254.7,242.5,244.2,244.0,247.25,24473592,6047727174.95,213075
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-01-25,243.55,252.3,241.35,247.25,246.75,241.25,39965524,9913580032.9,299478
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-01-24,232.3,247.0,215.15,241.25,240.95,229.65,62497168,14738113278.25,491144
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-01-23,275.05,280.85,225.0,229.65,230.5,267.1,116933725,28677677634.0,839730
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-01-20,231.0,271.0,225.8,267.1,265.0,227.8,151475224,38723431672.35,843076
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-01-19,204.7,230.85,204.65,227.8,227.7,204.05,104577928,23069799189.7,438459
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-01-18,209.5,211.7,192.95,204.05,203.45,208.35,34552809,6991086919.4,207067
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-01-17,202.9,212.95,199.9,208.35,209.0,205.35,42531427,8851295579.95,202613
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-01-16,204.2,212.0,201.5,205.35,205.95,202.45,46823798,9694515869.0,231967
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-01-15,196.45,209.7,195.55,202.45,202.7,195.05,65424970,13364416589.35,275264
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-01-12,195.7,199.4,193.3,195.05,194.55,194.75,16351033,3206262768.6,79448
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-01-11,195.05,198.9,193.25,194.75,194.15,192.85,31303764,6135783257.75,147609
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-01-10,181.4,196.0,178.8,192.85,194.4,181.4,46481232,8761091395.25,178169
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-01-09,180.7,185.4,179.4,181.4,180.95,179.5,14322902,2613034074.35,64620
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-01-08,185.0,185.0,178.9,179.5,179.45,184.15,12952130,2350775521.95,74599
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-01-05,186.5,187.65,181.1,184.15,184.3,185.9,11878159,2194747835.9,71594
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-01-04,188.9,190.85,184.25,185.9,186.15,187.1,24310822,4542700126.15,115914
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-01-03,175.0,189.7,172.75,187.1,186.3,174.3,86311747,15835030874.05,314485
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-01-02,175.75,177.7,169.8,174.3,174.6,174.55,13412685,2337116887.45,74915
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2024-01-01,172.2,176.0,171.8,174.55,175.25,171.4,17625826,3070369859.0,77305
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2023-12-29,169.9,173.9,167.75,171.4,171.4,169.2,19662037,3365186665.25,90065
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2023-12-28,170.0,172.0,168.3,169.2,168.9,169.0,8792706,1492730290.5,51983
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2023-12-27,172.05,174.6,166.9,169.0,169.25,171.2,12189508,2079056205.1,68388
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2023-12-26,167.2,173.0,165.7,171.2,170.95,166.6,16634258,2844491804.7,87680
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2023-12-22,168.75,168.75,164.15,166.6,166.5,167.35,9733098,1621998695.2,57119
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2023-12-21,160.4,168.1,158.5,167.35,167.9,162.9,21792204,3593519268.65,113645
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2023-12-20,177.95,178.85,161.8,162.9,162.7,176.8,24277033,4112272025.2,153193
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2023-12-19,180.0,181.6,175.65,176.8,176.7,177.95,29600983,5283592329.85,122631
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2023-12-18,172.0,178.45,170.0,177.95,178.0,171.9,32043566,5636670616.6,126366
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2023-12-15,175.0,178.0,171.2,171.9,172.2,172.05,33039339,5770802032.25,131710
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2023-12-14,162.4,174.6,161.55,172.05,172.5,160.85,75338400,12790417343.25,267910
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2023-12-13,163.0,163.5,159.85,160.85,160.95,162.2,12564911,2028554065.4,70698
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2023-12-12,164.35,165.8,161.25,162.2,162.6,163.3,17090343,2794561800.3,74193
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2023-12-11,161.0,164.45,160.8,163.3,163.3,160.65,30678187,4999756382.1,105182
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2023-12-08,161.5,163.4,159.25,160.65,160.8,160.75,44169658,7134362512.5,126171
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2023-12-07,158.0,162.95,157.55,160.75,161.15,171.95,68646756,10988637367.0,191958
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2023-12-06,173.95,174.0,170.3,171.95,171.65,173.3,8154032,1403474141.45,46958
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2023-12-05,176.5,176.75,171.15,173.3,173.0,175.9,7859210,1365936258.15,48820
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2023-12-04,179.0,180.0,172.8,175.9,175.85,170.3,19800086,3489269152.9,91871
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2023-12-01,167.5,176.75,167.5,170.3,169.6,165.6,24730969,4265097758.5,128161
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2023-11-30,166.5,169.0,159.55,165.6,168.0,166.2,13976866,2293209046.5,63380
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2023-11-29,169.0,170.2,165.4,166.2,165.75,168.05,7597633,1273354052.3,46463
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2023-11-28,166.95,172.0,165.3,168.05,168.1,166.0,19504151,3307929274.8,86141
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2023-11-24,166.0,168.6,164.15,166.0,165.6,165.5,9842059,1637695654.75,50537
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2023-11-23,166.7,168.9,164.65,165.5,165.35,166.25,9408911,1562895993.1,42263
Ircon International Limited,INE962Y01021,2018-09-28,EQ,IRCON,2023-11-22,166.4,168.6,161.5,166.25,165.9,165.65,11174470,1848422937.8,56153
