StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Indian Railway Catering And Tourism Corporation Limited,INE335Y01020,2019-10-14,EQ,IRCTC,2024-03-28,933.4,939.4,925.0,929.7,930.0,929.95,1729773,1613837277.35,50744
Indian Railway Catering And Tourism Corporation Limited,INE335Y01020,2019-10-14,EQ,IRCTC,2024-03-27,930.95,940.2,926.4,929.95,930.0,928.75,1511283,1406730956.5,43502
Indian Railway Catering And Tourism Corporation Limited,INE335Y01020,2019-10-14,EQ,IRCTC,2024-03-26,928.7,936.75,920.15,928.75,928.5,928.7,1707716,1588736480.5,50560
Indian Railway Catering And Tourism Corporation Limited,INE335Y01020,2019-10-14,EQ,IRCTC,2024-03-22,938.9,940.9,926.5,928.7,929.5,934.75,1554947,1451241027.35,50792
Indian Railway Catering And Tourism Corporation Limited,INE335Y01020,2019-10-14,EQ,IRCTC,2024-03-21,913.0,943.9,910.2,934.75,933.0,901.9,3688075,3433732729.5,100109
Indian Railway Catering And Tourism Corporation Limited,INE335Y01020,2019-10-14,EQ,IRCTC,2024-03-20,906.0,916.5,882.8,901.9,900.0,906.4,1978201,1779080132.6,55555
Indian Railway Catering And Tourism Corporation Limited,INE335Y01020,2019-10-14,EQ,IRCTC,2024-03-19,918.9,918.9,900.0,906.4,904.1,918.9,1737458,1576974592.3,51285
Indian Railway Catering And Tourism Corporation Limited,INE335Y01020,2019-10-14,EQ,IRCTC,2024-03-18,912.5,922.95,904.0,918.9,918.0,912.5,1605008,1468913493.1,52389
Indian Railway Catering And Tourism Corporation Limited,INE335Y01020,2019-10-14,EQ,IRCTC,2024-03-15,899.0,916.15,877.05,912.5,910.3,898.75,3393550,3054430183.75,84366
Indian Railway Catering And Tourism Corporation Limited,INE335Y01020,2019-10-14,EQ,IRCTC,2024-03-14,875.05,905.35,862.75,898.75,899.0,880.65,2731461,2437156081.8,87318
Indian Railway Catering And Tourism Corporation Limited,INE335Y01020,2019-10-14,EQ,IRCTC,2024-03-13,925.15,931.5,869.0,880.65,881.0,920.95,4244094,3802454628.7,146434
Indian Railway Catering And Tourism Corporation Limited,INE335Y01020,2019-10-14,EQ,IRCTC,2024-03-12,939.0,941.4,915.5,920.95,921.65,938.6,1570749,1454159825.75,53233
