StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,EQ,IRFC,2024-03-28,144.95,147.8,141.3,142.35,143.1,142.85,50962525,7324088643.75,216084
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,N2,IRFC,2024-03-28,1123.25,1123.48,1105.0,1109.08,1109.0,1106.11,7002,7758755.17,43
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,N4,IRFC,2024-03-28,1098.5,1098.5,1092.5,1098.5,1098.5,1091.53,28,30752.0,4
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,,IRFC,2024-03-28,1149.0,1187.99,1132.55,1168.55,1163.0,1215.0,6110,7184695.08,92
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,NE,IRFC,2024-03-28,1209.99,1209.99,1161.0,1164.89,1161.0,1255.87,278,328217.12,5
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,NJ,IRFC,2024-03-28,1145.12,1146.01,1145.12,1146.01,1146.01,1149.37,111,127111.88,2
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,NO,IRFC,2024-03-28,1155.0,1157.0,1153.0,1157.0,1157.0,1157.99,1600,1848175.0,4
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,NN,IRFC,2024-03-28,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1,1060.0,1
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,NL,IRFC,2024-03-28,1000.1,1000.1,1000.1,1000.1,1000.1,1042.05,150,150015.0,1
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,NK,IRFC,2024-03-28,1210.0,1210.0,1205.0,1205.0,1205.0,1210.0,49,59130.0,2
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,EQ,IRFC,2024-03-27,147.5,150.95,141.6,142.85,143.8,145.7,89910843,13205370767.75,330676
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,N2,IRFC,2024-03-27,1110.0,1110.0,1105.5,1106.11,1106.11,1110.0,1024,1133853.0,8
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,,IRFC,2024-03-27,1208.19,1216.0,1208.19,1215.0,1215.0,1208.01,1025,1245944.4,10
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,NE,IRFC,2024-03-27,1256.0,1256.0,1255.85,1255.87,1255.87,1256.0,290,364223.04,6
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,NI,IRFC,2024-03-27,1056.1,1056.1,1056.1,1056.1,1056.1,1063.7,10,10561.0,1
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,NO,IRFC,2024-03-27,1152.31,1158.0,1152.31,1157.99,1158.0,1152.01,56,64807.92,3
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,NN,IRFC,2024-03-27,1060.0,1060.0,1060.0,1060.0,1060.0,1052.0,51,54060.0,2
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,NK,IRFC,2024-03-27,1208.0,1210.0,1208.0,1210.0,1210.0,1210.0,37,44748.0,3
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,NJ,IRFC,2024-03-27,1143.01,1149.9,1143.01,1149.37,1149.9,1143.01,13,14929.22,6
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,NO,IRFC,2024-03-26,1152.01,1152.01,1152.01,1152.01,1152.01,1158.0,175,201601.75,1
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,NN,IRFC,2024-03-26,1052.0,1052.0,1052.0,1052.0,1052.0,1065.99,2,2104.0,1
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,N2,IRFC,2024-03-26,1110.0,1110.0,1110.0,1110.0,1110.0,1119.88,500,555000.0,4
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,N4,IRFC,2024-03-26,1109.75,1109.75,1091.5,1091.53,1091.5,1109.75,1050,1146655.9,8
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,EQ,IRFC,2024-03-26,142.4,148.7,140.95,145.7,145.9,140.95,120887716,17664466848.8,433685
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,NM,IRFC,2024-03-26,1285.71,1285.71,1285.71,1285.71,1285.71,1355.9,1,1285.71,1
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,NK,IRFC,2024-03-26,1220.0,1220.0,1210.0,1210.0,1210.0,1200.55,2,2430.0,2
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,,IRFC,2024-03-26,1235.0,1240.3,1205.21,1208.01,1208.01,1220.0,1796,2179695.29,18
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,NE,IRFC,2024-03-26,1247.0,1257.0,1247.0,1256.0,1256.0,1246.72,1351,1690613.0,15
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,NJ,IRFC,2024-03-26,1145.0,1145.0,1142.0,1143.01,1143.01,1144.32,440,503023.4,6
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,NO,IRFC,2024-03-22,1158.0,1158.0,1158.0,1158.0,1158.0,1155.64,5,5790.0,1
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,N4,IRFC,2024-03-22,1074.0,1109.75,1074.0,1109.75,1109.75,1105.0,71,77679.9,8
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,NN,IRFC,2024-03-22,1045.0,1065.99,1030.1,1065.99,1065.99,1067.23,879,923952.28,11
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,,IRFC,2024-03-22,1246.0,1246.0,1220.0,1220.0,1220.0,1219.99,819,1013034.0,7
Indian Railway Finance Corporation Limited,INE053F01010,2021-01-29,NE,IRFC,2024-03-22,1225.0,1247.0,1225.0,1246.72,1246.72,1240.06,2510,3103488.75,18
