StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
The Jammu & Kashmir Bank Limited,INE168A01041,1998-07-22,EQ,J&KBANK,2024-03-28,132.5,136.0,132.0,134.2,134.25,131.3,3734690,500716157.4,21577
The Jammu & Kashmir Bank Limited,INE168A01041,1998-07-22,EQ,J&KBANK,2024-03-27,129.9,133.75,129.65,131.3,131.2,129.1,5540098,730024643.2,42488
The Jammu & Kashmir Bank Limited,INE168A01041,1998-07-22,EQ,J&KBANK,2024-03-26,130.95,132.55,128.55,129.1,129.2,130.6,2533265,329802451.0,13327
The Jammu & Kashmir Bank Limited,INE168A01041,1998-07-22,EQ,J&KBANK,2024-03-22,130.15,132.5,130.0,130.6,130.6,130.05,2335360,306702016.15,15603
The Jammu & Kashmir Bank Limited,INE168A01041,1998-07-22,EQ,J&KBANK,2024-03-21,132.0,133.9,129.3,130.05,130.65,133.25,5342871,702458663.0,31967
The Jammu & Kashmir Bank Limited,INE168A01041,1998-07-22,EQ,J&KBANK,2024-03-20,132.6,134.45,130.25,133.25,133.8,131.9,2086052,276990727.15,32076
The Jammu & Kashmir Bank Limited,INE168A01041,1998-07-22,EQ,J&KBANK,2024-03-19,131.7,132.9,130.0,131.9,132.0,131.8,1468317,193228922.25,29156
The Jammu & Kashmir Bank Limited,INE168A01041,1998-07-22,EQ,J&KBANK,2024-03-18,135.0,136.55,130.6,131.8,131.95,133.55,3171018,421720392.55,41505
The Jammu & Kashmir Bank Limited,INE168A01041,1998-07-22,EQ,J&KBANK,2024-03-15,128.5,138.35,123.3,133.55,138.0,128.5,17836584,2360502735.7,86054
The Jammu & Kashmir Bank Limited,INE168A01041,1998-07-22,EQ,J&KBANK,2024-03-14,118.9,130.0,116.15,128.5,128.5,120.1,4963228,626585442.8,43739
The Jammu & Kashmir Bank Limited,INE168A01041,1998-07-22,EQ,J&KBANK,2024-03-13,130.9,131.8,118.15,120.1,121.0,129.55,7173406,884568159.95,75827
The Jammu & Kashmir Bank Limited,INE168A01041,1998-07-22,EQ,J&KBANK,2024-03-12,138.65,139.8,128.1,129.55,130.2,138.45,6119054,810177041.1,59004
The Jammu & Kashmir Bank Limited,INE168A01041,1998-07-22,EQ,J&KBANK,2024-03-11,143.05,144.5,136.5,138.45,138.1,140.65,3812837,530680532.55,41267
The Jammu & Kashmir Bank Limited,INE168A01041,1998-07-22,EQ,J&KBANK,2024-03-07,139.05,143.4,139.05,140.65,140.3,137.85,3514998,495583362.3,32106
The Jammu & Kashmir Bank Limited,INE168A01041,1998-07-22,EQ,J&KBANK,2024-03-06,147.5,148.2,137.05,137.85,137.95,146.95,6943735,976294737.9,72768
The Jammu & Kashmir Bank Limited,INE168A01041,1998-07-22,EQ,J&KBANK,2024-03-05,143.9,147.55,142.35,146.95,147.0,143.35,3202806,466861140.25,29989
The Jammu & Kashmir Bank Limited,INE168A01041,1998-07-22,EQ,J&KBANK,2024-03-04,143.9,149.7,140.2,143.35,144.0,143.0,5271832,767330290.55,48869
The Jammu & Kashmir Bank Limited,INE168A01041,1998-07-22,EQ,J&KBANK,2024-03-02,144.6,145.0,142.5,143.0,143.5,144.05,215891,30960951.4,2328
The Jammu & Kashmir Bank Limited,INE168A01041,1998-07-22,EQ,J&KBANK,2024-03-01,144.0,144.9,141.9,144.05,143.8,143.15,2831044,406797912.05,22087
The Jammu & Kashmir Bank Limited,INE168A01041,1998-07-22,EQ,J&KBANK,2024-02-29,138.9,143.7,137.0,143.15,142.75,137.55,6081590,862884164.2,41879
The Jammu & Kashmir Bank Limited,INE168A01041,1998-07-22,EQ,J&KBANK,2024-02-28,142.35,143.4,136.1,137.55,137.65,141.65,3201279,443656608.6,43259
The Jammu & Kashmir Bank Limited,INE168A01041,1998-07-22,EQ,J&KBANK,2024-02-27,141.2,142.6,140.1,141.65,141.6,140.5,2372274,335612021.95,24319
The Jammu & Kashmir Bank Limited,INE168A01041,1998-07-22,EQ,J&KBANK,2024-02-26,143.8,145.0,140.0,140.5,140.65,143.35,2672969,379759005.05,27637
The Jammu & Kashmir Bank Limited,INE168A01041,1998-07-22,EQ,J&KBANK,2024-02-23,144.9,149.3,141.2,143.35,144.15,145.35,5706299,832096600.85,43332
The Jammu & Kashmir Bank Limited,INE168A01041,1998-07-22,EQ,J&KBANK,2024-02-22,140.0,146.25,137.0,145.35,145.0,139.4,4072008,579871576.5,32362
The Jammu & Kashmir Bank Limited,INE168A01041,1998-07-22,EQ,J&KBANK,2024-02-21,143.3,145.2,138.4,139.4,139.35,142.65,2920678,413779395.4,26191
The Jammu & Kashmir Bank Limited,INE168A01041,1998-07-22,EQ,J&KBANK,2024-02-20,143.85,145.0,141.6,142.65,142.95,143.7,1848804,264716727.4,22649
The Jammu & Kashmir Bank Limited,INE168A01041,1998-07-22,EQ,J&KBANK,2024-02-19,143.85,147.7,142.9,143.7,144.25,143.7,3304629,480147697.6,30381
The Jammu & Kashmir Bank Limited,INE168A01041,1998-07-22,EQ,J&KBANK,2024-02-16,144.5,147.0,142.75,143.7,143.6,143.25,3961496,574074944.2,34507
The Jammu & Kashmir Bank Limited,INE168A01041,1998-07-22,EQ,J&KBANK,2024-02-15,139.4,144.3,139.35,143.25,143.35,138.15,4812886,685527209.8,45566
The Jammu & Kashmir Bank Limited,INE168A01041,1998-07-22,EQ,J&KBANK,2024-02-14,132.0,139.75,130.55,138.15,138.9,134.05,3164771,432049093.35,36371
