StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-03-28,950.0,970.0,913.0,931.25,928.4,928.2,119956,112076339.9,4412
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-03-27,903.0,949.45,872.0,928.2,949.45,904.25,213574,195287342.0,5342
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-03-26,915.0,920.05,870.0,904.25,904.0,896.0,133871,120845901.05,2973
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-03-22,835.0,911.7,826.05,896.0,911.7,868.3,202090,174069214.1,4796
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-03-21,925.5,944.75,863.0,868.3,870.0,907.9,248943,223438515.1,5036
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-03-20,916.0,980.0,906.55,907.9,920.0,954.25,253967,233956745.75,5575
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-03-19,954.25,954.25,954.25,954.25,954.25,1004.45,180381,172128569.25,2014
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-03-18,1006.05,1049.9,1004.45,1004.45,1004.45,1057.3,52519,53054127.3,1800
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-03-15,1125.0,1155.0,1051.7,1057.3,1051.7,1107.05,1061465,1145083807.3,10527
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-03-14,1003.55,1109.15,1003.55,1107.05,1109.15,1056.35,229607,242466146.0,6071
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-03-13,1091.0,1091.0,1056.35,1056.35,1056.35,1111.95,86008,91604601.95,2500
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-03-12,1149.0,1149.0,1111.95,1111.95,1111.95,1170.45,155429,173907662.75,8233
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-03-11,1227.1,1227.1,1157.25,1170.45,1160.05,1218.15,149151,174820189.1,7448
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-03-07,1189.9,1235.0,1180.0,1218.15,1218.8,1235.35,132858,161317900.05,6958
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-03-06,1269.75,1269.75,1219.0,1235.35,1229.9,1269.75,146050,180797669.55,9041
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-03-05,1293.0,1293.0,1245.0,1269.75,1272.0,1266.5,223608,284767086.7,6870
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-03-04,1247.6,1275.0,1199.05,1266.5,1255.15,1240.55,190599,234920035.9,6452
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-03-02,1285.0,1285.0,1215.5,1240.55,1240.0,1249.75,16185,20083616.5,530
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-03-01,1295.0,1314.0,1230.2,1249.75,1250.0,1282.55,121296,153533152.25,4079
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-02-29,1230.45,1300.0,1186.05,1282.55,1270.0,1248.45,424302,534610990.0,6026
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-02-28,1280.0,1299.0,1240.0,1248.45,1241.0,1273.5,159222,201519722.85,6913
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-02-27,1293.0,1293.0,1201.1,1273.5,1277.9,1254.25,190198,240015153.5,7044
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-02-26,1236.0,1254.25,1230.4,1254.25,1254.25,1194.55,176307,220671263.35,5120
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-02-23,1170.1,1194.55,1170.0,1194.55,1194.55,1137.7,85860,102131928.55,2407
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-02-22,1110.0,1139.85,1070.0,1137.7,1139.85,1085.6,231110,259458266.45,6895
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-02-21,1069.0,1105.0,1048.0,1085.6,1072.1,1058.2,215226,234124685.2,9111
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-02-20,1015.0,1058.2,1011.95,1058.2,1058.2,1007.85,148972,156807687.55,4127
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-02-19,979.9,1007.85,959.5,1007.85,1007.85,959.9,132576,133050446.1,4033
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-02-16,987.0,987.0,930.15,959.9,950.0,970.85,77148,73938544.45,2541
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-02-15,932.0,970.85,932.0,970.85,970.85,924.65,103395,99333972.05,2254
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-02-14,879.5,939.95,879.5,924.65,930.0,925.75,135736,122456677.65,4697
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-02-13,936.0,968.0,925.75,925.75,925.75,974.45,73039,67741303.8,2461
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-02-12,1031.0,1046.0,974.45,974.45,974.45,1025.7,75683,74347250.4,2719
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-02-09,1025.0,1065.0,971.2,1025.7,1035.0,1022.3,169221,168853736.45,4033
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-02-08,1044.6,1044.8,1000.1,1022.3,1010.0,1044.6,113652,115923082.65,5071
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-02-07,1050.0,1065.0,1022.0,1044.6,1053.0,1047.05,41588,43618835.15,2779
Jai Balaji Industries Limited,INE091G01018,2003-12-09,BE,JAIBALAJI,2024-02-06,1047.8,1067.45,1033.05,1047.05,1045.0,1029.65,93555,98236235.95,4288
