StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-03-28,1651.15,1694.7,1643.45,1650.4,1650.0,1642.9,147335,244072081.95,13326
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-03-27,1631.0,1660.0,1611.0,1642.9,1650.0,1616.0,239628,391910709.65,21881
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-03-26,1624.7,1640.0,1557.05,1616.0,1623.55,1624.7,165067,265666652.7,18836
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-03-22,1627.0,1636.0,1588.2,1624.7,1622.0,1619.2,75585,122650170.85,7380
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-03-21,1595.05,1625.0,1576.6,1619.2,1616.95,1587.1,169047,272313138.85,10163
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-03-20,1591.9,1591.9,1550.1,1587.1,1587.5,1584.9,180707,284092531.6,15670
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-03-19,1625.7,1625.7,1575.85,1584.9,1588.95,1611.0,191737,304493126.3,11117
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-03-18,1564.25,1625.0,1532.0,1611.0,1625.0,1550.05,148866,238796550.75,18373
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-03-15,1549.3,1567.9,1543.05,1550.05,1550.0,1549.3,74312,115377290.5,9047
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-03-14,1550.95,1555.0,1513.8,1549.3,1551.0,1551.55,82299,127305596.5,11899
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-03-13,1581.6,1586.85,1548.0,1551.55,1552.75,1583.3,160222,248833862.7,18351
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-03-12,1579.0,1588.95,1538.2,1583.3,1588.95,1574.4,301624,473333288.25,25348
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-03-11,1598.85,1598.85,1568.7,1574.4,1572.0,1588.0,66409,104989859.6,12549
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-03-07,1585.05,1598.95,1565.05,1588.0,1585.0,1587.15,43586,69083244.1,7953
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-03-06,1570.45,1598.9,1567.0,1587.15,1575.0,1568.75,183733,291016140.85,20620
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-03-05,1567.0,1580.0,1549.95,1568.75,1565.35,1567.45,83176,130118538.75,15016
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-03-04,1520.0,1579.45,1509.05,1567.45,1560.0,1539.9,134257,208144132.65,19480
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-03-02,1540.25,1559.0,1514.9,1539.9,1536.5,1531.4,7654,11787998.55,1386
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-03-01,1548.0,1591.85,1515.0,1531.4,1537.0,1561.85,112417,173605056.6,14667
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-02-29,1595.0,1595.0,1480.0,1561.85,1543.0,1600.2,923411,1420071176.5,83212
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-02-28,1643.8,1648.95,1584.0,1600.2,1595.0,1643.8,188054,301996652.0,12328
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-02-27,1650.0,1676.95,1635.0,1643.8,1640.7,1647.3,57405,94882577.95,9448
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-02-26,1631.0,1653.95,1608.6,1647.3,1649.0,1646.25,92616,151901569.9,10828
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-02-23,1656.85,1674.95,1626.55,1646.25,1645.0,1656.85,89909,148706927.05,8697
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-02-22,1680.0,1699.0,1647.0,1656.85,1652.0,1673.25,60171,100373678.0,11697
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-02-21,1664.65,1675.0,1658.1,1673.25,1672.0,1648.95,141062,235361326.9,8546
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-02-20,1654.95,1662.0,1629.95,1648.95,1645.8,1653.75,123190,203245199.85,12754
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-02-19,1656.0,1672.45,1643.35,1653.75,1649.8,1655.15,100626,166917890.3,6021
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-02-16,1664.95,1700.0,1632.6,1655.15,1649.7,1664.3,159345,267285286.65,32990
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-02-15,1680.0,1691.25,1654.0,1664.3,1655.0,1676.0,45132,75204139.7,9537
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-02-14,1665.0,1701.0,1655.0,1676.0,1675.05,1664.6,65058,109257218.8,11692
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-02-13,1696.0,1696.0,1651.55,1664.6,1660.0,1680.65,124610,207215193.0,32323
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-02-12,1725.75,1729.9,1672.0,1680.65,1677.1,1725.75,90320,152968753.65,15867
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-02-09,1754.05,1754.05,1695.05,1725.75,1720.0,1765.2,153180,264145359.1,20353
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-02-08,1780.0,1797.75,1748.0,1765.2,1757.0,1799.95,191133,339157662.95,26717
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-02-07,1747.0,1940.0,1712.0,1799.95,1783.35,1725.25,2167286,3995872553.05,175540
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-02-06,1718.9,1741.8,1692.55,1725.25,1708.45,1708.4,163384,280966444.7,20900
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-02-05,1687.05,1715.95,1687.05,1708.4,1710.0,1688.35,117851,200713682.9,13766
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-02-02,1684.95,1698.95,1659.35,1688.35,1696.0,1685.35,65040,109383224.1,11152
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-02-01,1663.05,1694.95,1663.05,1685.35,1690.0,1683.95,27674,46601656.15,4937
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-01-31,1651.1,1695.3,1631.1,1683.95,1676.65,1651.1,70895,119071436.25,10258
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-01-30,1694.0,1700.75,1635.0,1651.1,1645.0,1694.9,58827,98460348.35,9081
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-01-29,1703.95,1741.55,1673.0,1694.9,1689.3,1695.5,204542,349772171.15,15208
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-01-25,1694.35,1702.3,1660.0,1695.5,1694.0,1693.8,97074,162305697.65,8938
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-01-24,1666.4,1705.0,1658.25,1693.8,1687.25,1658.2,174394,295480050.5,16447
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-01-23,1617.2,1669.0,1616.2,1658.2,1645.55,1616.15,133259,220163336.15,23680
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-01-20,1627.4,1640.0,1600.05,1616.15,1614.7,1617.15,40367,65406956.9,5597
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-01-19,1604.4,1647.1,1602.9,1617.15,1619.95,1595.0,75105,121980117.05,13991
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-01-18,1657.7,1661.75,1551.3,1595.0,1602.0,1643.8,124953,203423928.65,11995
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-01-17,1648.5,1660.4,1631.55,1643.8,1647.85,1658.9,91568,150572286.75,7548
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-01-16,1670.0,1673.85,1633.5,1658.9,1659.85,1657.95,99833,165700844.15,10088
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-01-15,1700.0,1705.0,1652.05,1657.95,1653.55,1684.65,322607,539444023.05,14204
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-01-12,1675.75,1700.05,1660.05,1684.65,1690.0,1660.1,74770,125548280.7,7078
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-01-11,1680.0,1692.75,1648.0,1660.1,1664.6,1679.7,45734,76065456.0,7266
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-01-10,1705.0,1710.0,1670.0,1679.7,1683.0,1686.1,92824,156534419.3,15657
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-01-09,1670.0,1692.05,1642.05,1686.1,1680.0,1665.15,117351,197020819.75,17520
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-01-08,1678.75,1689.4,1650.1,1665.15,1668.0,1691.45,58963,97933979.5,9430
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-01-05,1649.8,1699.9,1638.85,1691.45,1682.05,1658.8,98406,164416088.35,14866
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-01-04,1710.0,1733.4,1591.6,1658.8,1642.3,1700.3,291371,494493656.05,28864
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-01-03,1640.0,1712.0,1630.0,1700.3,1702.95,1640.7,382894,643845919.6,32486
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-01-02,1620.0,1678.8,1611.85,1640.7,1628.1,1615.6,246969,406500032.45,27411
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2024-01-01,1625.0,1632.0,1605.0,1615.6,1616.0,1624.65,126077,204152893.8,17874
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2023-12-29,1610.0,1630.0,1591.75,1624.65,1619.85,1600.6,133763,216396978.3,17145
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2023-12-28,1630.0,1639.0,1591.55,1600.6,1614.0,1624.65,111176,179661575.25,16971
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2023-12-27,1622.0,1636.1,1615.55,1624.65,1616.55,1618.55,208041,338634555.35,18927
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2023-12-26,1630.0,1639.85,1589.6,1618.55,1612.0,1618.85,355920,572880639.45,34139
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2023-12-22,1494.0,1631.0,1492.0,1618.85,1620.0,1487.0,1959915,3112808583.2,105291
JB Chemicals & Pharmaceuticals Limited,INE572A01036,2003-04-29,EQ,JBCHEPHARM,2023-12-21,1452.1,1492.0,1435.0,1487.0,1488.6,1459.95,110023,162725616.2,17885
