StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-03-28,429.0,439.2,428.8,432.7,434.25,423.65,738359,320193882.6,18095
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-03-27,428.0,441.95,420.0,423.65,421.0,428.8,815063,351165192.35,25733
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-03-26,436.0,445.0,426.0,428.8,430.95,435.3,689762,300279608.75,23633
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-03-22,435.0,437.1,422.55,435.3,437.0,431.5,540493,233413541.1,17647
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-03-21,411.95,434.95,409.7,431.5,433.0,404.85,1377291,583756765.65,35784
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-03-20,413.35,418.4,398.2,404.85,406.6,409.75,569963,231736554.4,19967
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-03-19,418.0,424.8,408.0,409.75,409.0,417.05,606281,250714073.3,22062
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-03-18,433.0,441.7,413.4,417.05,416.5,435.45,1100640,461537359.75,44768
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-03-15,425.0,441.7,406.45,435.45,433.0,419.45,1262756,538063596.2,39869
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-03-14,390.0,425.25,382.0,419.45,419.35,391.05,1448253,597296703.35,52538
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-03-13,445.0,446.95,379.95,391.05,384.0,442.65,2409460,982402099.15,73046
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-03-12,452.95,457.85,435.35,442.65,444.4,449.95,1011449,449754600.1,34757
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-03-11,466.0,468.0,445.95,449.95,449.4,465.95,652231,297672778.85,28955
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-03-07,463.15,473.95,463.15,465.95,466.95,462.5,431159,201855713.45,16499
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-03-06,481.5,482.75,455.0,462.5,462.9,481.5,1018236,472579477.75,35010
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-03-05,486.8,491.7,477.5,481.5,483.0,486.9,575252,277193228.75,22953
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-03-04,495.75,496.4,477.5,486.9,484.5,493.35,652019,316025523.6,22410
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-03-02,494.0,497.8,490.0,493.35,495.8,489.8,108145,53526983.55,2767
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-03-01,487.5,493.75,480.95,489.8,489.0,476.95,654787,319955544.25,23296
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-02-29,491.75,491.75,467.25,476.95,477.0,488.8,1895894,899919354.1,53308
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-02-28,502.5,505.35,482.55,488.8,491.0,502.5,909557,446912832.1,23135
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-02-27,513.65,517.0,500.0,502.5,503.0,513.65,659688,334132327.1,26556
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-02-26,529.0,530.8,511.05,513.65,517.5,528.65,563370,291152069.5,16875
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-02-23,521.0,530.0,519.1,528.65,528.5,518.9,489431,257501958.7,20026
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-02-22,522.7,527.9,507.85,518.9,519.0,519.6,676547,350583173.65,24810
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-02-21,541.9,546.25,517.05,519.6,519.5,537.25,1020659,539897491.9,31297
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-02-20,543.0,558.45,528.7,537.25,537.1,525.2,1945471,1058211829.3,53360
Jindal Saw Limited,INE324A01024,2003-04-29,BL,JINDALSAW,2024-02-20,521.0,521.0,521.0,521.0,521.0,519.0,2350000,1224350000.0,4
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-02-19,506.0,534.4,506.0,525.2,525.5,502.05,1344677,703834515.35,40586
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-02-16,514.45,523.3,498.2,502.05,503.0,514.45,646628,329136783.6,23588
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-02-15,503.65,524.25,501.95,514.45,514.0,498.65,1107781,571458261.05,34356
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-02-14,487.8,503.15,474.55,498.65,500.95,486.7,698594,342645051.75,33135
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-02-13,495.05,501.95,462.7,486.7,490.75,495.05,923220,444630723.1,35403
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-02-12,537.7,539.9,486.15,495.05,494.25,533.4,1092753,555805167.95,51432
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-02-09,544.0,546.0,520.4,533.4,534.5,537.75,1054101,562366539.15,41037
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-02-08,516.7,550.0,515.0,537.75,536.5,514.2,3229212,1748160783.0,77505
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-02-07,510.75,518.7,510.3,514.2,513.1,508.35,593954,306109987.95,25552
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-02-06,494.45,514.0,492.5,508.35,511.0,495.1,883958,444170703.9,26925
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-02-05,495.25,506.0,487.05,495.1,490.5,495.25,846900,422630003.25,40319
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-02-02,514.0,516.95,492.2,495.25,497.0,512.6,950437,480134659.4,39614
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-02-01,524.2,525.6,507.0,512.6,509.95,521.8,849832,439390215.85,47030
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-01-31,522.05,524.8,513.2,521.8,522.0,522.05,832118,432827322.45,25326
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-01-30,523.9,530.0,517.85,522.05,521.15,518.7,831431,435695173.9,36874
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-01-29,516.4,526.9,510.3,518.7,520.5,513.8,1423829,739485457.2,57307
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-01-25,491.6,515.0,491.55,513.8,513.0,490.65,1511101,770483948.8,33298
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-01-24,476.95,497.25,471.0,490.65,491.95,475.55,1478543,717624440.3,45458
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-01-23,495.7,504.0,473.9,475.55,475.9,491.35,1557545,757193670.4,40020
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-01-20,509.0,512.5,483.5,491.35,491.0,507.65,949126,473649906.05,19835
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-01-19,515.0,523.9,500.55,507.65,505.65,505.9,1744257,895117871.4,37125
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-01-18,523.45,536.8,499.0,505.9,509.0,520.15,2896566,1496909988.05,58255
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-01-17,531.0,538.9,517.5,520.15,521.5,519.15,3956264,2089443441.65,66930
Jindal Saw Limited,INE324A01024,2003-04-29,BL,JINDALSAW,2024-01-17,519.0,519.0,519.0,519.0,519.0,429.1,1800000,934200000.0,4
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-01-16,518.0,529.9,498.2,519.15,516.45,515.0,5474848,2827757663.75,90435
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-01-15,491.45,516.8,491.4,515.0,514.0,488.65,2258990,1146382188.25,38251
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-01-12,492.6,497.8,484.5,488.65,488.4,489.85,1022698,502689801.55,27153
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-01-11,495.0,500.75,486.05,489.85,490.5,493.05,1202580,593367243.3,22852
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-01-10,483.0,495.0,480.35,493.05,493.0,478.9,1448138,709170906.5,26064
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-01-09,473.0,486.5,469.7,478.9,483.0,468.7,1617163,775816537.15,47932
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-01-08,450.5,471.0,450.45,468.7,468.9,449.6,1891654,877223700.55,38810
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-01-05,450.0,458.7,442.4,449.6,450.5,447.7,1332991,602848815.05,27890
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-01-04,451.0,457.05,445.0,447.7,446.2,450.4,1113201,502318963.0,25008
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-01-03,448.05,452.55,435.15,450.4,451.0,442.6,1623994,726515204.7,30970
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-01-02,426.0,446.0,426.0,442.6,445.0,422.15,3006645,1316897589.95,53743
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2024-01-01,412.05,425.65,404.0,422.15,423.7,412.05,1587727,657130656.7,44663
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2023-12-29,408.55,419.8,407.5,412.05,412.8,408.55,804824,332154278.5,20831
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2023-12-28,414.15,418.5,407.0,408.55,410.65,412.45,689375,283946184.8,19759
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2023-12-27,422.6,424.15,409.9,412.45,412.8,422.15,650252,270251133.4,20835
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2023-12-26,424.7,426.9,418.55,422.15,421.55,424.4,528946,223055269.2,19983
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2023-12-22,417.8,428.75,411.15,424.4,425.0,417.15,1185313,496140013.2,30545
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2023-12-21,407.55,424.2,405.0,417.15,417.5,414.1,941142,390708831.95,29980
Jindal Saw Limited,INE324A01024,2003-04-29,EQ,JINDALSAW,2023-12-20,442.0,448.8,405.95,414.1,414.0,438.55,1464764,627680170.2,39957
