StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Jindal Steel & Power Limited,INE749A01030,1999-12-29,EQ,JINDALSTEL,2024-03-28,836.05,854.0,836.0,849.15,851.15,833.1,1751216,1485131412.8,40364
Jindal Steel & Power Limited,INE749A01030,1999-12-29,EQ,JINDALSTEL,2024-03-27,841.0,843.9,826.95,833.1,831.0,837.2,1467887,1226435333.4,57871
Jindal Steel & Power Limited,INE749A01030,1999-12-29,EQ,JINDALSTEL,2024-03-26,842.9,867.7,835.25,837.2,840.0,832.9,3545906,3009832850.5,96847
Jindal Steel & Power Limited,INE749A01030,1999-12-29,EQ,JINDALSTEL,2024-03-22,818.95,835.8,813.4,832.9,834.5,821.55,2059744,1704704772.8,67210
Jindal Steel & Power Limited,INE749A01030,1999-12-29,EQ,JINDALSTEL,2024-03-21,798.1,823.4,778.1,821.55,819.6,782.35,3440279,2801771042.45,84261
Jindal Steel & Power Limited,INE749A01030,1999-12-29,EQ,JINDALSTEL,2024-03-20,798.9,803.4,774.95,782.35,785.0,794.25,1272564,998854639.8,42038
Jindal Steel & Power Limited,INE749A01030,1999-12-29,EQ,JINDALSTEL,2024-03-19,806.0,817.05,790.6,794.25,794.0,808.0,2528299,2026761671.4,76631
Jindal Steel & Power Limited,INE749A01030,1999-12-29,EQ,JINDALSTEL,2024-03-18,767.75,810.9,767.75,808.0,805.5,767.75,4040803,3221914221.8,127666
Jindal Steel & Power Limited,INE749A01030,1999-12-29,EQ,JINDALSTEL,2024-03-15,780.0,783.1,760.9,767.75,767.0,781.6,2415351,1856781157.3,57444
Jindal Steel & Power Limited,INE749A01030,1999-12-29,EQ,JINDALSTEL,2024-03-14,764.95,784.9,756.5,781.6,781.65,764.2,2278644,1764846888.4,89212
Jindal Steel & Power Limited,INE749A01030,1999-12-29,EQ,JINDALSTEL,2024-03-13,807.5,814.7,760.2,764.2,764.2,807.15,2175250,1700097202.4,96582
Jindal Steel & Power Limited,INE749A01030,1999-12-29,EQ,JINDALSTEL,2024-03-12,827.75,832.9,800.65,807.15,808.4,827.75,1646471,1333962900.8,60024
Jindal Steel & Power Limited,INE749A01030,1999-12-29,EQ,JINDALSTEL,2024-03-11,845.0,845.0,823.6,827.75,825.5,839.0,1424721,1182965757.2,53942
Jindal Steel & Power Limited,INE749A01030,1999-12-29,EQ,JINDALSTEL,2024-03-07,833.0,851.0,832.2,839.0,839.25,830.15,2176087,1832838975.9,64431
Jindal Steel & Power Limited,INE749A01030,1999-12-29,EQ,JINDALSTEL,2024-03-06,826.7,833.95,801.4,830.15,831.0,824.45,2246235,1836352742.4,76821
Jindal Steel & Power Limited,INE749A01030,1999-12-29,EQ,JINDALSTEL,2024-03-05,839.45,840.55,822.0,824.45,826.9,839.45,1537610,1272308747.75,38124
Jindal Steel & Power Limited,INE749A01030,1999-12-29,EQ,JINDALSTEL,2024-03-04,837.85,849.5,826.0,839.45,840.6,838.5,2856051,2394304412.55,73550
Jindal Steel & Power Limited,INE749A01030,1999-12-29,EQ,JINDALSTEL,2024-03-02,825.1,844.85,823.6,838.5,836.9,822.85,477622,398491897.7,13475
Jindal Steel & Power Limited,INE749A01030,1999-12-29,EQ,JINDALSTEL,2024-03-01,780.5,825.0,775.45,822.85,822.0,776.25,5256259,4249773663.95,112055
Jindal Steel & Power Limited,INE749A01030,1999-12-29,EQ,JINDALSTEL,2024-02-29,758.05,779.6,755.95,776.25,776.0,755.25,2501678,1924997071.0,43250
Jindal Steel & Power Limited,INE749A01030,1999-12-29,EQ,JINDALSTEL,2024-02-28,778.05,781.4,752.85,755.25,757.0,776.1,973881,742140267.75,26729
Jindal Steel & Power Limited,INE749A01030,1999-12-29,EQ,JINDALSTEL,2024-02-27,774.4,785.0,768.8,776.1,775.0,771.3,1359840,1056859144.75,30837
Jindal Steel & Power Limited,INE749A01030,1999-12-29,EQ,JINDALSTEL,2024-02-26,787.1,787.35,768.0,771.3,771.1,786.55,1209173,939137224.05,25602
Jindal Steel & Power Limited,INE749A01030,1999-12-29,EQ,JINDALSTEL,2024-02-23,791.5,795.8,784.1,786.55,786.1,783.7,3093797,2442833748.45,49448
Jindal Steel & Power Limited,INE749A01030,1999-12-29,EQ,JINDALSTEL,2024-02-22,777.6,787.5,774.2,783.7,787.0,771.5,3526557,2754661777.45,58140
Jindal Steel & Power Limited,INE749A01030,1999-12-29,EQ,JINDALSTEL,2024-02-21,773.0,785.0,761.85,771.5,772.0,760.0,3824236,2961588116.9,106246
Jindal Steel & Power Limited,INE749A01030,1999-12-29,EQ,JINDALSTEL,2024-02-20,763.0,768.0,753.0,760.0,758.15,759.0,1719670,1307866569.45,50938
Jindal Steel & Power Limited,INE749A01030,1999-12-29,EQ,JINDALSTEL,2024-02-19,772.0,773.95,757.05,759.0,762.5,769.5,1242531,949964274.7,52600
Jindal Steel & Power Limited,INE749A01030,1999-12-29,EQ,JINDALSTEL,2024-02-16,769.0,779.6,766.15,769.5,766.15,765.2,1192225,921531913.0,50419
