StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-03-28,354.85,357.75,350.4,353.75,353.9,350.7,22677067,8018020021.65,166634
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-03-27,348.25,355.6,348.0,350.7,349.9,346.15,50090709,17611528617.25,276216
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-03-26,345.0,352.5,343.55,346.15,346.2,344.65,27168989,9426518514.25,207536
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-03-22,338.0,346.9,336.7,344.65,346.2,338.7,20548126,7053127023.75,148880
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-03-21,344.5,348.3,337.1,338.7,339.75,337.5,28731856,9856581053.45,216142
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-03-20,353.3,356.35,335.65,337.5,338.0,353.3,50983696,17465085201.2,374071
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-03-19,353.4,357.9,347.0,353.3,353.55,352.55,42007913,14855192864.3,275768
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-03-18,346.95,359.7,342.5,352.55,353.4,344.75,48365406,17158172716.45,375095
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-03-15,340.0,348.85,336.45,344.75,346.45,338.35,55087417,18944360731.7,368706
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-03-14,328.0,341.5,318.0,338.35,341.2,328.2,74698602,24829833817.15,719618
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-03-13,363.7,366.9,324.5,328.2,328.4,361.85,99102083,33751285101.7,855461
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-03-12,360.0,374.5,358.75,361.85,363.4,355.65,111054091,40822957783.75,774918
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-03-11,336.9,359.85,332.45,355.65,356.7,333.9,121739384,42609007934.85,751857
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-03-07,329.0,337.4,324.2,333.9,333.0,326.35,35988723,11929107764.75,276751
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-03-06,322.95,333.9,321.35,326.35,326.9,321.7,53717380,17595819712.65,407130
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-03-05,324.0,327.9,319.5,321.7,322.9,322.6,18301432,5923941155.0,159397
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-03-04,329.95,331.5,320.6,322.6,323.15,328.25,24183886,7837240835.0,241782
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-03-02,319.0,329.65,318.0,328.25,328.9,317.9,17148671,5599931636.85,112020
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-03-01,313.5,321.6,311.55,317.9,318.0,310.0,37623310,11918904889.05,275851
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-02-29,312.0,322.0,308.0,310.0,310.6,308.3,81356675,25527114474.55,486768
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-02-28,320.0,322.45,306.05,308.3,309.45,318.5,48176158,15026545807.3,427665
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-02-27,329.3,338.7,316.55,318.5,319.0,327.8,57002014,18633392790.5,520404
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-02-26,340.45,348.0,325.75,327.8,328.0,333.95,107359705,36029272085.35,768542
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-02-23,305.8,347.0,305.35,333.95,335.0,302.85,270077122,89315742779.7,1305409
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-02-22,291.7,305.3,291.1,302.85,303.85,290.1,75689296,22660156832.6,410986
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-02-21,284.0,294.5,283.2,290.1,289.65,281.7,64130106,18574523382.8,416397
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-02-20,274.2,289.3,273.6,281.7,281.8,274.0,55688591,15748168208.0,339444
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-02-19,273.25,277.1,271.9,274.0,274.05,271.9,18390283,5042874740.65,94897
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-02-16,275.3,276.75,271.0,271.9,271.3,274.05,14337059,3912343096.95,136682
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-02-15,275.0,279.0,273.0,274.05,274.05,273.0,19477720,5365634914.75,146953
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-02-14,269.9,275.0,268.55,273.0,272.45,272.75,21374190,5816719006.65,173404
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-02-13,270.45,275.4,263.7,272.75,272.75,271.45,31220101,8374745910.75,249785
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-02-12,276.1,281.1,267.7,271.45,272.9,273.0,47043875,12907184606.55,327409
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-02-09,264.4,276.3,258.4,273.0,274.0,262.8,51120889,13646113951.45,334750
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-02-08,270.0,270.4,261.95,262.8,263.7,268.5,21948925,5816397200.75,191228
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-02-07,273.45,275.7,267.4,268.5,269.0,270.95,30963705,8391253647.45,246417
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-02-06,285.7,285.7,266.05,270.95,270.2,289.1,86635613,23929786173.05,622597
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-02-05,256.35,295.7,255.7,289.1,292.4,253.8,211028604,59453506912.55,1040965
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-02-02,252.5,257.3,250.6,253.8,253.85,252.4,30218956,7663750992.05,169624
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-02-01,251.0,254.7,249.2,252.4,252.15,248.25,24323325,6143904160.4,165195
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-01-31,247.65,250.6,246.1,248.25,248.5,247.7,15183900,3768755692.6,132755
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-01-30,253.15,253.95,247.1,247.7,247.5,251.0,15292451,3833726041.75,120971
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-01-29,242.0,254.4,240.0,251.0,251.2,239.85,41148261,10236291090.65,263988
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-01-25,240.4,242.65,238.9,239.85,240.0,239.75,12352497,2968966661.75,118996
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-01-24,240.0,241.55,237.1,239.75,241.0,240.4,15276800,3652681989.25,172549
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-01-23,247.85,248.05,240.0,240.4,240.5,246.45,13184700,3200552531.05,141001
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-01-20,248.9,249.5,244.55,246.45,246.3,246.25,11652989,2872366583.75,109375
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-01-19,245.85,249.15,245.4,246.25,246.5,243.25,16563079,4097031874.7,157922
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-01-18,243.45,247.9,239.05,243.25,243.5,242.55,24804800,6046686804.75,173106
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-01-17,247.0,247.0,242.15,242.55,242.75,248.85,28318086,6920023192.25,265636
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-01-16,254.1,258.0,246.5,248.85,249.45,266.75,70456857,17787902342.5,494489
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-01-15,258.0,269.7,257.05,266.75,267.35,255.05,68617372,18132080778.2,425062
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-01-12,255.0,259.35,253.7,255.05,254.9,251.55,46763296,11985975315.65,263981
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-01-11,243.0,253.4,240.65,251.55,253.35,240.95,45792818,11358800230.15,324270
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-01-10,242.0,242.3,239.3,240.95,242.3,242.15,11798543,2837136845.4,150407
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-01-09,243.9,244.65,241.5,242.15,242.0,242.4,10689245,2595786350.2,119786
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-01-08,246.85,246.9,240.3,242.4,242.5,243.65,21118013,5128079835.35,150507
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-01-05,244.5,248.2,241.5,243.65,243.65,241.4,29722064,7281253220.95,222557
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-01-04,238.85,243.25,236.8,241.4,241.7,234.5,32808937,7881386060.45,215142
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-01-03,235.4,236.0,233.55,234.5,234.75,235.35,9864949,2312211675.55,105992
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-01-02,235.0,236.0,232.0,235.35,235.4,234.55,9216592,2158486896.9,91336
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2024-01-01,233.35,236.4,233.3,234.55,234.55,232.95,7919961,1862540423.65,65162
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2023-12-29,233.9,235.2,232.25,232.95,232.95,233.35,11614923,2711028654.65,113274
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2023-12-28,235.0,236.35,232.55,233.35,233.65,234.0,10533952,2463999207.8,103034
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2023-12-27,236.0,237.25,233.0,234.0,233.9,234.7,12430460,2920999366.35,134285
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2023-12-26,237.25,238.0,233.7,234.7,234.75,236.75,11865886,2788589666.2,113628
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2023-12-22,238.75,239.75,234.6,236.75,236.8,238.0,10871312,2581602405.0,123058
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2023-12-21,230.85,238.7,229.0,238.0,237.9,232.1,17015304,4014691330.6,136074
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2023-12-20,238.9,248.2,230.05,232.1,231.5,238.3,44628843,10734692047.5,397244
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2023-12-19,240.3,240.8,237.9,238.3,238.45,240.15,13053454,3125900357.25,98183
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2023-12-18,241.0,242.2,237.6,240.15,240.25,237.65,17001755,4087050335.55,108406
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2023-12-15,240.0,242.6,236.4,237.65,237.3,238.6,26225287,6262493359.15,153847
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2023-12-14,242.9,243.75,238.05,238.6,238.95,239.75,14352896,3454927298.7,202480
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2023-12-13,242.0,242.4,235.35,239.75,239.75,240.55,13774944,3287676721.45,166608
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2023-12-12,246.05,247.3,238.3,240.55,241.0,245.6,12749596,3092246249.05,140461
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2023-12-11,244.85,247.0,243.05,245.6,245.65,244.25,8875953,2178430489.25,87776
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2023-12-08,249.0,250.5,240.0,244.25,244.2,249.15,19056798,4666953825.05,190798
Jio Financial Services Limited,INE758E01017,2023-08-21,EQ,JIOFIN,2023-12-07,249.0,250.7,245.1,249.15,248.95,247.05,23000400,5722536527.1,167315
