StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
JK Paper Limited,INE789E01012,2005-06-16,EQ,JKPAPER,2024-03-28,323.35,329.35,321.75,322.45,323.0,320.35,1354049,439928707.35,22294
JK Paper Limited,INE789E01012,2005-06-16,EQ,JKPAPER,2024-03-27,325.0,326.45,319.1,320.35,321.35,324.25,1518562,490488372.65,26222
JK Paper Limited,INE789E01012,2005-06-16,EQ,JKPAPER,2024-03-26,329.95,329.95,322.1,324.25,324.25,328.15,970746,315215212.3,19707
JK Paper Limited,INE789E01012,2005-06-16,EQ,JKPAPER,2024-03-22,332.3,333.95,327.0,328.15,329.45,328.7,1367194,451039492.2,20473
JK Paper Limited,INE789E01012,2005-06-16,EQ,JKPAPER,2024-03-21,335.0,336.9,328.0,328.7,329.3,329.9,917230,303763899.25,17287
JK Paper Limited,INE789E01012,2005-06-16,EQ,JKPAPER,2024-03-20,338.4,343.2,326.95,329.9,329.15,337.1,926991,306639064.15,20433
JK Paper Limited,INE789E01012,2005-06-16,EQ,JKPAPER,2024-03-19,341.4,344.6,336.0,337.1,337.1,340.9,712574,242030664.6,16435
JK Paper Limited,INE789E01012,2005-06-16,EQ,JKPAPER,2024-03-18,341.95,348.9,337.2,340.9,340.4,341.05,696120,238002978.9,19838
JK Paper Limited,INE789E01012,2005-06-16,EQ,JKPAPER,2024-03-15,345.0,351.1,339.1,341.05,341.05,344.85,632084,216593390.9,16814
JK Paper Limited,INE789E01012,2005-06-16,EQ,JKPAPER,2024-03-14,341.6,351.95,339.1,344.85,347.2,342.05,539538,187648826.0,18642
JK Paper Limited,INE789E01012,2005-06-16,EQ,JKPAPER,2024-03-13,357.05,360.4,340.0,342.05,341.0,357.75,840811,293017569.9,34978
JK Paper Limited,INE789E01012,2005-06-16,EQ,JKPAPER,2024-03-12,364.95,368.25,355.5,357.75,356.15,364.85,485638,174991626.65,16873
JK Paper Limited,INE789E01012,2005-06-16,EQ,JKPAPER,2024-03-11,372.3,373.65,364.0,364.85,366.4,372.0,335393,123444535.6,12071
JK Paper Limited,INE789E01012,2005-06-16,EQ,JKPAPER,2024-03-07,377.9,377.9,371.2,372.0,372.0,374.75,326231,121766941.5,7295
JK Paper Limited,INE789E01012,2005-06-16,EQ,JKPAPER,2024-03-06,376.0,378.0,372.9,374.75,375.0,376.2,392911,147175960.25,10283
JK Paper Limited,INE789E01012,2005-06-16,EQ,JKPAPER,2024-03-05,372.95,377.75,370.8,376.2,375.15,373.55,505729,189362351.5,15704
