StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
JM Financial Limited,INE780C01023,2006-10-10,EQ,JMFINANCIL,2024-03-28,79.0,79.45,74.05,74.7,74.25,78.6,6241988,480792615.2,20891
JM Financial Limited,INE780C01023,2006-10-10,EQ,JMFINANCIL,2024-03-27,72.0,79.85,71.5,78.6,77.8,71.95,24820588,1906532764.4,50305
JM Financial Limited,INE780C01023,2006-10-10,EQ,JMFINANCIL,2024-03-26,72.0,72.85,71.0,71.95,72.2,74.1,7034378,505423828.25,19141
JM Financial Limited,INE780C01023,2006-10-10,EQ,JMFINANCIL,2024-03-22,74.2,75.75,73.8,74.1,74.0,73.8,6203990,461762095.8,11180
JM Financial Limited,INE780C01023,2006-10-10,EQ,JMFINANCIL,2024-03-21,73.5,74.85,73.25,73.8,73.6,72.15,2465501,182215927.25,8949
JM Financial Limited,INE780C01023,2006-10-10,EQ,JMFINANCIL,2024-03-20,75.0,75.0,71.5,72.15,72.4,74.2,4235030,307820391.8,17296
JM Financial Limited,INE780C01023,2006-10-10,EQ,JMFINANCIL,2024-03-19,76.95,77.15,73.85,74.2,74.45,76.9,3044766,228795897.25,11746
JM Financial Limited,INE780C01023,2006-10-10,EQ,JMFINANCIL,2024-03-18,76.0,77.45,75.0,76.9,76.6,75.6,3722135,283800088.25,15141
JM Financial Limited,INE780C01023,2006-10-10,EQ,JMFINANCIL,2024-03-15,76.05,78.4,73.75,75.6,76.0,76.75,4187643,315971459.4,14195
JM Financial Limited,INE780C01023,2006-10-10,EQ,JMFINANCIL,2024-03-14,73.0,78.1,71.75,76.75,76.7,73.2,4965976,376752824.1,17765
JM Financial Limited,INE780C01023,2006-10-10,EQ,JMFINANCIL,2024-03-13,79.5,80.45,71.75,73.2,72.8,79.25,7627932,580388472.65,26517
JM Financial Limited,INE780C01023,2006-10-10,EQ,JMFINANCIL,2024-03-12,79.4,81.5,77.4,79.25,79.35,79.3,11739043,934599940.75,29031
JM Financial Limited,INE780C01023,2006-10-10,EQ,JMFINANCIL,2024-03-11,81.5,82.0,78.7,79.3,79.35,87.95,18038451,1447644752.0,56572
JM Financial Limited,INE780C01023,2006-10-10,EQ,JMFINANCIL,2024-03-07,86.1,88.8,84.15,87.95,87.7,85.5,25404275,2211952578.0,61181
JM Financial Limited,INE780C01023,2006-10-10,EQ,JMFINANCIL,2024-03-06,78.95,87.15,76.4,85.5,85.5,95.45,88801484,7216865356.15,194711
JM Financial Limited,INE780C01023,2006-10-10,EQ,JMFINANCIL,2024-03-05,97.45,98.15,94.6,95.45,95.5,97.45,2844794,273723232.55,14098
JM Financial Limited,INE780C01023,2006-10-10,EQ,JMFINANCIL,2024-03-04,99.75,99.9,97.0,97.45,97.45,98.95,1224054,120347068.6,9134
JM Financial Limited,INE780C01023,2006-10-10,EQ,JMFINANCIL,2024-03-02,99.8,100.8,98.4,98.95,99.3,99.4,342040,34055989.75,2928
JM Financial Limited,INE780C01023,2006-10-10,EQ,JMFINANCIL,2024-03-01,96.9,100.7,96.9,99.4,99.25,96.3,3523113,348326116.2,19280
JM Financial Limited,INE780C01023,2006-10-10,EQ,JMFINANCIL,2024-02-29,97.1,97.35,94.5,96.3,97.3,96.85,3418298,328156585.65,15751
