StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-03-28,706.8,712.7,685.75,694.45,693.0,702.85,1192965,830000897.55,48635
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-03-27,715.0,715.75,699.0,702.85,700.5,709.7,996432,705087936.2,57784
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-03-26,695.0,717.85,690.75,709.7,707.7,693.05,2139681,1512063950.3,84698
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-03-22,680.2,695.0,678.0,693.05,692.95,680.7,1064038,731282786.1,23748
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-03-21,670.0,689.85,662.1,680.7,679.0,663.65,1376605,931543198.15,50131
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-03-20,669.9,672.0,648.15,663.65,666.05,667.4,1098545,726378728.7,56913
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-03-19,669.65,670.0,643.4,667.4,666.3,671.7,1932179,1268381829.3,72534
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-03-18,663.7,672.95,648.3,671.7,671.4,664.55,900857,596495970.6,45084
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-03-15,655.0,680.0,639.2,664.55,659.95,657.9,5161002,3421997903.4,89876
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-03-14,618.7,666.0,612.3,657.9,660.0,618.75,1323985,859727322.3,61123
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-03-13,656.8,656.8,601.55,618.75,616.0,658.25,2974280,1860894872.7,140433
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-03-12,678.35,687.9,641.35,658.25,658.2,688.3,2603383,1708663420.75,94934
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-03-11,691.75,707.5,678.8,688.3,683.0,691.75,1151264,795439906.0,62384
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-03-07,703.85,704.55,687.0,691.75,689.7,699.1,1758365,1224474470.1,52586
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-03-06,687.4,707.95,669.45,699.1,700.0,684.7,3387928,2315264166.5,117274
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-03-05,684.8,693.9,675.3,684.7,686.0,681.9,2376664,1621672844.3,79108
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-03-04,662.05,685.45,658.0,681.9,678.0,662.9,1991820,1346987521.75,75849
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-03-02,656.35,664.25,654.1,662.9,661.35,650.35,85414,56438308.45,2930
Jindal Stainless Limited,INE220G01021,2003-11-17,BL,JSL,2024-03-01,652.0,652.0,652.0,652.0,652.0,647.1,3075000,2004900000.0,1
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-03-01,655.9,662.9,647.0,650.35,653.0,640.55,877113,573622511.3,41697
Jindal Stainless Limited,INE220G01021,2003-11-17,BL,JSL,2024-02-29,647.1,647.1,647.1,647.1,647.1,640.0,3250000,2103075000.0,1
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-02-29,658.05,664.05,628.2,640.55,651.0,660.1,1553314,1002804029.85,53248
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-02-28,665.9,667.75,653.0,660.1,661.0,663.2,911248,600938772.55,37833
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-02-27,669.9,673.95,657.85,663.2,662.5,662.25,1478526,983823533.5,65264
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-02-26,636.15,669.4,636.15,662.25,664.0,642.8,1770691,1163359958.55,61346
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-02-23,642.35,646.35,639.9,642.8,642.0,642.35,747457,480976380.0,33680
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-02-22,638.0,654.0,635.75,642.35,641.05,637.9,2052775,1324139976.25,57539
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-02-21,648.0,649.0,631.1,637.9,638.0,642.85,3027198,1933430241.8,76234
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-02-20,635.8,651.85,631.25,642.85,644.0,635.8,2014831,1299151853.8,55283
Jindal Stainless Limited,INE220G01021,2003-11-17,BL,JSL,2024-02-20,640.0,640.0,640.0,640.0,640.0,575.35,1130000,723200000.0,1
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-02-19,633.95,639.0,622.0,635.8,635.7,631.25,1565189,988002238.4,72694
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-02-16,606.4,643.3,601.3,631.25,630.5,599.25,3648096,2308614072.0,85568
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-02-15,574.0,606.5,572.1,599.25,600.0,568.6,2339196,1389595223.6,94391
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-02-14,562.0,584.9,560.1,568.6,568.65,575.2,2459593,1410530364.9,88902
Jindal Stainless Limited,INE220G01021,2003-11-17,BL,JSL,2024-02-14,575.35,575.35,575.35,575.35,575.35,529.6,2900000,1668515000.0,1
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-02-13,564.0,595.4,527.1,575.2,591.0,590.25,7243293,4069760274.6,199957
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-02-12,616.25,619.8,581.7,590.25,591.15,607.35,2220595,1316960935.6,70370
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-02-09,627.0,634.0,596.55,607.35,605.8,627.65,1764826,1071824888.2,82607
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-02-08,631.25,634.95,614.3,627.65,627.0,628.95,1667942,1040231224.65,72236
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-02-07,624.8,639.0,612.45,628.95,626.6,616.1,3925907,2468798823.25,99172
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-02-06,606.6,638.0,603.0,616.1,615.0,606.6,2219382,1379134794.3,78924
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-02-05,605.6,626.4,593.75,606.6,606.4,596.55,3229617,1963803425.5,122419
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-02-02,572.6,610.0,568.55,596.55,600.0,564.6,4018844,2389027781.95,114600
Jindal Stainless Limited,INE220G01021,2003-11-17,EQ,JSL,2024-02-01,568.2,572.65,553.1,564.6,568.25,576.8,2175277,1219742757.15,99350
