StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
JSW Energy Limited,INE121E01018,2010-01-04,EQ,JSWENERGY,2024-03-28,524.95,533.5,521.6,528.9,527.05,516.65,4207650,2225204045.1,50061
JSW Energy Limited,INE121E01018,2010-01-04,EQ,JSWENERGY,2024-03-27,513.3,527.0,513.3,516.65,514.0,513.2,3169799,1653024311.0,55679
JSW Energy Limited,INE121E01018,2010-01-04,EQ,JSWENERGY,2024-03-26,520.95,528.7,509.45,513.2,512.0,515.45,2405945,1244715895.25,51450
JSW Energy Limited,INE121E01018,2010-01-04,EQ,JSWENERGY,2024-03-22,504.8,517.5,500.05,515.45,514.95,504.55,2676903,1366850825.15,33870
JSW Energy Limited,INE121E01018,2010-01-04,EQ,JSWENERGY,2024-03-21,494.5,507.0,492.8,504.55,504.85,489.15,2459438,1229998095.85,54480
JSW Energy Limited,INE121E01018,2010-01-04,EQ,JSWENERGY,2024-03-20,482.0,494.9,478.65,489.15,488.5,482.8,1667394,815266024.45,40573
JSW Energy Limited,INE121E01018,2010-01-04,EQ,JSWENERGY,2024-03-19,487.95,495.9,475.0,482.8,479.0,495.4,1848152,897366065.45,37591
JSW Energy Limited,INE121E01018,2010-01-04,EQ,JSWENERGY,2024-03-18,500.0,502.15,481.0,495.4,494.3,497.9,2663154,1309290979.35,54144
JSW Energy Limited,INE121E01018,2010-01-04,EQ,JSWENERGY,2024-03-15,481.0,499.5,472.55,497.9,492.55,476.85,5941930,2922869786.15,94205
JSW Energy Limited,INE121E01018,2010-01-04,EQ,JSWENERGY,2024-03-14,460.0,481.85,452.2,476.85,478.5,461.05,3198205,1501921082.5,69679
JSW Energy Limited,INE121E01018,2010-01-04,EQ,JSWENERGY,2024-03-13,507.8,507.8,460.0,461.05,463.7,509.3,5554982,2641974232.25,99501
JSW Energy Limited,INE121E01018,2010-01-04,EQ,JSWENERGY,2024-03-12,509.0,513.95,491.15,509.3,503.0,509.0,3644807,1830918986.95,57356
JSW Energy Limited,INE121E01018,2010-01-04,EQ,JSWENERGY,2024-03-11,516.0,516.8,501.55,509.0,506.25,515.25,1647238,835795469.25,38464
JSW Energy Limited,INE121E01018,2010-01-04,EQ,JSWENERGY,2024-03-07,514.0,527.0,510.75,515.25,512.05,512.05,1551197,801155165.95,40374
JSW Energy Limited,INE121E01018,2010-01-04,EQ,JSWENERGY,2024-03-06,512.7,516.4,494.25,512.05,514.0,509.5,3355263,1698673317.5,50703
JSW Energy Limited,INE121E01018,2010-01-04,EQ,JSWENERGY,2024-03-05,517.0,519.8,507.1,509.5,508.7,516.9,1265026,648284281.8,28063
JSW Energy Limited,INE121E01018,2010-01-04,EQ,JSWENERGY,2024-03-04,506.8,520.7,506.0,516.9,517.0,504.95,7041914,3630108904.8,91340
JSW Energy Limited,INE121E01018,2010-01-04,EQ,JSWENERGY,2024-03-02,506.5,508.0,503.05,504.95,505.0,503.65,139887,70699072.75,3194
JSW Energy Limited,INE121E01018,2010-01-04,EQ,JSWENERGY,2024-03-01,508.3,514.8,501.25,503.65,504.5,508.3,4229025,2141952567.7,81197
JSW Energy Limited,INE121E01018,2010-01-04,EQ,JSWENERGY,2024-02-29,507.0,511.8,490.2,508.3,510.05,507.6,6047978,3027378346.6,93518
JSW Energy Limited,INE121E01018,2010-01-04,EQ,JSWENERGY,2024-02-28,522.5,523.5,503.0,507.6,505.95,521.85,3249733,1656030429.8,56907
