StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
JSW Steel Limited,INE019A01038,2005-03-23,EQ,JSWSTEEL,2024-03-28,827.0,840.85,820.0,830.2,833.8,818.05,3722941,3092043937.85,116025
JSW Steel Limited,INE019A01038,2005-03-23,EQ,JSWSTEEL,2024-03-27,825.0,832.4,815.4,818.05,819.0,821.9,1884038,1549328552.5,65586
JSW Steel Limited,INE019A01038,2005-03-23,EQ,JSWSTEEL,2024-03-26,820.55,834.0,818.05,821.9,822.6,824.8,2454193,2020303171.0,66322
JSW Steel Limited,INE019A01038,2005-03-23,EQ,JSWSTEEL,2024-03-22,808.0,832.95,806.75,824.8,820.0,812.35,3983433,3282229363.55,171309
JSW Steel Limited,INE019A01038,2005-03-23,EQ,JSWSTEEL,2024-03-21,804.0,819.45,803.1,812.35,812.0,794.65,2783067,2258739637.05,91207
JSW Steel Limited,INE019A01038,2005-03-23,EQ,JSWSTEEL,2024-03-20,802.2,810.0,789.3,794.65,793.15,801.05,1538050,1223471911.15,90546
JSW Steel Limited,INE019A01038,2005-03-23,EQ,JSWSTEEL,2024-03-19,802.0,809.95,793.75,801.05,802.2,804.4,2192986,1758589199.5,85381
JSW Steel Limited,INE019A01038,2005-03-23,EQ,JSWSTEEL,2024-03-18,780.65,808.5,778.5,804.4,802.55,780.65,3561533,2847210694.5,126805
JSW Steel Limited,INE019A01038,2005-03-23,EQ,JSWSTEEL,2024-03-15,782.1,790.2,774.55,780.65,783.2,785.45,3992861,3123013698.05,152092
JSW Steel Limited,INE019A01038,2005-03-23,EQ,JSWSTEEL,2024-03-14,792.0,792.95,761.75,785.45,785.0,792.95,5262918,4101763096.75,182455
JSW Steel Limited,INE019A01038,2005-03-23,EQ,JSWSTEEL,2024-03-13,818.4,820.6,788.45,792.95,789.3,817.8,3047464,2446469493.6,106683
