StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Jubilant Foodworks Limited,INE797F01020,2010-02-08,EQ,JUBLFOOD,2024-03-28,455.0,458.4,447.35,448.85,447.35,454.85,4408231,1995870273.3,54703
Jubilant Foodworks Limited,INE797F01020,2010-02-08,EQ,JUBLFOOD,2024-03-27,468.8,468.8,454.15,454.85,454.8,465.8,1962827,900045950.5,31206
Jubilant Foodworks Limited,INE797F01020,2010-02-08,EQ,JUBLFOOD,2024-03-26,453.3,467.2,449.3,465.8,466.0,452.45,5125414,2357905169.3,51677
Jubilant Foodworks Limited,INE797F01020,2010-02-08,EQ,JUBLFOOD,2024-03-22,451.55,456.25,447.25,452.45,455.25,450.3,2726739,1231555823.6,41246
Jubilant Foodworks Limited,INE797F01020,2010-02-08,EQ,JUBLFOOD,2024-03-21,449.85,451.3,443.6,450.3,450.5,443.6,1328375,594582780.2,16766
Jubilant Foodworks Limited,INE797F01020,2010-02-08,EQ,JUBLFOOD,2024-03-20,444.6,450.5,440.8,443.6,443.7,445.9,1718057,765156328.1,45385
Jubilant Foodworks Limited,INE797F01020,2010-02-08,EQ,JUBLFOOD,2024-03-19,440.65,446.95,435.5,445.9,444.6,440.65,2277307,1006717892.2,49498
Jubilant Foodworks Limited,INE797F01020,2010-02-08,EQ,JUBLFOOD,2024-03-18,447.55,450.25,439.0,440.65,442.0,447.55,2890360,1278552181.85,83796
Jubilant Foodworks Limited,INE797F01020,2010-02-08,EQ,JUBLFOOD,2024-03-15,443.9,453.25,439.9,447.55,447.0,444.95,2280413,1021742963.7,55193
Jubilant Foodworks Limited,INE797F01020,2010-02-08,EQ,JUBLFOOD,2024-03-14,431.35,446.25,421.05,444.95,444.05,431.0,3712470,1628403575.65,81331
Jubilant Foodworks Limited,INE797F01020,2010-02-08,EQ,JUBLFOOD,2024-03-13,445.0,449.2,426.1,431.0,431.35,445.0,3472508,1508796923.65,64305
