StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
360 ONE WAM LIMITED,INE466L01038,2019-09-19,EQ,360ONE,2024-03-28,667.05,681.0,658.35,675.6,673.8,667.95,481500,322704359.75,30356
360 ONE WAM LIMITED,INE466L01038,2019-09-19,EQ,360ONE,2024-03-27,652.55,674.0,650.85,667.95,670.0,650.3,530619,350671789.05,24848
360 ONE WAM LIMITED,INE466L01038,2019-09-19,EQ,360ONE,2024-03-26,665.8,666.0,647.0,650.3,657.0,665.85,264980,173365631.45,18757
360 ONE WAM LIMITED,INE466L01038,2019-09-19,EQ,360ONE,2024-03-22,675.7,682.45,659.05,665.85,667.0,673.4,802243,536101199.1,18594
360 ONE WAM LIMITED,INE466L01038,2019-09-19,EQ,360ONE,2024-03-21,676.55,689.55,670.0,673.4,674.95,673.75,285163,194348661.7,13142
360 ONE WAM LIMITED,INE466L01038,2019-09-19,EQ,360ONE,2024-03-20,694.35,696.35,666.05,673.75,673.0,692.6,177154,120323301.7,17286
360 ONE WAM LIMITED,INE466L01038,2019-09-19,EQ,360ONE,2024-03-19,692.0,700.0,688.55,692.6,695.1,689.65,256540,177713882.05,15460
360 ONE WAM LIMITED,INE466L01038,2019-09-19,EQ,360ONE,2024-03-18,705.0,710.0,682.35,689.65,694.0,694.35,132046,91172389.1,17204
360 ONE WAM LIMITED,INE466L01038,2019-09-19,EQ,360ONE,2024-03-15,695.8,700.55,685.1,694.35,696.9,696.7,284769,196747739.15,12263
360 ONE WAM LIMITED,INE466L01038,2019-09-19,EQ,360ONE,2024-03-14,682.0,700.0,679.65,696.7,696.8,697.6,141794,97836665.15,13798
360 ONE WAM LIMITED,INE466L01038,2019-09-19,EQ,360ONE,2024-03-13,704.9,707.15,674.75,697.6,695.7,708.45,472495,326048616.9,39749
360 ONE WAM LIMITED,INE466L01038,2019-09-19,EQ,360ONE,2024-03-12,713.55,731.45,690.0,708.45,703.15,710.7,594950,417911747.45,54385
