StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Aavas Financiers Limited,INE216P01012,2018-10-08,EQ,AAVAS,2024-03-28,1324.9,1335.0,1307.0,1315.65,1313.0,1323.4,722342,951722075.95,38163
Aavas Financiers Limited,INE216P01012,2018-10-08,EQ,AAVAS,2024-03-27,1325.15,1331.8,1310.1,1323.4,1310.1,1325.15,399758,528985831.75,24520
Aavas Financiers Limited,INE216P01012,2018-10-08,EQ,AAVAS,2024-03-26,1341.1,1350.45,1319.0,1325.15,1325.1,1356.1,341297,453501910.4,30293
Aavas Financiers Limited,INE216P01012,2018-10-08,EQ,AAVAS,2024-03-22,1341.95,1363.7,1339.15,1356.1,1351.2,1349.2,258322,349298788.85,18195
Aavas Financiers Limited,INE216P01012,2018-10-08,EQ,AAVAS,2024-03-21,1375.0,1375.0,1345.05,1349.2,1349.5,1351.25,99603,134826082.2,9520
Aavas Financiers Limited,INE216P01012,2018-10-08,EQ,AAVAS,2024-03-20,1375.0,1375.0,1336.0,1351.25,1355.85,1371.0,161127,217459940.25,17431
Aavas Financiers Limited,INE216P01012,2018-10-08,EQ,AAVAS,2024-03-19,1378.05,1381.0,1360.0,1371.0,1365.0,1378.3,105561,145299020.85,9609
Aavas Financiers Limited,INE216P01012,2018-10-08,EQ,AAVAS,2024-03-18,1377.3,1381.5,1368.0,1378.3,1378.0,1364.45,156874,216231911.55,15293
Aavas Financiers Limited,INE216P01012,2018-10-08,EQ,AAVAS,2024-03-15,1360.1,1406.9,1350.0,1364.45,1370.0,1378.9,258800,359955211.25,24001
Aavas Financiers Limited,INE216P01012,2018-10-08,EQ,AAVAS,2024-03-14,1339.65,1395.3,1321.55,1378.9,1381.0,1339.65,178906,245687122.4,20094
Aavas Financiers Limited,INE216P01012,2018-10-08,EQ,AAVAS,2024-03-13,1380.85,1393.45,1331.0,1339.65,1346.0,1379.05,209892,286172634.4,25182
Aavas Financiers Limited,INE216P01012,2018-10-08,EQ,AAVAS,2024-03-12,1379.5,1391.3,1357.0,1379.05,1389.0,1390.1,202091,277124316.45,23503
Aavas Financiers Limited,INE216P01012,2018-10-08,EQ,AAVAS,2024-03-11,1414.8,1418.0,1380.0,1390.1,1393.0,1414.8,159924,223292998.8,16256
Aavas Financiers Limited,INE216P01012,2018-10-08,EQ,AAVAS,2024-03-07,1420.0,1440.0,1404.65,1414.8,1414.85,1387.3,420272,596193809.15,23237
Aavas Financiers Limited,INE216P01012,2018-10-08,EQ,AAVAS,2024-03-06,1375.95,1425.0,1356.15,1387.3,1391.0,1358.1,1116500,1540780114.25,43907
