StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Aditya Birla Capital Limited,INE674K01013,2017-09-01,EQ,ABCAPITAL,2024-03-28,176.9,176.95,174.55,175.4,176.0,175.55,1979832,347713036.7,16236
Aditya Birla Capital Limited,INE674K01013,2017-09-01,EQ,ABCAPITAL,2024-03-27,177.25,178.4,175.15,175.55,175.8,177.1,1979597,350094881.3,18529
Aditya Birla Capital Limited,INE674K01013,2017-09-01,EQ,ABCAPITAL,2024-03-26,175.6,178.9,174.55,177.1,177.2,175.05,5356729,948202890.45,25874
Aditya Birla Capital Limited,INE674K01013,2017-09-01,EQ,ABCAPITAL,2024-03-22,173.4,176.3,173.2,175.05,175.3,173.45,3251510,569964708.1,18877
Aditya Birla Capital Limited,INE674K01013,2017-09-01,EQ,ABCAPITAL,2024-03-21,171.5,174.0,170.8,173.45,173.85,169.05,2242844,387535403.6,21730
Aditya Birla Capital Limited,INE674K01013,2017-09-01,EQ,ABCAPITAL,2024-03-20,171.4,171.55,165.9,169.05,169.35,170.0,3029418,510553425.8,26448
Aditya Birla Capital Limited,INE674K01013,2017-09-01,EQ,ABCAPITAL,2024-03-19,174.0,174.35,169.1,170.0,169.5,172.9,2986980,513063461.75,26638
Aditya Birla Capital Limited,INE674K01013,2017-09-01,EQ,ABCAPITAL,2024-03-18,173.05,174.4,171.1,172.9,173.35,173.8,2943614,508777079.55,26975
Aditya Birla Capital Limited,INE674K01013,2017-09-01,EQ,ABCAPITAL,2024-03-15,173.75,174.3,169.25,173.8,174.25,173.05,4611415,792414322.85,30415
Aditya Birla Capital Limited,INE674K01013,2017-09-01,EQ,ABCAPITAL,2024-03-14,170.95,173.9,167.45,173.05,172.55,171.4,5821445,1001787589.05,32520
Aditya Birla Capital Limited,INE674K01013,2017-09-01,EQ,ABCAPITAL,2024-03-13,184.1,184.1,169.3,171.4,171.4,183.7,11524938,2009615444.8,68467
Aditya Birla Capital Limited,INE674K01013,2017-09-01,EQ,ABCAPITAL,2024-03-12,184.9,190.3,182.9,183.7,183.4,179.85,27970662,5199849498.4,130859
Aditya Birla Capital Limited,INE674K01013,2017-09-01,EQ,ABCAPITAL,2024-03-11,184.0,184.85,179.15,179.85,179.95,182.1,3129588,567172837.6,22256
Aditya Birla Capital Limited,INE674K01013,2017-09-01,EQ,ABCAPITAL,2024-03-07,182.0,186.45,181.1,182.1,182.5,180.95,5164212,948048200.25,37931
Aditya Birla Capital Limited,INE674K01013,2017-09-01,EQ,ABCAPITAL,2024-03-06,192.2,192.3,172.8,180.95,181.05,192.0,21907218,3931506318.0,112012
Aditya Birla Capital Limited,INE674K01013,2017-09-01,EQ,ABCAPITAL,2024-03-05,190.55,194.4,188.05,192.0,192.2,190.95,5770157,1112664716.15,41966
Aditya Birla Capital Limited,INE674K01013,2017-09-01,EQ,ABCAPITAL,2024-03-04,186.85,194.4,186.6,190.95,191.3,186.75,9503022,1819854402.65,59250
Aditya Birla Capital Limited,INE674K01013,2017-09-01,EQ,ABCAPITAL,2024-03-02,187.15,188.25,185.15,186.75,186.35,187.1,306290,57155527.0,3326
Aditya Birla Capital Limited,INE674K01013,2017-09-01,EQ,ABCAPITAL,2024-03-01,183.0,187.85,183.0,187.1,186.6,183.65,2923938,543706943.2,22847
Aditya Birla Capital Limited,INE674K01013,2017-09-01,EQ,ABCAPITAL,2024-02-29,181.95,185.0,179.6,183.65,184.35,181.75,4131044,750347793.5,24541
Aditya Birla Capital Limited,INE674K01013,2017-09-01,EQ,ABCAPITAL,2024-02-28,187.55,189.1,181.0,181.75,181.9,187.85,3720567,688120881.35,23830
