StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
ACC Limited,INE012A01025,1996-11-20,EQ,ACC,2024-03-28,2478.0,2505.0,2453.2,2491.7,2482.0,2454.1,326365,812314711.3,33720
ACC Limited,INE012A01025,1996-11-20,EQ,ACC,2024-03-27,2463.95,2500.0,2448.55,2454.1,2458.6,2450.0,357536,885855409.15,44427
ACC Limited,INE012A01025,1996-11-20,EQ,ACC,2024-03-26,2430.0,2477.2,2429.6,2450.0,2454.8,2443.25,186745,458165355.6,19014
ACC Limited,INE012A01025,1996-11-20,EQ,ACC,2024-03-22,2439.05,2458.0,2415.55,2443.25,2445.0,2438.85,328757,801324337.7,21023
ACC Limited,INE012A01025,1996-11-20,EQ,ACC,2024-03-21,2429.0,2450.9,2400.05,2438.85,2440.0,2397.7,142027,345808399.5,11608
ACC Limited,INE012A01025,1996-11-20,EQ,ACC,2024-03-20,2409.05,2431.45,2371.05,2397.7,2402.0,2403.4,218650,524065131.65,24426
ACC Limited,INE012A01025,1996-11-20,EQ,ACC,2024-03-19,2442.8,2449.85,2375.75,2403.4,2410.0,2441.55,340416,819663408.8,37324
ACC Limited,INE012A01025,1996-11-20,EQ,ACC,2024-03-18,2480.1,2480.1,2393.05,2441.55,2443.45,2502.95,612586,1494766320.45,57385
ACC Limited,INE012A01025,1996-11-20,EQ,ACC,2024-03-15,2482.1,2523.95,2426.55,2502.95,2501.1,2482.1,333506,826170789.0,35609
ACC Limited,INE012A01025,1996-11-20,EQ,ACC,2024-03-14,2387.0,2489.3,2347.2,2482.1,2485.0,2389.1,350605,860237920.75,40714
ACC Limited,INE012A01025,1996-11-20,EQ,ACC,2024-03-13,2565.0,2575.65,2354.45,2389.1,2389.15,2561.6,512003,1251858653.6,66100
ACC Limited,INE012A01025,1996-11-20,EQ,ACC,2024-03-12,2642.0,2659.35,2550.05,2561.6,2550.4,2641.9,288886,746757413.3,30670
ACC Limited,INE012A01025,1996-11-20,EQ,ACC,2024-03-11,2645.0,2677.1,2635.0,2641.9,2648.0,2638.8,216685,575741335.65,21059
ACC Limited,INE012A01025,1996-11-20,EQ,ACC,2024-03-07,2642.0,2656.85,2615.3,2638.8,2640.0,2642.0,149670,394471122.65,14329
ACC Limited,INE012A01025,1996-11-20,EQ,ACC,2024-03-06,2665.0,2673.4,2596.95,2642.0,2652.0,2668.75,217355,570787840.05,23992
ACC Limited,INE012A01025,1996-11-20,EQ,ACC,2024-03-05,2705.0,2705.0,2660.0,2668.75,2665.0,2695.65,148918,398425450.0,15485
ACC Limited,INE012A01025,1996-11-20,EQ,ACC,2024-03-04,2710.0,2723.15,2688.6,2695.65,2699.95,2702.55,246474,667190321.55,18398
ACC Limited,INE012A01025,1996-11-20,EQ,ACC,2024-03-02,2700.15,2720.0,2676.1,2702.55,2700.0,2695.45,30198,81732837.95,1995
ACC Limited,INE012A01025,1996-11-20,EQ,ACC,2024-03-01,2650.0,2704.85,2636.35,2695.45,2699.0,2629.3,295468,788578800.9,26136
ACC Limited,INE012A01025,1996-11-20,EQ,ACC,2024-02-29,2570.0,2662.0,2556.2,2629.3,2662.0,2573.25,442487,1158226258.55,29219
